Preliminary Day-ahead Scheduling Reserve Summary
Month:,"January, 2012" ,Report Creation Timestamp (EPT):, 11/05/2012 11:10:50 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/01/2012 01,01/01/2012 06,.000,73238.791000,4322.900,.00,4322.900
01/01/2012 02,01/01/2012 07,.000,70875.087000,4377.900,.00,4377.900
01/01/2012 03,01/01/2012 08,.000,69005.690000,4300.900,.00,4300.900
01/01/2012 04,01/01/2012 09,.000,68231.332000,4323.800,.00,4323.800
01/01/2012 05,01/01/2012 10,.000,68282.057000,5171.100,.00,5171.100
01/01/2012 06,01/01/2012 11,.000,69344.847000,4323.800,.00,4323.800
01/01/2012 07,01/01/2012 12,.000,71290.512000,4323.800,.00,4323.800
01/01/2012 08,01/01/2012 13,.000,72998.317000,4446.100,.00,4446.100
01/01/2012 09,01/01/2012 14,.000,74492.595000,4323.800,.00,4323.800
01/01/2012 10,01/01/2012 15,.000,74883.063000,4323.800,.00,4323.800
01/01/2012 11,01/01/2012 16,.000,75058.591000,5048.400,.00,5048.400
01/01/2012 12,01/01/2012 17,.000,75250.503000,4320.100,.00,4320.100
01/01/2012 13,01/01/2012 18,.000,75609.530000,4323.800,.00,4323.800
01/01/2012 14,01/01/2012 19,.000,75825.543000,4348.200,.00,4348.200
01/01/2012 15,01/01/2012 20,.000,75755.583000,4323.800,.00,4323.800
01/01/2012 16,01/01/2012 21,.000,76304.719000,4323.800,.00,4323.800
01/01/2012 17,01/01/2012 22,.000,79374.156000,4316.700,.00,4316.700
01/01/2012 18,01/01/2012 23,.000,85186.944000,4305.600,.00,4305.600
01/01/2012 19,01/02/2012 00,.000,87037.146000,4323.800,.00,4323.800
01/01/2012 20,01/02/2012 01,.000,86446.066000,4307.100,.00,4307.100
01/01/2012 21,01/02/2012 02,.000,85583.587000,4317.600,.00,4317.600
01/01/2012 22,01/02/2012 03,.000,83330.681000,4315.900,.00,4315.900
01/01/2012 23,01/02/2012 04,.000,80068.509000,4323.800,.00,4323.800
01/01/2012 24,01/02/2012 05,.000,76243.376000,4323.800,.00,4323.800
01/02/2012 01,01/02/2012 06,.000,72748.268000,4881.800,.00,4881.800
01/02/2012 02,01/02/2012 07,.000,70663.491000,5669.400,.00,5669.400
01/02/2012 03,01/02/2012 08,.000,69835.712000,4904.500,.00,4904.500
01/02/2012 04,01/02/2012 09,.000,70262.602000,5678.700,.00,5678.700
01/02/2012 05,01/02/2012 10,.000,72035.192000,5013.100,.00,5013.100
01/02/2012 06,01/02/2012 11,.000,75282.712000,4798.000,.00,4798.000
01/02/2012 07,01/02/2012 12,.000,79780.216000,5000.600,.00,5000.600
01/02/2012 08,01/02/2012 13,.000,83270.809000,4590.700,.00,4590.700
01/02/2012 09,01/02/2012 14,.000,85508.316000,4681.200,.00,4681.200
01/02/2012 10,01/02/2012 15,.000,88038.737000,5243.300,.00,5243.300
01/02/2012 11,01/02/2012 16,.000,90257.040000,5003.500,.00,5003.500
01/02/2012 12,01/02/2012 17,.000,91284.216000,5006.000,.00,5006.000
01/02/2012 13,01/02/2012 18,.000,91423.244000,4911.000,.00,4911.000
01/02/2012 14,01/02/2012 19,.000,91229.031000,5005.000,.00,5005.000
01/02/2012 15,01/02/2012 20,.000,91080.603000,5006.000,.00,5006.000
01/02/2012 16,01/02/2012 21,.000,91694.107000,5006.000,.00,5006.000
01/02/2012 17,01/02/2012 22,.000,94968.064000,5152.700,.00,5152.700
01/02/2012 18,01/02/2012 23,.000,102901.734000,4726.100,.00,4726.100
01/02/2012 19,01/03/2012 00,.010,105210.695000,4730.300,47.37,4730.300
01/02/2012 20,01/03/2012 01,.010,104870.203000,4729.800,47.38,4729.800
01/02/2012 21,01/03/2012 02,.000,103204.869000,4920.200,.00,4920.200
01/02/2012 22,01/03/2012 03,.000,100040.879000,4915.500,.00,4915.500
01/02/2012 23,01/03/2012 04,.000,95051.889000,5005.100,.00,5005.100
01/02/2012 24,01/03/2012 05,.000,89747.116000,4843.800,.00,4843.800
01/03/2012 01,01/03/2012 06,.000,86041.608000,4904.100,.00,4904.100
01/03/2012 02,01/03/2012 07,.000,84176.889000,4904.100,.00,4904.100
01/03/2012 03,01/03/2012 08,.000,83697.473000,4904.100,.00,4904.100
01/03/2012 04,01/03/2012 09,.000,84270.359000,4904.100,.00,4904.100
01/03/2012 05,01/03/2012 10,.000,86547.388000,4897.000,.00,4897.000
01/03/2012 06,01/03/2012 11,.000,92212.157000,4904.100,.00,4904.100
01/03/2012 07,01/03/2012 12,.000,101629.024000,5680.300,.00,5680.300
01/03/2012 08,01/03/2012 13,.000,107316.633000,6436.000,.00,6436.000
01/03/2012 09,01/03/2012 14,.000,107558.602000,6272.300,.00,6272.300
01/03/2012 10,01/03/2012 15,.000,107017.850000,6587.300,.00,6587.300
01/03/2012 11,01/03/2012 16,.000,107051.560000,7023.400,.00,7023.400
01/03/2012 12,01/03/2012 17,.000,106795.045000,7523.000,.00,7523.000
01/03/2012 13,01/03/2012 18,.000,106417.416000,7515.600,.00,7515.600
01/03/2012 14,01/03/2012 19,.000,106228.844000,7523.000,.00,7523.000
01/03/2012 15,01/03/2012 20,.000,105753.367000,7498.700,.00,7498.700
01/03/2012 16,01/03/2012 21,.000,106051.088000,7596.600,.00,7596.600
01/03/2012 17,01/03/2012 22,.000,109080.968000,6704.100,.00,6704.100
01/03/2012 18,01/03/2012 23,.000,116876.356000,6586.000,.00,6586.000
01/03/2012 19,01/04/2012 00,.000,119413.854000,5616.400,.00,5616.400
01/03/2012 20,01/04/2012 01,.000,118653.255000,5657.100,.00,5657.100
01/03/2012 21,01/04/2012 02,.000,117064.422000,5686.600,.00,5686.600
01/03/2012 22,01/04/2012 03,.000,113181.310000,5759.100,.00,5759.100
01/03/2012 23,01/04/2012 04,.000,107537.480000,5288.900,.00,5288.900
01/03/2012 24,01/04/2012 05,.000,101513.599000,4989.100,.00,4989.100
01/04/2012 01,01/04/2012 06,.000,97633.438000,4617.700,.00,4617.700
01/04/2012 02,01/04/2012 07,.000,95482.324000,4712.100,.00,4712.100
01/04/2012 03,01/04/2012 08,.000,94967.083000,4739.700,.00,4739.700
01/04/2012 04,01/04/2012 09,.000,95329.176000,4617.700,.00,4617.700
01/04/2012 05,01/04/2012 10,.000,97327.875000,4617.900,.00,4617.900
01/04/2012 06,01/04/2012 11,.000,102611.282000,4610.600,.00,4610.600
01/04/2012 07,01/04/2012 12,.000,111092.903000,6066.700,.00,6066.700
01/04/2012 08,01/04/2012 13,.000,115978.595000,6792.800,.00,6792.800
01/04/2012 09,01/04/2012 14,.000,114955.585000,6813.600,.00,6813.600
01/04/2012 10,01/04/2012 15,.000,112972.493000,7086.000,.00,7086.000
01/04/2012 11,01/04/2012 16,.000,111254.014000,7016.000,.00,7016.000
01/04/2012 12,01/04/2012 17,.000,109030.807000,6997.300,.00,6997.300
01/04/2012 13,01/04/2012 18,.000,106934.596000,7117.700,.00,7117.700
01/04/2012 14,01/04/2012 19,.000,105251.823000,7150.700,.00,7150.700
01/04/2012 15,01/04/2012 20,.000,103678.577000,7212.700,.00,7212.700
01/04/2012 16,01/04/2012 21,.000,103492.265000,7211.800,.00,7211.800
01/04/2012 17,01/04/2012 22,.000,105983.913000,6360.900,.00,6360.900
01/04/2012 18,01/04/2012 23,.000,112571.685000,6284.800,.00,6284.800
01/04/2012 19,01/05/2012 00,.000,114345.468000,5451.700,.00,5451.700
01/04/2012 20,01/05/2012 01,.000,112726.205000,5387.700,.00,5387.700
01/04/2012 21,01/05/2012 02,.000,110640.237000,5425.200,.00,5425.200
01/04/2012 22,01/05/2012 03,.000,106369.441000,5408.900,.00,5408.900
01/04/2012 23,01/05/2012 04,.000,99519.749000,4998.900,.00,4998.900
01/04/2012 24,01/05/2012 05,.000,93002.237000,4617.700,.00,4617.700
01/05/2012 01,01/05/2012 06,.000,88111.772000,5320.700,.00,5320.700
01/05/2012 02,01/05/2012 07,.000,85616.409000,5583.900,.00,5583.900
01/05/2012 03,01/05/2012 08,.000,84249.714000,5320.700,.00,5320.700
01/05/2012 04,01/05/2012 09,.000,84036.088000,4757.700,.00,4757.700
01/05/2012 05,01/05/2012 10,.000,85707.444000,4757.700,.00,4757.700
01/05/2012 06,01/05/2012 11,.000,90770.779000,4762.700,.00,4762.700
01/05/2012 07,01/05/2012 12,.000,99641.883000,6147.700,.00,6147.700
01/05/2012 08,01/05/2012 13,.000,105389.714000,6748.700,.00,6748.700
01/05/2012 09,01/05/2012 14,.000,104773.055000,6743.700,.00,6743.700
01/05/2012 10,01/05/2012 15,.000,102925.277000,6743.700,.00,6743.700
01/05/2012 11,01/05/2012 16,.000,100960.813000,6947.400,.00,6947.400
01/05/2012 12,01/05/2012 17,.000,98759.726000,6955.700,.00,6955.700
01/05/2012 13,01/05/2012 18,.000,96909.404000,6873.700,.00,6873.700
01/05/2012 14,01/05/2012 19,.000,95404.051000,6960.700,.00,6960.700
01/05/2012 15,01/05/2012 20,.000,94035.115000,6951.700,.00,6951.700
01/05/2012 16,01/05/2012 21,.000,93141.500000,6960.700,.00,6960.700
01/05/2012 17,01/05/2012 22,.000,95414.551000,6751.900,.00,6751.900
01/05/2012 18,01/05/2012 23,.000,102423.616000,6480.700,.00,6480.700
01/05/2012 19,01/06/2012 00,.000,105577.458000,5542.100,.00,5542.100
01/05/2012 20,01/06/2012 01,.000,105188.413000,5531.700,.00,5531.700
01/05/2012 21,01/06/2012 02,.000,103841.064000,5565.700,.00,5565.700
01/05/2012 22,01/06/2012 03,.000,100199.921000,5660.700,.00,5660.700
01/05/2012 23,01/06/2012 04,.000,94517.013000,5030.700,.00,5030.700
01/05/2012 24,01/06/2012 05,.000,88224.255000,4757.700,.00,4757.700
01/06/2012 01,01/06/2012 06,.000,83874.707000,4873.400,.00,4873.400
01/06/2012 02,01/06/2012 07,.000,81545.216000,4338.300,.00,4338.300
01/06/2012 03,01/06/2012 08,.000,80248.691000,4432.300,.00,4432.300
01/06/2012 04,01/06/2012 09,.000,80017.563000,4338.300,.00,4338.300
01/06/2012 05,01/06/2012 10,.000,81686.072000,4338.300,.00,4338.300
01/06/2012 06,01/06/2012 11,.000,86548.816000,4908.400,.00,4908.400
01/06/2012 07,01/06/2012 12,.000,95092.874000,5771.200,.00,5771.200
01/06/2012 08,01/06/2012 13,.000,100176.322000,6506.300,.00,6506.300
01/06/2012 09,01/06/2012 14,.000,99192.940000,6446.700,.00,6446.700
01/06/2012 10,01/06/2012 15,.000,96866.237000,6454.000,.00,6454.000
01/06/2012 11,01/06/2012 16,.000,94667.872000,6591.300,.00,6591.300
01/06/2012 12,01/06/2012 17,.000,92328.824000,6591.300,.00,6591.300
01/06/2012 13,01/06/2012 18,.000,90175.353000,6591.300,.00,6591.300
01/06/2012 14,01/06/2012 19,.000,88610.366000,6591.300,.00,6591.300
01/06/2012 15,01/06/2012 20,.000,86995.296000,6591.300,.00,6591.300
01/06/2012 16,01/06/2012 21,.000,85760.230000,6699.300,.00,6699.300
01/06/2012 17,01/06/2012 22,.000,86580.765000,6591.300,.00,6591.300
01/06/2012 18,01/06/2012 23,.000,92454.638000,6355.600,.00,6355.600
01/06/2012 19,01/07/2012 00,.000,94578.024000,5143.300,.00,5143.300
01/06/2012 20,01/07/2012 01,.000,93333.217000,5037.100,.00,5037.100
01/06/2012 21,01/07/2012 02,.000,91687.772000,5058.300,.00,5058.300
01/06/2012 22,01/07/2012 03,.000,89032.188000,5058.300,.00,5058.300
01/06/2012 23,01/07/2012 04,.000,84924.392000,4388.300,.00,4388.300
01/06/2012 24,01/07/2012 05,.000,79799.172000,4674.600,.00,4674.600
01/07/2012 01,01/07/2012 06,.000,75746.174000,4218.900,.00,4218.900
01/07/2012 02,01/07/2012 07,.000,73040.159000,4218.900,.00,4218.900
01/07/2012 03,01/07/2012 08,.000,71634.098000,4239.300,.00,4239.300
01/07/2012 04,01/07/2012 09,.000,71112.535000,4415.400,.00,4415.400
01/07/2012 05,01/07/2012 10,.000,71666.277000,4410.000,.00,4410.000
01/07/2012 06,01/07/2012 11,.000,73800.996000,4218.900,.00,4218.900
01/07/2012 07,01/07/2012 12,.000,77210.353000,4688.900,.00,4688.900
01/07/2012 08,01/07/2012 13,.000,80942.000000,5261.000,.00,5261.000
01/07/2012 09,01/07/2012 14,.000,83205.387000,4688.900,.00,4688.900
01/07/2012 10,01/07/2012 15,.000,83997.880000,4988.900,.00,4988.900
01/07/2012 11,01/07/2012 16,.000,83678.144000,4988.900,.00,4988.900
01/07/2012 12,01/07/2012 17,.000,82585.459000,4988.900,.00,4988.900
01/07/2012 13,01/07/2012 18,.000,80841.968000,4988.900,.00,4988.900
01/07/2012 14,01/07/2012 19,.000,79188.826000,4988.900,.00,4988.900
01/07/2012 15,01/07/2012 20,.000,77782.990000,4518.900,.00,4518.900
01/07/2012 16,01/07/2012 21,.000,77083.283000,4518.900,.00,4518.900
01/07/2012 17,01/07/2012 22,.000,78459.947000,4518.900,.00,4518.900
01/07/2012 18,01/07/2012 23,.000,84778.087000,4218.900,.00,4218.900
01/07/2012 19,01/08/2012 00,.000,87724.231000,4218.900,.00,4218.900
01/07/2012 20,01/08/2012 01,.000,86844.669000,4336.700,.00,4336.700
01/07/2012 21,01/08/2012 02,.000,85790.037000,4218.900,.00,4218.900
01/07/2012 22,01/08/2012 03,.000,83475.126000,4345.300,.00,4345.300
01/07/2012 23,01/08/2012 04,.000,80427.629000,4218.900,.00,4218.900
01/07/2012 24,01/08/2012 05,.000,76456.643000,4312.900,.00,4312.900
01/08/2012 01,01/08/2012 06,.000,72842.040000,4507.300,.00,4507.300
01/08/2012 02,01/08/2012 07,.000,70690.540000,4507.300,.00,4507.300
01/08/2012 03,01/08/2012 08,.000,69675.996000,4601.300,.00,4601.300
01/08/2012 04,01/08/2012 09,.000,69583.046000,4413.300,.00,4413.300
01/08/2012 05,01/08/2012 10,.000,70144.718000,4413.300,.00,4413.300
01/08/2012 06,01/08/2012 11,.000,71994.522000,4413.400,.00,4413.400
01/08/2012 07,01/08/2012 12,.000,74779.147000,4413.300,.00,4413.300
01/08/2012 08,01/08/2012 13,.000,78061.307000,4467.300,.00,4467.300
01/08/2012 09,01/08/2012 14,.000,80791.797000,4413.300,.00,4413.300
01/08/2012 10,01/08/2012 15,.000,82103.131000,4657.900,.00,4657.900
01/08/2012 11,01/08/2012 16,.000,81691.750000,4663.300,.00,4663.300
01/08/2012 12,01/08/2012 17,.000,80793.322000,4654.500,.00,4654.500
01/08/2012 13,01/08/2012 18,.000,80286.212000,4663.300,.00,4663.300
01/08/2012 14,01/08/2012 19,.000,79701.843000,4663.300,.00,4663.300
01/08/2012 15,01/08/2012 20,.000,78827.491000,5132.300,.00,5132.300
01/08/2012 16,01/08/2012 21,.000,79101.131000,5133.300,.00,5133.300
01/08/2012 17,01/08/2012 22,.000,82113.902000,5133.300,.00,5133.300
01/08/2012 18,01/08/2012 23,.000,89589.698000,4849.300,.00,4849.300
01/08/2012 19,01/09/2012 00,.000,93142.293000,4861.300,.00,4861.300
01/08/2012 20,01/09/2012 01,.000,92953.139000,4746.600,.00,4746.600
01/08/2012 21,01/09/2012 02,.000,92430.125000,4883.300,.00,4883.300
01/08/2012 22,01/09/2012 03,.000,89968.274000,4883.300,.00,4883.300
