Preliminary Day-ahead Scheduling Reserve Summary
Month:,"March, 2009" ,Report Creation Timestamp (EPT):, 08/03/2012 10:28:28 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
03/04/2009 02,03/04/2009 07,.050,83098.266000,5852.700,292.74,5852.700
03/04/2009 03,03/04/2009 08,.050,82820.504000,5859.800,293.08,5859.800
03/04/2009 04,03/04/2009 09,.050,83218.162000,5873.800,293.80,5873.800
03/04/2009 05,03/04/2009 10,.050,85416.935000,5957.100,298.01,5957.100
03/04/2009 06,03/04/2009 11,.050,90571.180000,5957.500,297.98,5957.500
03/04/2009 07,03/04/2009 12,.190,98507.859000,5967.200,1133.80,5967.200
03/04/2009 08,03/04/2009 13,.190,101530.453000,5967.200,1133.80,5967.200
03/04/2009 09,03/04/2009 14,.070,98898.389000,5937.500,415.62,5937.500
03/04/2009 10,03/04/2009 15,.070,95601.058000,5841.400,408.91,5841.400
03/04/2009 11,03/04/2009 16,.050,93064.845000,5941.000,297.15,5941.000
03/04/2009 12,03/04/2009 17,.050,90726.586000,5885.800,294.39,5885.800
03/04/2009 13,03/04/2009 18,.050,88417.438000,5818.600,291.07,5818.600
03/04/2009 14,03/04/2009 19,.050,86574.033000,5825.700,291.39,5825.700
03/04/2009 15,03/04/2009 20,.050,84521.072000,5837.000,292.01,5837.000
03/04/2009 16,03/04/2009 21,.050,83018.652000,5877.400,294.01,5877.400
03/04/2009 17,03/04/2009 22,.050,83171.928000,5875.900,293.91,5875.900
03/04/2009 18,03/04/2009 23,.050,85679.416000,5815.900,290.92,5815.900
03/04/2009 19,03/05/2009 00,.100,91836.162000,5837.500,583.75,5837.500
03/04/2009 20,03/05/2009 01,.100,94693.273000,5816.900,581.69,5816.900
03/04/2009 21,03/05/2009 02,.070,94235.068000,5618.700,393.37,5618.700
03/04/2009 22,03/05/2009 03,.050,91446.003000,5667.700,283.53,5667.700
03/04/2009 23,03/05/2009 04,.050,86510.814000,5854.000,292.84,5854.000
03/04/2009 24,03/05/2009 05,.000,81322.331000,5473.500,.00,5473.500
03/05/2009 01,03/05/2009 06,.000,78002.065000,5022.800,.00,5022.800
03/05/2009 02,03/05/2009 07,.000,76587.412000,5040.500,.00,5040.500
03/05/2009 03,03/05/2009 08,.000,76246.962000,5048.100,.00,5048.100
03/05/2009 04,03/05/2009 09,.000,76816.233000,4965.900,.00,4965.900
03/05/2009 05,03/05/2009 10,.050,78743.281000,4935.800,246.92,4935.800
03/05/2009 06,03/05/2009 11,.050,83911.615000,4784.800,239.34,4784.800
03/05/2009 07,03/05/2009 12,.100,92066.602000,4897.200,489.72,4897.200
03/05/2009 08,03/05/2009 13,.100,94831.969000,4929.100,492.91,4929.100
03/05/2009 09,03/05/2009 14,.050,92157.008000,4978.200,248.97,4978.200
