Preliminary Day-ahead Scheduling Reserve Summary
Month:,"June, 2010" ,Report Creation Timestamp (EPT):, 03/30/2012 10:19:18 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
06/01/2010 01,06/01/2010 05,.000,70688.341000,6251.900,.00,6251.900
06/01/2010 02,06/01/2010 06,.000,66710.692000,6301.100,.00,6301.100
06/01/2010 03,06/01/2010 07,.000,64144.683000,6433.300,.00,6433.300
06/01/2010 04,06/01/2010 08,.000,62712.922000,6322.800,.00,6322.800
06/01/2010 05,06/01/2010 09,.000,62997.082000,6289.200,.00,6289.200
06/01/2010 06,06/01/2010 10,.000,66234.872000,6302.200,.00,6302.200
06/01/2010 07,06/01/2010 11,.000,72724.307000,6420.300,.00,6420.300
06/01/2010 08,06/01/2010 12,.010,79761.342000,6567.100,65.69,6567.100
06/01/2010 09,06/01/2010 13,.010,85056.075000,6397.900,64.02,6397.900
06/01/2010 10,06/01/2010 14,.020,89114.249000,6527.900,130.57,6527.900
06/01/2010 11,06/01/2010 15,.020,93311.487000,6522.000,130.45,6522.000
06/01/2010 12,06/01/2010 16,.020,96959.633000,6503.800,130.10,6503.800
06/01/2010 13,06/01/2010 17,.040,99926.747000,6367.700,254.69,6367.700
06/01/2010 14,06/01/2010 18,.080,102522.891000,6289.300,503.19,6289.300
06/01/2010 15,06/01/2010 19,1.000,103894.630000,6280.500,6280.51,6280.500
06/01/2010 16,06/01/2010 20,1.000,105208.329000,6309.399,6309.40,6309.399
06/01/2010 17,06/01/2010 21,1.000,106553.372000,6287.700,6287.70,6287.700
06/01/2010 18,06/01/2010 22,.500,106500.813000,6304.800,3152.40,6304.800
06/01/2010 19,06/01/2010 23,.050,104195.781000,6140.000,307.06,6140.000
06/01/2010 20,06/02/2010 00,.020,101251.654000,6248.300,124.98,6248.300
06/01/2010 21,06/02/2010 01,.020,98909.760000,6056.100,121.14,6056.100
06/01/2010 22,06/02/2010 02,.020,97282.069000,6132.800,122.66,6132.800
06/01/2010 23,06/02/2010 03,.010,89952.786000,6100.800,61.04,6100.800
06/01/2010 24,06/02/2010 04,.000,80927.495000,5949.300,.00,5949.300
06/02/2010 01,06/02/2010 05,.000,73544.133000,6592.500,.00,6592.500
06/02/2010 02,06/02/2010 06,.000,68870.943000,6692.400,.00,6692.400
06/02/2010 03,06/02/2010 07,.000,65784.800000,6739.900,.00,6739.900
06/02/2010 04,06/02/2010 08,.000,64084.077000,6706.600,.00,6706.600
06/02/2010 05,06/02/2010 09,.000,63937.408000,6849.800,.00,6849.800
06/02/2010 06,06/02/2010 10,.000,66627.818000,6804.900,.00,6804.900
06/02/2010 07,06/02/2010 11,.000,72834.856000,6697.100,.00,6697.100
06/02/2010 08,06/02/2010 12,.020,79521.583000,6624.400,132.50,6624.400
06/02/2010 09,06/02/2010 13,.020,84547.360000,6737.500,134.77,6737.500
06/02/2010 10,06/02/2010 14,.020,89189.050000,6705.500,134.12,6705.500
06/02/2010 11,06/02/2010 15,.020,93673.506000,6753.100,135.08,6753.100
06/02/2010 12,06/02/2010 16,.040,97685.950000,6746.200,269.89,6746.200
06/02/2010 13,06/02/2010 17,.080,101252.172000,6943.800,555.51,6943.800
06/02/2010 14,06/02/2010 18,1.000,104199.069000,6928.199,6928.19,6928.199
06/02/2010 15,06/02/2010 19,1.000,106736.874000,6845.800,6845.81,6845.800
06/02/2010 16,06/02/2010 20,1.000,108601.497000,6821.899,6821.89,6821.899
06/02/2010 17,06/02/2010 21,1.000,109477.377000,6781.599,6781.59,6781.599
06/02/2010 18,06/02/2010 22,1.000,109300.991000,6511.500,6511.49,6511.500
06/02/2010 19,06/02/2010 23,.500,106824.349000,6589.700,3294.85,6589.700
