Preliminary Day-ahead Scheduling Reserve Summary
Month:,"March, 2010" ,Report Creation Timestamp (EPT):, 07/02/2012 11:28:01 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
03/01/2010 01,03/01/2010 06,.040,70511.235000,5732.400,229.34,5732.400
03/01/2010 02,03/01/2010 07,.040,69096.263000,5732.500,229.26,5732.500
03/01/2010 03,03/01/2010 08,.010,68823.391000,5726.800,57.27,5726.800
03/01/2010 04,03/01/2010 09,.010,69098.260000,5728.200,57.30,5728.200
03/01/2010 05,03/01/2010 10,.010,71172.953000,5750.300,57.53,5750.300
03/01/2010 06,03/01/2010 11,.040,76056.991000,5671.900,226.90,5671.900
03/01/2010 07,03/01/2010 12,.050,84287.005000,5801.200,290.13,5801.200
03/01/2010 08,03/01/2010 13,.050,87947.089000,5800.800,290.17,5800.800
03/01/2010 09,03/01/2010 14,.050,87494.305000,5679.000,284.01,5679.000
03/01/2010 10,03/01/2010 15,.050,86605.788000,5694.300,284.81,5694.300
03/01/2010 11,03/01/2010 16,.040,85965.808000,5491.200,219.66,5491.200
03/01/2010 12,03/01/2010 17,.040,84662.413000,5492.800,219.69,5492.800
03/01/2010 13,03/01/2010 18,.050,83227.714000,5746.100,287.34,5746.100
03/01/2010 14,03/01/2010 19,.040,81935.868000,5719.400,228.77,5719.400
03/01/2010 15,03/01/2010 20,.040,80719.456000,5696.300,227.89,5696.300
03/01/2010 16,03/01/2010 21,.010,80080.972000,5651.000,56.52,5651.000
03/01/2010 17,03/01/2010 22,.010,80893.118000,5651.000,56.51,5651.000
03/01/2010 18,03/01/2010 23,.050,83677.626000,5741.000,287.13,5741.000
03/01/2010 19,03/02/2010 00,.070,88779.963000,5761.200,403.30,5761.200
03/01/2010 20,03/02/2010 01,.420,90309.480000,5758.200,2418.46,5758.200
03/01/2010 21,03/02/2010 02,.050,89102.669000,5771.700,288.66,5771.700
03/01/2010 22,03/02/2010 03,.040,85891.777000,5726.000,229.05,5726.000
03/01/2010 23,03/02/2010 04,.040,81020.834000,5661.100,226.43,5661.100
03/01/2010 24,03/02/2010 05,.040,75804.419000,5590.100,223.62,5590.100
03/02/2010 01,03/02/2010 06,.010,72042.254000,5965.300,59.67,5965.300
03/02/2010 02,03/02/2010 07,.010,70168.014000,5941.900,59.45,5941.900
03/02/2010 03,03/02/2010 08,.000,69432.399000,5898.900,.00,5898.900
