Preliminary Day-ahead Scheduling Reserve Summary
Month:,"March, 2012" ,Report Creation Timestamp (EPT):, 12/04/2012 11:28:30 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
03/01/2012 01,03/01/2012 06,.000,72221.646000,4651.700,.00,4651.700
03/01/2012 02,03/01/2012 07,.000,69688.999000,4651.700,.00,4651.700
03/01/2012 03,03/01/2012 08,.000,68612.874000,4651.700,.00,4651.700
03/01/2012 04,03/01/2012 09,.000,68155.237000,4651.700,.00,4651.700
03/01/2012 05,03/01/2012 10,.000,69899.776000,4651.700,.00,4651.700
03/01/2012 06,03/01/2012 11,.000,75151.090000,4651.700,.00,4651.700
03/01/2012 07,03/01/2012 12,.000,84170.563000,6001.700,.00,6001.700
03/01/2012 08,03/01/2012 13,.000,88997.936000,6242.700,.00,6242.700
03/01/2012 09,03/01/2012 14,.000,89677.838000,6222.100,.00,6222.100
03/01/2012 10,03/01/2012 15,.000,89731.125000,6242.700,.00,6242.700
03/01/2012 11,03/01/2012 16,.000,90011.833000,6251.700,.00,6251.700
03/01/2012 12,03/01/2012 17,.000,89525.956000,6250.000,.00,6250.000
03/01/2012 13,03/01/2012 18,.000,88787.006000,6246.800,.00,6246.800
03/01/2012 14,03/01/2012 19,.000,88202.408000,6250.000,.00,6250.000
03/01/2012 15,03/01/2012 20,.000,87256.124000,6186.700,.00,6186.700
03/01/2012 16,03/01/2012 21,.000,86529.638000,6221.800,.00,6221.800
03/01/2012 17,03/01/2012 22,.000,86744.309000,5765.700,.00,5765.700
03/01/2012 18,03/01/2012 23,.000,88299.655000,5764.400,.00,5764.400
03/01/2012 19,03/02/2012 00,.000,92639.019000,4796.900,.00,4796.900
03/01/2012 20,03/02/2012 01,.000,93858.361000,4808.600,.00,4808.600
03/01/2012 21,03/02/2012 02,.000,92519.814000,4727.000,.00,4727.000
03/01/2012 22,03/02/2012 03,.000,89305.271000,4798.700,.00,4798.700
03/01/2012 23,03/02/2012 04,.000,84101.979000,4222.700,.00,4222.700
03/01/2012 24,03/02/2012 05,.000,78423.615000,4045.700,.00,4045.700
03/02/2012 01,03/02/2012 06,.000,74625.797000,4501.800,.00,4501.800
03/02/2012 02,03/02/2012 07,.000,72643.189000,4681.800,.00,4681.800
03/02/2012 03,03/02/2012 08,.000,72009.998000,4681.800,.00,4681.800
03/02/2012 04,03/02/2012 09,.000,72390.929000,4681.800,.00,4681.800
03/02/2012 05,03/02/2012 10,.000,74499.438000,4681.800,.00,4681.800
03/02/2012 06,03/02/2012 11,.000,80075.872000,4622.800,.00,4622.800
03/02/2012 07,03/02/2012 12,.000,89156.080000,5912.800,.00,5912.800
03/02/2012 08,03/02/2012 13,.000,93348.317000,6065.100,.00,6065.100
03/02/2012 09,03/02/2012 14,.000,92733.732000,6162.800,.00,6162.800
03/02/2012 10,03/02/2012 15,.000,91970.308000,6097.800,.00,6097.800
03/02/2012 11,03/02/2012 16,.000,91495.099000,6161.400,.00,6161.400
03/02/2012 12,03/02/2012 17,.000,90639.915000,5976.000,.00,5976.000
03/02/2012 13,03/02/2012 18,.000,89842.259000,6091.800,.00,6091.800
03/02/2012 14,03/02/2012 19,.000,89386.020000,6162.800,.00,6162.800
03/02/2012 15,03/02/2012 20,.000,88833.966000,5969.800,.00,5969.800
03/02/2012 16,03/02/2012 21,.000,88618.580000,6162.800,.00,6162.800
03/02/2012 17,03/02/2012 22,.000,89568.550000,5599.800,.00,5599.800
03/02/2012 18,03/02/2012 23,.000,91306.649000,5530.800,.00,5530.800
03/02/2012 19,03/03/2012 00,.000,93196.184000,4744.800,.00,4744.800
03/02/2012 20,03/03/2012 01,.000,92609.102000,4742.500,.00,4742.500
03/02/2012 21,03/03/2012 02,.000,90391.821000,4679.800,.00,4679.800
03/02/2012 22,03/03/2012 03,.000,87379.217000,5102.400,.00,5102.400
03/02/2012 23,03/03/2012 04,.000,82549.429000,4368.800,.00,4368.800
03/02/2012 24,03/03/2012 05,.000,77529.019000,4023.800,.00,4023.800
03/03/2012 01,03/03/2012 06,.000,73145.049000,4202.500,.00,4202.500
03/03/2012 02,03/03/2012 07,.000,70407.374000,4031.800,.00,4031.800
03/03/2012 03,03/03/2012 08,.000,68964.137000,4248.800,.00,4248.800
03/03/2012 04,03/03/2012 09,.000,68490.870000,4035.300,.00,4035.300
03/03/2012 05,03/03/2012 10,.000,68727.942000,4004.800,.00,4004.800
03/03/2012 06,03/03/2012 11,.000,70421.655000,4100.000,.00,4100.000
03/03/2012 07,03/03/2012 12,.000,73830.024000,4610.300,.00,4610.300
03/03/2012 08,03/03/2012 13,.000,76998.223000,4591.800,.00,4591.800
03/03/2012 09,03/03/2012 14,.000,80732.380000,4496.800,.00,4496.800
03/03/2012 10,03/03/2012 15,.000,83730.204000,4381.900,.00,4381.900
03/03/2012 11,03/03/2012 16,.000,84750.369000,4905.000,.00,4905.000
03/03/2012 12,03/03/2012 17,.000,84196.806000,4891.800,.00,4891.800
03/03/2012 13,03/03/2012 18,.000,82753.777000,4613.800,.00,4613.800
03/03/2012 14,03/03/2012 19,.000,80928.563000,4647.800,.00,4647.800
03/03/2012 15,03/03/2012 20,.000,79055.361000,4610.800,.00,4610.800
03/03/2012 16,03/03/2012 21,.000,77994.111000,4531.100,.00,4531.100
03/03/2012 17,03/03/2012 22,.000,78581.195000,4504.500,.00,4504.500
03/03/2012 18,03/03/2012 23,.000,80678.182000,4310.800,.00,4310.800
03/03/2012 19,03/04/2012 00,.000,85441.010000,4272.300,.00,4272.300
03/03/2012 20,03/04/2012 01,.000,86857.028000,4127.800,.00,4127.800
03/03/2012 21,03/04/2012 02,.000,85767.390000,4277.800,.00,4277.800
03/03/2012 22,03/04/2012 03,.000,83782.831000,4140.800,.00,4140.800
03/03/2012 23,03/04/2012 04,.000,80338.658000,4280.800,.00,4280.800
03/03/2012 24,03/04/2012 05,.000,76319.521000,4280.900,.00,4280.900
03/04/2012 01,03/04/2012 06,.000,72870.858000,3870.900,.00,3870.900
03/04/2012 02,03/04/2012 07,.000,70632.384000,4051.900,.00,4051.900
03/04/2012 03,03/04/2012 08,.000,69574.874000,4084.700,.00,4084.700
03/04/2012 04,03/04/2012 09,.000,69177.298000,4517.800,.00,4517.800
03/04/2012 05,03/04/2012 10,.000,69693.915000,4116.900,.00,4116.900
03/04/2012 06,03/04/2012 11,.000,71296.494000,4116.900,.00,4116.900
03/04/2012 07,03/04/2012 12,.000,73946.103000,4050.900,.00,4050.900
03/04/2012 08,03/04/2012 13,.000,76511.570000,4362.400,.00,4362.400
03/04/2012 09,03/04/2012 14,.000,79910.407000,4075.200,.00,4075.200
03/04/2012 10,03/04/2012 15,.000,82041.003000,4201.800,.00,4201.800
03/04/2012 11,03/04/2012 16,.000,82525.921000,4411.800,.00,4411.800
03/04/2012 12,03/04/2012 17,.000,82295.402000,4342.900,.00,4342.900
03/04/2012 13,03/04/2012 18,.000,82133.407000,4342.800,.00,4342.800
03/04/2012 14,03/04/2012 19,.000,81459.387000,4398.800,.00,4398.800
03/04/2012 15,03/04/2012 20,.000,81094.539000,4132.900,.00,4132.900
03/04/2012 16,03/04/2012 21,.000,81305.239000,4278.400,.00,4278.400
03/04/2012 17,03/04/2012 22,.000,82663.334000,4265.900,.00,4265.900
03/04/2012 18,03/04/2012 23,.000,85797.985000,4102.500,.00,4102.500
03/04/2012 19,03/05/2012 00,.010,91885.345000,3908.900,39.07,3908.900
03/04/2012 20,03/05/2012 01,.020,94435.253000,3995.400,79.93,3995.400
03/04/2012 21,03/05/2012 02,.010,93503.665000,4010.600,40.09,4010.600
03/04/2012 22,03/05/2012 03,.000,90848.629000,4073.800,.00,4073.800
03/04/2012 23,03/05/2012 04,.000,86527.913000,4112.400,.00,4112.400
03/04/2012 24,03/05/2012 05,.000,82224.756000,3980.900,.00,3980.900
03/05/2012 01,03/05/2012 06,.000,79118.166000,4849.100,.00,4849.100
03/05/2012 02,03/05/2012 07,.000,77999.484000,4910.400,.00,4910.400
03/05/2012 03,03/05/2012 08,.000,77860.774000,4970.800,.00,4970.800
03/05/2012 04,03/05/2012 09,.000,78565.021000,4910.000,.00,4910.000
03/05/2012 05,03/05/2012 10,.000,81130.941000,4945.000,.00,4945.000
03/05/2012 06,03/05/2012 11,.000,86970.640000,4820.200,.00,4820.200
03/05/2012 07,03/05/2012 12,.010,95914.077000,6156.400,61.57,6156.400
03/05/2012 08,03/05/2012 13,.020,99761.982000,6401.200,128.03,6401.200
03/05/2012 09,03/05/2012 14,.010,99931.539000,6623.800,66.25,6623.800
03/05/2012 10,03/05/2012 15,.010,99585.495000,6631.400,66.31,6631.400
03/05/2012 11,03/05/2012 16,.010,99015.993000,6611.900,66.16,6611.900
03/05/2012 12,03/05/2012 17,.010,98296.047000,6633.200,66.40,6633.200
03/05/2012 13,03/05/2012 18,.000,97414.873000,6568.900,.00,6568.900
03/05/2012 14,03/05/2012 19,.000,96392.732000,6443.200,.00,6443.200
03/05/2012 15,03/05/2012 20,.000,94982.099000,6474.300,.00,6474.300
03/05/2012 16,03/05/2012 21,.000,94299.584000,6534.900,.00,6534.900
03/05/2012 17,03/05/2012 22,.000,95144.303000,6449.800,.00,6449.800
03/05/2012 18,03/05/2012 23,.010,97495.119000,6357.900,63.61,6357.900
03/05/2012 19,03/06/2012 00,.040,102834.350000,5646.200,225.92,5646.200
03/05/2012 20,03/06/2012 01,.040,105053.924000,5673.900,226.96,5673.900
03/05/2012 21,03/06/2012 02,.020,103948.145000,5717.000,114.35,5717.000
03/05/2012 22,03/06/2012 03,.010,100608.935000,5728.200,57.32,5728.200
03/05/2012 23,03/06/2012 04,.000,94790.269000,5223.500,.00,5223.500
03/05/2012 24,03/06/2012 05,.000,89331.467000,4986.600,.00,4986.600
03/06/2012 01,03/06/2012 06,.000,85782.790000,5110.600,.00,5110.600
03/06/2012 02,03/06/2012 07,.000,84034.266000,5043.300,.00,5043.300
03/06/2012 03,03/06/2012 08,.000,83461.762000,4729.300,.00,4729.300
03/06/2012 04,03/06/2012 09,.000,83880.037000,4380.400,.00,4380.400
03/06/2012 05,03/06/2012 10,.000,86133.221000,4669.300,.00,4669.300
03/06/2012 06,03/06/2012 11,.000,92019.839000,5075.400,.00,5075.400
03/06/2012 07,03/06/2012 12,.040,100866.079000,6608.400,264.35,6608.400
03/06/2012 08,03/06/2012 13,.040,103585.307000,6506.200,260.25,6506.200
03/06/2012 09,03/06/2012 14,.010,101514.773000,6611.900,66.21,6611.900
03/06/2012 10,03/06/2012 15,.010,98666.294000,6369.200,63.76,6369.200
03/06/2012 11,03/06/2012 16,.010,96519.879000,6658.900,66.64,6658.900
03/06/2012 12,03/06/2012 17,.010,94501.599000,6604.500,66.14,6604.500
03/06/2012 13,03/06/2012 18,.000,92280.705000,6484.100,.00,6484.100
03/06/2012 14,03/06/2012 19,.000,90598.163000,6532.200,.00,6532.200
03/06/2012 15,03/06/2012 20,.000,88717.658000,6588.100,.00,6588.100
03/06/2012 16,03/06/2012 21,.000,87352.218000,6509.400,.00,6509.400
03/06/2012 17,03/06/2012 22,.000,87475.066000,5898.500,.00,5898.500
03/06/2012 18,03/06/2012 23,.000,89355.706000,5733.100,.00,5733.100
03/06/2012 19,03/07/2012 00,.010,94796.819000,4846.200,48.53,4846.200
03/06/2012 20,03/07/2012 01,.010,97685.278000,4848.700,48.56,4848.700
03/06/2012 21,03/07/2012 02,.010,96799.997000,4871.200,48.79,4871.200
03/06/2012 22,03/07/2012 03,.000,93344.900000,4888.500,.00,4888.500
03/06/2012 23,03/07/2012 04,.000,87760.821000,4833.700,.00,4833.700
03/06/2012 24,03/07/2012 05,.000,82031.998000,4555.300,.00,4555.300
03/07/2012 01,03/07/2012 06,.000,77996.106000,4733.200,.00,4733.200
03/07/2012 02,03/07/2012 07,.000,75880.824000,4922.100,.00,4922.100
03/07/2012 03,03/07/2012 08,.000,74959.873000,4922.100,.00,4922.100
03/07/2012 04,03/07/2012 09,.000,75152.715000,4922.100,.00,4922.100
03/07/2012 05,03/07/2012 10,.000,77202.839000,4922.100,.00,4922.100
03/07/2012 06,03/07/2012 11,.000,82683.774000,4269.900,.00,4269.900
03/07/2012 07,03/07/2012 12,.000,91383.034000,5518.800,.00,5518.800
03/07/2012 08,03/07/2012 13,.010,94366.229000,6377.000,63.86,6377.000
03/07/2012 09,03/07/2012 14,.000,92599.593000,6348.600,.00,6348.600
03/07/2012 10,03/07/2012 15,.000,90367.515000,6454.900,.00,6454.900
03/07/2012 11,03/07/2012 16,.000,88701.934000,6390.000,.00,6390.000
03/07/2012 12,03/07/2012 17,.000,87175.021000,6430.900,.00,6430.900
03/07/2012 13,03/07/2012 18,.000,85787.575000,6454.900,.00,6454.900
03/07/2012 14,03/07/2012 19,.000,84878.376000,6368.100,.00,6368.100
03/07/2012 15,03/07/2012 20,.000,83651.318000,6398.100,.00,6398.100
03/07/2012 16,03/07/2012 21,.000,82643.330000,6463.100,.00,6463.100
03/07/2012 17,03/07/2012 22,.000,82665.264000,6463.100,.00,6463.100
03/07/2012 18,03/07/2012 23,.000,84155.618000,6392.500,.00,6392.500
03/07/2012 19,03/08/2012 00,.000,88590.693000,5596.200,.00,5596.200
03/07/2012 20,03/08/2012 01,.000,90584.867000,5587.300,.00,5587.300
