Preliminary Day-ahead Scheduling Reserve Summary
Month:,"May, 2012" ,Report Creation Timestamp (EPT):, 03/25/2013 01:30:02 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
05/01/2012 01,05/01/2012 05,.000,66957.409000,4254.000,.00,4254.000
05/01/2012 02,05/01/2012 06,.000,64015.434000,4319.600,.00,4319.600
05/01/2012 03,05/01/2012 07,.000,62446.280000,4435.100,.00,4435.100
05/01/2012 04,05/01/2012 08,.000,61753.860000,4319.600,.00,4319.600
05/01/2012 05,05/01/2012 09,.000,62936.112000,4319.700,.00,4319.700
05/01/2012 06,05/01/2012 10,.000,67276.149000,4153.900,.00,4153.900
05/01/2012 07,05/01/2012 11,.000,75204.306000,5191.300,.00,5191.300
05/01/2012 08,05/01/2012 12,.000,80220.095000,5664.900,.00,5664.900
05/01/2012 09,05/01/2012 13,.000,82787.502000,5670.500,.00,5670.500
05/01/2012 10,05/01/2012 14,.000,84308.201000,5666.000,.00,5666.000
05/01/2012 11,05/01/2012 15,.000,86103.284000,5384.400,.00,5384.400
05/01/2012 12,05/01/2012 16,.000,87200.584000,5384.900,.00,5384.900
05/01/2012 13,05/01/2012 17,.010,87828.448000,5383.300,53.83,5383.300
05/01/2012 14,05/01/2012 18,.010,88778.941000,5388.800,53.86,5388.800
05/01/2012 15,05/01/2012 19,.010,89142.583000,5381.800,53.79,5381.800
05/01/2012 16,05/01/2012 20,.010,89150.216000,5394.500,53.95,5394.500
05/01/2012 17,05/01/2012 21,.000,89456.273000,5385.600,.00,5385.600
05/01/2012 18,05/01/2012 22,.000,89504.223000,5415.700,.00,5415.700
05/01/2012 19,05/01/2012 23,.000,88636.337000,4639.100,.00,4639.100
05/01/2012 20,05/02/2012 00,.000,88302.796000,4594.100,.00,4594.100
05/01/2012 21,05/02/2012 01,.020,90725.006000,4394.100,87.90,4394.100
05/01/2012 22,05/02/2012 02,.000,88608.455000,4556.800,.00,4556.800
05/01/2012 23,05/02/2012 03,.000,81831.791000,4710.100,.00,4710.100
05/01/2012 24,05/02/2012 04,.000,74352.394000,4912.200,.00,4912.200
05/02/2012 01,05/02/2012 05,.000,68885.647000,4780.200,.00,4780.200
05/02/2012 02,05/02/2012 06,.000,65345.781000,4830.200,.00,4830.200
05/02/2012 03,05/02/2012 07,.000,63479.233000,4740.200,.00,4740.200
05/02/2012 04,05/02/2012 08,.000,62684.332000,4740.200,.00,4740.200
05/02/2012 05,05/02/2012 09,.000,63390.148000,4780.200,.00,4780.200
05/02/2012 06,05/02/2012 10,.000,67746.987000,5180.200,.00,5180.200
05/02/2012 07,05/02/2012 11,.000,75430.518000,5805.900,.00,5805.900
05/02/2012 08,05/02/2012 12,.000,80661.054000,5834.800,.00,5834.800
05/02/2012 09,05/02/2012 13,.000,84003.531000,5834.800,.00,5834.800
05/02/2012 10,05/02/2012 14,.000,86278.142000,5854.000,.00,5854.000
05/02/2012 11,05/02/2012 15,.010,88916.289000,5737.700,57.40,5737.700
05/02/2012 12,05/02/2012 16,.010,90569.846000,5723.400,57.28,5723.400
05/02/2012 13,05/02/2012 17,.010,92188.720000,5724.300,57.24,5724.300
05/02/2012 14,05/02/2012 18,.020,93284.256000,5696.200,113.90,5696.200
05/02/2012 15,05/02/2012 19,.040,94080.601000,5679.200,227.20,5679.200
