Preliminary Day-ahead Scheduling Reserve Summary
Month:,"August, 2010" ,Report Creation Timestamp (EPT):, 11/02/2012 08:25:11 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/01/2010 01,08/01/2010 05,.010,69438.654000,5832.200,58.34,5832.200
08/01/2010 02,08/01/2010 06,.000,65382.108000,5873.400,.00,5873.400
08/01/2010 03,08/01/2010 07,.000,62407.273000,5858.000,.00,5858.000
08/01/2010 04,08/01/2010 08,.000,60653.761000,5875.000,.00,5875.000
08/01/2010 05,08/01/2010 09,.000,59566.673000,5878.100,.00,5878.100
08/01/2010 06,08/01/2010 10,.000,59547.296000,5882.900,.00,5882.900
08/01/2010 07,08/01/2010 11,.000,59626.931000,5932.000,.00,5932.000
08/01/2010 08,08/01/2010 12,.000,61333.673000,5883.000,.00,5883.000
08/01/2010 09,08/01/2010 13,.000,66260.139000,5866.100,.00,5866.100
08/01/2010 10,08/01/2010 14,.010,72022.463000,5835.500,58.35,5835.500
08/01/2010 11,08/01/2010 15,.020,77205.828000,5840.300,116.80,5840.300
08/01/2010 12,08/01/2010 16,.020,81511.131000,5796.500,115.94,5796.500
08/01/2010 13,08/01/2010 17,.020,84735.228000,5796.600,115.94,5796.600
08/01/2010 14,08/01/2010 18,.040,87042.564000,5582.200,223.28,5582.200
08/01/2010 15,08/01/2010 19,.040,88318.307000,5619.500,224.79,5619.500
08/01/2010 16,08/01/2010 20,.050,89119.536000,5635.600,281.93,5635.600
08/01/2010 17,08/01/2010 21,.050,89915.017000,5635.500,281.86,5635.500
08/01/2010 18,08/01/2010 22,.050,90453.872000,5635.400,281.87,5635.400
08/01/2010 19,08/01/2010 23,.050,89852.809000,5635.500,281.85,5635.500
08/01/2010 20,08/02/2010 00,.020,88327.892000,5796.400,115.95,5796.400
08/01/2010 21,08/02/2010 01,.040,87758.736000,5773.500,230.94,5773.500
08/01/2010 22,08/02/2010 02,.020,87195.096000,5847.600,116.95,5847.600
08/01/2010 23,08/02/2010 03,.020,82914.207000,5857.300,117.17,5857.300
08/01/2010 24,08/02/2010 04,.010,76466.260000,5707.700,57.10,5707.700
08/02/2010 01,08/02/2010 05,.000,71250.836000,6852.300,.00,6852.300
08/02/2010 02,08/02/2010 06,.000,67291.794000,6767.600,.00,6767.600
08/02/2010 03,08/02/2010 07,.000,64708.704000,6770.400,.00,6770.400
08/02/2010 04,08/02/2010 08,.000,63589.636000,6761.800,.00,6761.800
08/02/2010 05,08/02/2010 09,.000,63919.279000,6770.400,.00,6770.400
08/02/2010 06,08/02/2010 10,.000,66916.010000,6739.800,.00,6739.800
08/02/2010 07,08/02/2010 11,.000,71612.265000,6732.200,.00,6732.200
08/02/2010 08,08/02/2010 12,.010,77077.397000,6913.000,69.17,6913.000
08/02/2010 09,08/02/2010 13,.020,83020.237000,6593.700,131.88,6593.700
08/02/2010 10,08/02/2010 14,.020,88631.499000,6829.600,136.60,6829.600
08/02/2010 11,08/02/2010 15,.020,94040.421000,6798.800,135.96,6798.800
08/02/2010 12,08/02/2010 16,.020,98420.747000,6738.100,134.77,6738.100
08/02/2010 13,08/02/2010 17,.040,101993.966000,6719.800,268.77,6719.800
08/02/2010 14,08/02/2010 18,.110,104870.850000,6693.400,736.27,6693.400
08/02/2010 15,08/02/2010 19,1.000,106699.757000,6685.901,6685.90,6685.901
08/02/2010 16,08/02/2010 20,1.000,107663.377000,6652.599,6652.61,6652.599
08/02/2010 17,08/02/2010 21,1.000,107951.129000,6662.500,6662.52,6662.500
08/02/2010 18,08/02/2010 22,1.000,107088.829000,6653.800,6653.81,6653.800
08/02/2010 19,08/02/2010 23,.080,104960.543000,6730.500,538.44,6730.500
08/02/2010 20,08/03/2010 00,.020,101724.377000,6759.700,135.20,6759.700
08/02/2010 21,08/03/2010 01,.040,100477.940000,6560.600,262.41,6560.600
08/02/2010 22,08/03/2010 02,.020,98915.477000,6633.500,132.69,6633.500
08/02/2010 23,08/03/2010 03,.020,92445.118000,6628.800,132.59,6628.800
08/02/2010 24,08/03/2010 04,.010,84802.752000,6664.100,66.71,6664.100
08/03/2010 01,08/03/2010 05,.000,77936.327000,7298.400,.00,7298.400
08/03/2010 02,08/03/2010 06,.000,73240.575000,7355.300,.00,7355.300
