Preliminary Day-ahead Scheduling Reserve Summary
Month:,"August, 2009" ,Report Creation Timestamp (EPT):, 07/02/2012 10:15:29 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/01/2009 01,08/01/2009 05,.000,69702.242000,6074.400,.00,6074.400
08/01/2009 02,08/01/2009 06,.000,65364.847000,6094.400,.00,6094.400
08/01/2009 03,08/01/2009 07,.000,62138.467000,6100.000,.00,6100.000
08/01/2009 04,08/01/2009 08,.000,60120.730000,6253.600,.00,6253.600
08/01/2009 05,08/01/2009 09,.000,59145.994000,6179.000,.00,6179.000
08/01/2009 06,08/01/2009 10,.000,59530.326000,6253.600,.00,6253.600
08/01/2009 07,08/01/2009 11,.000,60114.112000,6253.600,.00,6253.600
08/01/2009 08,08/01/2009 12,.000,63185.585000,6005.600,.00,6005.600
08/01/2009 09,08/01/2009 13,.000,69201.477000,5953.100,.00,5953.100
08/01/2009 10,08/01/2009 14,.010,75577.141000,6077.000,60.79,6077.000
08/01/2009 11,08/01/2009 15,.040,81304.886000,6191.600,247.63,6191.600
08/01/2009 12,08/01/2009 16,.050,85558.255000,6177.000,309.03,6177.000
08/01/2009 13,08/01/2009 17,.050,88408.608000,6228.600,311.55,6228.600
08/01/2009 14,08/01/2009 18,.050,90363.790000,6228.500,311.56,6228.500
08/01/2009 15,08/01/2009 19,.080,91756.005000,6228.300,498.29,6228.300
08/01/2009 16,08/01/2009 20,.100,92846.720000,6228.100,622.81,6228.100
08/01/2009 17,08/01/2009 21,.080,93456.277000,6227.900,498.19,6227.900
08/01/2009 18,08/01/2009 22,.070,93099.533000,6228.200,436.02,6228.200
08/01/2009 19,08/01/2009 23,.050,91227.227000,6227.700,311.47,6227.700
08/01/2009 20,08/02/2009 00,.050,88126.885000,6228.000,311.55,6228.000
08/01/2009 21,08/02/2009 01,.050,86944.763000,6228.100,311.51,6228.100
08/01/2009 22,08/02/2009 02,.050,86237.631000,6228.000,311.51,6228.000
08/01/2009 23,08/02/2009 03,.010,81649.510000,6047.899,60.48,6047.899
08/01/2009 24,08/02/2009 04,.000,75951.257000,6094.400,.00,6094.400
08/02/2009 01,08/02/2009 05,.000,70242.686000,5995.000,.00,5995.000
08/02/2009 02,08/02/2009 06,.000,66151.653000,6004.000,.00,6004.000
08/02/2009 03,08/02/2009 07,.000,63322.570000,6051.100,.00,6051.100
08/02/2009 04,08/02/2009 08,.000,61438.834000,6054.400,.00,6054.400
08/02/2009 05,08/02/2009 09,.000,60373.945000,6029.800,.00,6029.800
08/02/2009 06,08/02/2009 10,.000,60368.148000,6059.900,.00,6059.900
08/02/2009 07,08/02/2009 11,.000,60653.402000,6059.900,.00,6059.900
08/02/2009 08,08/02/2009 12,.000,62276.526000,5910.000,.00,5910.000
08/02/2009 09,08/02/2009 13,.000,66653.428000,5907.901,.00,5907.901
08/02/2009 10,08/02/2009 14,.000,71156.542000,5874.700,.00,5874.700
08/02/2009 11,08/02/2009 15,.010,74982.674000,6062.399,60.64,6062.399
08/02/2009 12,08/02/2009 16,.040,77973.744000,5877.800,235.13,5877.800
08/02/2009 13,08/02/2009 17,.050,80084.434000,5979.700,299.18,5979.700
08/02/2009 14,08/02/2009 18,.050,81513.347000,5832.400,291.70,5832.400
08/02/2009 15,08/02/2009 19,.050,82879.224000,5832.800,291.80,5832.800
08/02/2009 16,08/02/2009 20,.070,83997.371000,5960.500,417.22,5960.500
08/02/2009 17,08/02/2009 21,.070,85860.053000,6074.200,425.19,6074.200
08/02/2009 18,08/02/2009 22,.080,87155.878000,6132.400,490.61,6132.400
08/02/2009 19,08/02/2009 23,.050,86866.994000,6073.800,303.76,6073.800
08/02/2009 20,08/03/2009 00,.050,84954.953000,5832.900,291.74,5832.900
08/02/2009 21,08/03/2009 01,.050,84579.048000,5796.000,289.92,5796.000
08/02/2009 22,08/03/2009 02,.050,84168.352000,5771.500,288.71,5771.500
08/02/2009 23,08/03/2009 03,.010,79531.140000,5668.701,56.70,5668.701
08/02/2009 24,08/03/2009 04,.000,73398.125000,5799.900,.00,5799.900
08/03/2009 01,08/03/2009 05,.010,67946.734000,6587.000,65.86,6587.000
08/03/2009 02,08/03/2009 06,.000,64126.427000,6642.000,.00,6642.000
08/03/2009 03,08/03/2009 07,.000,61922.549000,6709.800,.00,6709.800
08/03/2009 04,08/03/2009 08,.000,60854.722000,6768.400,.00,6768.400
08/03/2009 05,08/03/2009 09,.000,61275.206000,6687.800,.00,6687.800
08/03/2009 06,08/03/2009 10,.000,64292.632000,6833.600,.00,6833.600
08/03/2009 07,08/03/2009 11,.000,68849.333000,6703.200,.00,6703.200
08/03/2009 08,08/03/2009 12,.010,74619.378000,6720.900,67.26,6720.900
08/03/2009 09,08/03/2009 13,.010,80507.892000,6705.899,67.10,6705.899
08/03/2009 10,08/03/2009 14,.030,86004.384000,6810.100,204.32,6810.100
08/03/2009 11,08/03/2009 15,.040,91178.180000,6823.000,272.90,6823.000
08/03/2009 12,08/03/2009 16,.050,95193.601000,6891.800,344.73,6891.800
08/03/2009 13,08/03/2009 17,.070,98172.240000,6891.400,482.44,6891.400
08/03/2009 14,08/03/2009 18,.100,101189.740000,6866.400,686.64,6866.400
08/03/2009 15,08/03/2009 19,.250,103659.890000,6891.300,1722.91,6891.300
08/03/2009 16,08/03/2009 20,.500,105421.244000,6891.600,3445.80,6891.600
08/03/2009 17,08/03/2009 21,.500,106664.604000,6891.300,3445.65,6891.300
08/03/2009 18,08/03/2009 22,.500,106440.880000,6891.300,3445.65,6891.300
08/03/2009 19,08/03/2009 23,.100,104024.855000,6875.200,687.52,6875.200
08/03/2009 20,08/04/2009 00,.050,100134.237000,6887.600,344.46,6887.600
08/03/2009 21,08/04/2009 01,.050,98239.405000,6888.100,344.58,6888.100
