Preliminary Day-ahead Scheduling Reserve Summary
Month:,"May, 2009" ,Report Creation Timestamp (EPT):, 09/05/2012 01:20:40 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
05/01/2009 01,05/01/2009 05,.000,57162.788000,4535.800,.00,4535.800
05/01/2009 02,05/01/2009 06,.000,54510.700000,4744.100,.00,4744.100
05/01/2009 03,05/01/2009 07,.000,53146.526000,4750.800,.00,4750.800
05/01/2009 04,05/01/2009 08,.000,52501.479000,4753.800,.00,4753.800
05/01/2009 05,05/01/2009 09,.000,53187.292000,4714.701,.00,4714.701
05/01/2009 06,05/01/2009 10,.000,56877.812000,4680.000,.00,4680.000
05/01/2009 07,05/01/2009 11,.000,63873.721000,4703.901,.00,4703.901
05/01/2009 08,05/01/2009 12,.000,68971.288000,4534.500,.00,4534.500
05/01/2009 09,05/01/2009 13,.000,71771.931000,4749.499,.00,4749.499
05/01/2009 10,05/01/2009 14,.040,73355.493000,4694.600,187.83,4694.600
05/01/2009 11,05/01/2009 15,.040,74584.665000,4727.600,189.08,4727.600
05/01/2009 12,05/01/2009 16,.040,75274.143000,4808.300,192.33,4808.300
05/01/2009 13,05/01/2009 17,.040,75440.683000,4766.300,190.65,4766.300
05/01/2009 14,05/01/2009 18,.050,75301.958000,4841.100,242.17,4841.100
05/01/2009 15,05/01/2009 19,.040,75102.869000,4824.701,192.99,4824.701
05/01/2009 16,05/01/2009 20,.040,74507.676000,4843.900,193.76,4843.900
05/01/2009 17,05/01/2009 21,.040,74190.901000,4840.400,193.64,4840.400
05/01/2009 18,05/01/2009 22,.040,73492.082000,4832.900,193.33,4832.900
05/01/2009 19,05/01/2009 23,.000,72193.975000,4776.499,.00,4776.499
05/01/2009 20,05/02/2009 00,.000,71288.984000,4768.899,.00,4768.899
05/01/2009 21,05/02/2009 01,.040,72962.143000,4814.698,192.61,4814.698
05/01/2009 22,05/02/2009 02,.040,72076.836000,4713.300,188.53,4713.300
05/01/2009 23,05/02/2009 03,.000,67792.719000,4738.400,.00,4738.400
05/01/2009 24,05/02/2009 04,.000,62357.594000,4530.299,.00,4530.299
05/02/2009 01,05/02/2009 05,.000,57589.887000,4339.000,.00,4339.000
05/02/2009 02,05/02/2009 06,.000,54415.293000,4325.301,.00,4325.301
05/02/2009 03,05/02/2009 07,.000,52647.513000,4327.200,.00,4327.200
05/02/2009 04,05/02/2009 08,.000,51711.529000,4335.900,.00,4335.900
05/02/2009 05,05/02/2009 09,.000,51488.159000,4376.300,.00,4376.300
05/02/2009 06,05/02/2009 10,.000,52225.333000,4369.000,.00,4369.000
05/02/2009 07,05/02/2009 11,.000,53640.667000,4321.701,.00,4321.701
05/02/2009 08,05/02/2009 12,.000,56463.940000,4309.499,.00,4309.499
05/02/2009 09,05/02/2009 13,.000,60454.570000,4293.900,.00,4293.900
05/02/2009 10,05/02/2009 14,.040,63746.357000,4213.500,168.54,4213.500
05/02/2009 11,05/02/2009 15,.050,65629.323000,4284.000,214.27,4284.000
05/02/2009 12,05/02/2009 16,.050,66333.230000,4328.300,216.47,4328.300
05/02/2009 13,05/02/2009 17,.050,66066.599000,4328.500,216.51,4328.500
05/02/2009 14,05/02/2009 18,.050,65578.105000,4284.400,214.33,4284.400
05/02/2009 15,05/02/2009 19,.040,64856.376000,4299.500,172.00,4299.500
05/02/2009 16,05/02/2009 20,.040,64547.141000,4302.700,172.15,4302.700
05/02/2009 17,05/02/2009 21,.040,64469.403000,4294.700,171.76,4294.700
05/02/2009 18,05/02/2009 22,.040,64403.531000,4295.300,171.81,4295.300
05/02/2009 19,05/02/2009 23,.040,63916.732000,4243.400,169.75,4243.400
05/02/2009 20,05/03/2009 00,.040,64220.725000,4239.300,169.58,4239.300
05/02/2009 21,05/03/2009 01,.040,66643.798000,4304.200,172.14,4304.200
05/02/2009 22,05/03/2009 02,.040,66480.932000,4278.200,171.16,4278.200
