Preliminary Day-ahead Scheduling Reserve Summary
Month:,"May, 2010" ,Report Creation Timestamp (EPT):, 03/25/2013 12:57:13 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
05/04/2010 03,05/04/2010 07,.000,57688.954000,4710.700,.00,4710.700
05/04/2010 04,05/04/2010 08,.000,56752.015000,4704.200,.00,4704.200
05/04/2010 05,05/04/2010 09,.000,57125.051000,4735.200,.00,4735.200
05/04/2010 06,05/04/2010 10,.000,60776.780000,4738.000,.00,4738.000
05/04/2010 07,05/04/2010 11,.000,67196.131000,5594.200,.00,5594.200
05/04/2010 08,05/04/2010 12,.000,72407.794000,5348.000,.00,5348.000
05/04/2010 09,05/04/2010 13,.000,75478.592000,5515.500,.00,5515.500
05/04/2010 10,05/04/2010 14,.000,78281.905000,5530.600,.00,5530.600
05/04/2010 11,05/04/2010 15,.010,81035.283000,5473.200,54.75,5473.200
05/04/2010 12,05/04/2010 16,.010,82714.278000,5533.800,55.34,5533.800
05/04/2010 13,05/04/2010 17,.010,84163.801000,5529.400,55.32,5529.400
05/04/2010 14,05/04/2010 18,.040,85270.478000,5533.500,221.38,5533.500
05/04/2010 15,05/04/2010 19,.040,85722.781000,5531.300,221.29,5531.300
05/04/2010 16,05/04/2010 20,.020,86071.265000,5528.800,110.58,5528.800
05/04/2010 17,05/04/2010 21,.040,86013.543000,5532.200,221.25,5532.200
05/04/2010 18,05/04/2010 22,.040,85211.052000,5211.200,208.49,5211.200
05/04/2010 19,05/04/2010 23,.010,83293.365000,4905.600,49.10,4905.600
05/04/2010 20,05/05/2010 00,.000,81146.232000,4916.500,.00,4916.500
05/04/2010 21,05/05/2010 01,.010,81799.937000,4350.700,43.53,4350.700
05/04/2010 22,05/05/2010 02,.010,80426.751000,4325.600,43.28,4325.600
05/04/2010 23,05/05/2010 03,.000,74002.701000,4369.400,.00,4369.400
05/04/2010 24,05/05/2010 04,.000,66479.980000,4373.200,.00,4373.200
05/05/2010 01,05/05/2010 05,.000,60517.178000,4617.900,.00,4617.900
05/05/2010 02,05/05/2010 06,.000,57073.456000,4619.900,.00,4619.900
05/05/2010 03,05/05/2010 07,.000,55022.757000,4619.900,.00,4619.900
05/05/2010 04,05/05/2010 08,.000,53947.203000,4619.900,.00,4619.900
05/05/2010 05,05/05/2010 09,.000,54687.073000,4619.900,.00,4619.900
05/05/2010 06,05/05/2010 10,.000,58049.765000,4619.900,.00,4619.900
05/05/2010 07,05/05/2010 11,.000,64191.506000,5338.500,.00,5338.500
05/05/2010 08,05/05/2010 12,.000,69428.477000,5247.700,.00,5247.700
05/05/2010 09,05/05/2010 13,.000,73069.006000,5218.700,.00,5218.700
05/05/2010 10,05/05/2010 14,.010,75654.939000,5190.000,51.89,5190.000
05/05/2010 11,05/05/2010 15,.010,78123.444000,5264.000,52.66,5264.000
05/05/2010 12,05/05/2010 16,.020,79871.143000,5264.100,105.30,5264.100
05/05/2010 13,05/05/2010 17,.020,81430.581000,5198.200,103.96,5198.200
05/05/2010 14,05/05/2010 18,.040,83342.782000,5157.700,206.30,5157.700
05/05/2010 15,05/05/2010 19,.040,84580.663000,5056.800,202.29,5056.800
05/05/2010 16,05/05/2010 20,.040,85721.023000,5114.700,204.62,5114.700
05/05/2010 17,05/05/2010 21,.040,86602.993000,5150.200,206.07,5150.200
05/05/2010 18,05/05/2010 22,.040,86394.404000,4944.500,197.77,4944.500
05/05/2010 19,05/05/2010 23,.000,84603.180000,4794.400,.00,4794.400
05/05/2010 20,05/06/2010 00,.000,82019.891000,4800.400,.00,4800.400
05/05/2010 21,05/06/2010 01,.000,82700.850000,4235.800,.00,4235.800
05/05/2010 22,05/06/2010 02,.000,81209.284000,4225.500,.00,4225.500
05/05/2010 23,05/06/2010 03,.000,74785.311000,4278.100,.00,4278.100
05/05/2010 24,05/06/2010 04,.000,67557.302000,4304.900,.00,4304.900
05/06/2010 01,05/06/2010 05,.000,61863.271000,4598.600,.00,4598.600
05/06/2010 02,05/06/2010 06,.000,58415.068000,4587.000,.00,4587.000
05/06/2010 03,05/06/2010 07,.000,56300.633000,4587.500,.00,4587.500
05/06/2010 04,05/06/2010 08,.000,55413.883000,4568.600,.00,4568.600
05/06/2010 05,05/06/2010 09,.000,55918.416000,4563.700,.00,4563.700
05/06/2010 06,05/06/2010 10,.000,59398.513000,4598.600,.00,4598.600
05/06/2010 07,05/06/2010 11,.000,65857.144000,5480.900,.00,5480.900
05/06/2010 08,05/06/2010 12,.000,71254.946000,5419.300,.00,5419.300
05/06/2010 09,05/06/2010 13,.000,74966.273000,5407.100,.00,5407.100
05/06/2010 10,05/06/2010 14,.000,77866.989000,5417.600,.00,5417.600
05/06/2010 11,05/06/2010 15,.000,80458.186000,5354.600,.00,5354.600
05/06/2010 12,05/06/2010 16,.000,82368.561000,5336.700,.00,5336.700
05/06/2010 13,05/06/2010 17,.000,83533.899000,5384.000,.00,5384.000
05/06/2010 14,05/06/2010 18,.020,84647.816000,5345.600,106.92,5345.600
05/06/2010 15,05/06/2010 19,.040,85353.911000,5339.700,213.55,5339.700
05/06/2010 16,05/06/2010 20,.040,85481.784000,5280.200,211.26,5280.200
05/06/2010 17,05/06/2010 21,.040,85669.163000,5340.000,213.61,5340.000
05/06/2010 18,05/06/2010 22,.010,84838.543000,5002.800,50.04,5002.800
05/06/2010 19,05/06/2010 23,.000,82576.319000,4796.100,.00,4796.100
05/06/2010 20,05/07/2010 00,.000,80128.671000,4751.600,.00,4751.600
05/06/2010 21,05/07/2010 01,.000,80669.603000,4166.600,.00,4166.600
05/06/2010 22,05/07/2010 02,.000,79364.533000,4165.600,.00,4165.600
05/06/2010 23,05/07/2010 03,.000,72725.209000,4258.300,.00,4258.300
05/06/2010 24,05/07/2010 04,.000,65498.637000,4283.600,.00,4283.600
05/07/2010 01,05/07/2010 05,.000,60483.794000,4362.500,.00,4362.500
05/07/2010 02,05/07/2010 06,.000,56991.633000,4347.400,.00,4347.400
05/07/2010 03,05/07/2010 07,.000,55035.936000,4347.400,.00,4347.400
05/07/2010 04,05/07/2010 08,.000,54142.906000,4347.400,.00,4347.400
05/07/2010 05,05/07/2010 09,.000,54682.115000,4372.500,.00,4372.500
05/07/2010 06,05/07/2010 10,.000,58091.194000,4344.000,.00,4344.000
05/07/2010 07,05/07/2010 11,.000,63973.913000,5221.400,.00,5221.400
05/07/2010 08,05/07/2010 12,.000,69377.526000,5207.600,.00,5207.600
05/07/2010 09,05/07/2010 13,.000,72209.265000,5226.200,.00,5226.200
05/07/2010 10,05/07/2010 14,.000,74041.417000,5188.400,.00,5188.400
05/07/2010 11,05/07/2010 15,.000,75555.627000,5173.400,.00,5173.400
05/07/2010 12,05/07/2010 16,.000,76788.088000,5182.300,.00,5182.300
05/07/2010 13,05/07/2010 17,.000,77666.496000,5168.400,.00,5168.400
05/07/2010 14,05/07/2010 18,.040,78672.636000,5118.300,204.70,5118.300
05/07/2010 15,05/07/2010 19,.040,79297.843000,5131.300,205.22,5131.300
05/07/2010 16,05/07/2010 20,.040,79487.285000,5130.800,205.21,5130.800
05/07/2010 17,05/07/2010 21,.040,79717.197000,4833.300,193.36,4833.300
05/07/2010 18,05/07/2010 22,.010,79126.440000,4833.400,48.36,4833.400
05/07/2010 19,05/07/2010 23,.000,76951.323000,4447.500,.00,4447.500
05/07/2010 20,05/08/2010 00,.000,75237.149000,4445.000,.00,4445.000
05/07/2010 21,05/08/2010 01,.000,76372.423000,3961.000,.00,3961.000
05/07/2010 22,05/08/2010 02,.000,75421.606000,4036.900,.00,4036.900
05/07/2010 23,05/08/2010 03,.000,70663.621000,3988.700,.00,3988.700
05/07/2010 24,05/08/2010 04,.000,64914.760000,4032.400,.00,4032.400
05/08/2010 01,05/08/2010 05,.000,60075.714000,3545.700,.00,3545.700
05/08/2010 02,05/08/2010 06,.000,56770.851000,3745.900,.00,3745.900
05/08/2010 03,05/08/2010 07,.000,54752.218000,3748.700,.00,3748.700
05/08/2010 04,05/08/2010 08,.000,53688.121000,3745.200,.00,3745.200
05/08/2010 05,05/08/2010 09,.000,53232.766000,3752.300,.00,3752.300
05/08/2010 06,05/08/2010 10,.000,54219.995000,3752.200,.00,3752.200
05/08/2010 07,05/08/2010 11,.000,55616.434000,3855.100,.00,3855.100
05/08/2010 08,05/08/2010 12,.000,58906.839000,4050.700,.00,4050.700
05/08/2010 09,05/08/2010 13,.000,63716.585000,4075.400,.00,4075.400
05/08/2010 10,05/08/2010 14,.000,67822.470000,3962.000,.00,3962.000
05/08/2010 11,05/08/2010 15,.020,70092.790000,4056.000,81.14,4056.000
05/08/2010 12,05/08/2010 16,.020,71308.024000,4056.000,81.13,4056.000
05/08/2010 13,05/08/2010 17,.020,71409.680000,4040.500,80.82,4040.500
05/08/2010 14,05/08/2010 18,.010,70815.341000,4036.700,40.39,4036.700
05/08/2010 15,05/08/2010 19,.010,70054.914000,4027.400,40.27,4027.400
05/08/2010 16,05/08/2010 20,.010,69515.042000,4024.700,40.27,4024.700
05/08/2010 17,05/08/2010 21,.010,68974.055000,4020.200,40.20,4020.200
05/08/2010 18,05/08/2010 22,.010,68371.313000,3991.400,39.93,3991.400
05/08/2010 19,05/08/2010 23,.000,67392.086000,3681.100,.00,3681.100
05/08/2010 20,05/09/2010 00,.000,66428.999000,3648.400,.00,3648.400
05/08/2010 21,05/09/2010 01,.010,67794.433000,3696.100,36.98,3696.100
05/08/2010 22,05/09/2010 02,.010,67610.415000,3694.800,36.95,3694.800
05/08/2010 23,05/09/2010 03,.000,64192.677000,3637.800,.00,3637.800
05/08/2010 24,05/09/2010 04,.000,59792.463000,3826.400,.00,3826.400
05/09/2010 01,05/09/2010 05,.000,55792.915000,3636.800,.00,3636.800
05/09/2010 02,05/09/2010 06,.000,53100.826000,3560.900,.00,3560.900
05/09/2010 03,05/09/2010 07,.000,51497.267000,3560.900,.00,3560.900
05/09/2010 04,05/09/2010 08,.000,50635.788000,3549.600,.00,3549.600
05/09/2010 05,05/09/2010 09,.000,50556.030000,3740.700,.00,3740.700
05/09/2010 06,05/09/2010 10,.000,51278.822000,4017.300,.00,4017.300
05/09/2010 07,05/09/2010 11,.000,51781.811000,4100.800,.00,4100.800
05/09/2010 08,05/09/2010 12,.000,54448.893000,4100.900,.00,4100.900
05/09/2010 09,05/09/2010 13,.000,58364.386000,4087.100,.00,4087.100
05/09/2010 10,05/09/2010 14,.000,61022.999000,4079.600,.00,4079.600
05/09/2010 11,05/09/2010 15,.000,62187.278000,4099.800,.00,4099.800
05/09/2010 12,05/09/2010 16,.000,62460.403000,3954.300,.00,3954.300
05/09/2010 13,05/09/2010 17,.000,62098.638000,4026.900,.00,4026.900
05/09/2010 14,05/09/2010 18,.000,61308.217000,4026.400,.00,4026.400
05/09/2010 15,05/09/2010 19,.000,60754.339000,3965.700,.00,3965.700
05/09/2010 16,05/09/2010 20,.000,60315.376000,3955.100,.00,3955.100
05/09/2010 17,05/09/2010 21,.000,60511.594000,4075.600,.00,4075.600
05/09/2010 18,05/09/2010 22,.010,60958.456000,3956.800,39.59,3956.800
