Preliminary Day-ahead Scheduling Reserve Summary
Month:,"June, 2011" ,Report Creation Timestamp (EPT):, 03/05/2013 11:09:25 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
06/04/2011 03,06/04/2011 07,.000,63701.426000,5710.100,.00,5710.100
06/04/2011 04,06/04/2011 08,.000,61881.924000,5845.500,.00,5845.500
06/04/2011 05,06/04/2011 09,.000,61224.197000,5784.100,.00,5784.100
06/04/2011 06,06/04/2011 10,.000,61555.615000,5667.500,.00,5667.500
06/04/2011 07,06/04/2011 11,.000,62380.529000,5844.100,.00,5844.100
06/04/2011 08,06/04/2011 12,.000,66575.078000,5674.900,.00,5674.900
06/04/2011 09,06/04/2011 13,.010,72663.383000,5622.599,56.28,5622.599
06/04/2011 10,06/04/2011 14,.010,78132.173000,5621.400,56.23,5621.400
06/04/2011 11,06/04/2011 15,.010,82738.550000,5646.300,56.52,5646.300
06/04/2011 12,06/04/2011 16,.020,86315.623000,5710.200,114.23,5710.200
06/04/2011 13,06/04/2011 17,.020,89275.685000,5925.300,118.50,5925.300
06/04/2011 14,06/04/2011 18,.020,91780.933000,5856.300,117.12,5856.300
06/04/2011 15,06/04/2011 19,.040,94014.009000,5885.500,235.39,5885.500
06/04/2011 16,06/04/2011 20,.040,95624.953000,5841.900,233.70,5841.900
06/04/2011 17,06/04/2011 21,.040,95886.525000,5820.500,232.86,5820.500
06/04/2011 18,06/04/2011 22,.040,95120.113000,5892.500,235.73,5892.500
06/04/2011 19,06/04/2011 23,.020,93780.508000,5895.300,117.91,5895.300
06/04/2011 20,06/05/2011 00,.010,91628.438000,5833.400,58.39,5833.400
06/04/2011 21,06/05/2011 01,.020,90221.468000,5831.200,116.64,5831.200
06/04/2011 22,06/05/2011 02,.020,89230.643000,5716.100,114.34,5716.100
06/04/2011 23,06/05/2011 03,.010,84768.887000,5630.600,56.34,5630.600
06/04/2011 24,06/05/2011 04,.000,78090.675000,5533.500,.00,5533.500
06/05/2011 01,06/05/2011 05,.000,72170.823000,5661.300,.00,5661.300
06/05/2011 02,06/05/2011 06,.000,67711.136000,5661.500,.00,5661.500
06/05/2011 03,06/05/2011 07,.000,64896.130000,5566.100,.00,5566.100
06/05/2011 04,06/05/2011 08,.000,62795.242000,5648.600,.00,5648.600
06/05/2011 05,06/05/2011 09,.000,61748.785000,5410.100,.00,5410.100
06/05/2011 06,06/05/2011 10,.000,61712.411000,5670.500,.00,5670.500
06/05/2011 07,06/05/2011 11,.000,61259.747000,5663.600,.00,5663.600
06/05/2011 08,06/05/2011 12,.000,63984.468000,5386.100,.00,5386.100
06/05/2011 09,06/05/2011 13,.000,68884.427000,5540.500,.00,5540.500
06/05/2011 10,06/05/2011 14,.010,74165.077000,5506.800,55.10,5506.800
06/05/2011 11,06/05/2011 15,.010,78527.453000,5539.300,55.42,5539.300
06/05/2011 12,06/05/2011 16,.020,81922.823000,5514.400,110.33,5514.400
06/05/2011 13,06/05/2011 17,.020,84923.540000,5504.700,110.13,5504.700
06/05/2011 14,06/05/2011 18,.040,87501.879000,5491.700,219.63,5491.700
06/05/2011 15,06/05/2011 19,.040,89666.614000,5496.000,219.85,5496.000
06/05/2011 16,06/05/2011 20,.040,91711.237000,5422.800,216.85,5422.800
06/05/2011 17,06/05/2011 21,.040,93642.829000,5353.700,214.14,5353.700
06/05/2011 18,06/05/2011 22,.040,94938.716000,5365.000,214.61,5365.000
06/05/2011 19,06/05/2011 23,.020,94471.707000,5506.600,110.16,5506.600
06/05/2011 20,06/06/2011 00,.020,92534.229000,5504.600,110.12,5504.600
06/05/2011 21,06/06/2011 01,.020,91361.348000,5502.500,110.08,5502.500
06/05/2011 22,06/06/2011 02,.040,90772.386000,5471.100,218.81,5471.100
06/05/2011 23,06/06/2011 03,.010,85238.766000,5326.900,53.34,5326.900
06/05/2011 24,06/06/2011 04,.000,77735.243000,5414.200,.00,5414.200
06/06/2011 01,06/06/2011 05,.000,71339.178000,6521.300,.00,6521.300
