Preliminary Day-ahead Scheduling Reserve Summary
Month:,"June, 2009" ,Report Creation Timestamp (EPT):, 09/05/2012 01:36:00 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
06/04/2009 03,06/04/2009 07,.000,55592.268000,5014.502,.00,5014.502
06/04/2009 04,06/04/2009 08,.000,54782.591000,5063.602,.00,5063.602
06/04/2009 05,06/04/2009 09,.000,55294.100000,5063.602,.00,5063.602
06/04/2009 06,06/04/2009 10,.000,58541.190000,5063.602,.00,5063.602
06/04/2009 07,06/04/2009 11,.000,64149.310000,5055.500,.00,5055.500
06/04/2009 08,06/04/2009 12,.000,69546.191000,5039.800,.00,5039.800
06/04/2009 09,06/04/2009 13,.010,72803.743000,5029.400,50.30,5029.400
06/04/2009 10,06/04/2009 14,.040,74911.673000,5022.700,200.91,5022.700
06/04/2009 11,06/04/2009 15,.040,76707.152000,5029.400,201.19,5029.400
06/04/2009 12,06/04/2009 16,.040,77714.355000,5029.700,201.21,5029.700
06/04/2009 13,06/04/2009 17,.040,78157.399000,5029.400,201.18,5029.400
06/04/2009 14,06/04/2009 18,.040,78380.582000,5032.800,201.30,5032.800
06/04/2009 15,06/04/2009 19,.040,77832.185000,5029.200,201.17,5029.200
06/04/2009 16,06/04/2009 20,.040,77186.114000,5029.600,201.21,5029.600
06/04/2009 17,06/04/2009 21,.040,76793.374000,5024.300,200.98,5024.300
06/04/2009 18,06/04/2009 22,.040,76181.582000,5024.600,201.03,5024.600
06/04/2009 19,06/04/2009 23,.040,75073.444000,5015.000,200.65,5015.000
06/04/2009 20,06/05/2009 00,.000,74112.759000,4934.500,.00,4934.500
06/04/2009 21,06/05/2009 01,.010,74737.141000,5029.400,50.32,5029.400
06/04/2009 22,06/05/2009 02,.000,73889.522000,5022.900,.00,5022.900
06/04/2009 23,06/05/2009 03,.000,69432.326000,5063.600,.00,5063.600
06/04/2009 24,06/05/2009 04,.000,63411.379000,5045.601,.00,5045.601
06/05/2009 01,06/05/2009 05,.000,58479.337000,5101.301,.00,5101.301
06/05/2009 02,06/05/2009 06,.000,55579.553000,5103.301,.00,5103.301
06/05/2009 03,06/05/2009 07,.000,53741.740000,5103.302,.00,5103.302
06/05/2009 04,06/05/2009 08,.000,53046.835000,5103.300,.00,5103.300
06/05/2009 05,06/05/2009 09,.000,53583.788000,5103.302,.00,5103.302
06/05/2009 06,06/05/2009 10,.000,56720.640000,5103.301,.00,5103.301
06/05/2009 07,06/05/2009 11,.000,62157.071000,5073.300,.00,5073.300
06/05/2009 08,06/05/2009 12,.000,67546.187000,4980.300,.00,4980.300
06/05/2009 09,06/05/2009 13,.040,71092.383000,5036.700,201.49,5036.700
06/05/2009 10,06/05/2009 14,.040,73560.275000,5040.800,201.62,5040.800
06/05/2009 11,06/05/2009 15,.040,75445.523000,5040.500,201.61,5040.500
06/05/2009 12,06/05/2009 16,.040,76441.922000,5075.800,203.08,5075.800
06/05/2009 13,06/05/2009 17,.040,76662.520000,4769.100,190.76,4769.100
06/05/2009 14,06/05/2009 18,.040,76744.671000,5076.000,203.04,5076.000
06/05/2009 15,06/05/2009 19,.040,76490.661000,5076.200,203.04,5076.200
06/05/2009 16,06/05/2009 20,.040,75898.480000,4763.600,190.57,4763.600
06/05/2009 17,06/05/2009 21,.040,75566.579000,4763.200,190.55,4763.200
06/05/2009 18,06/05/2009 22,.040,74799.576000,4918.600,196.73,4918.600
06/05/2009 19,06/05/2009 23,.040,73400.192000,5039.900,201.63,5039.900
