Preliminary Day-ahead Scheduling Reserve Summary
Month:,"April, 2013" ,Report Creation Timestamp (EPT):, 04/08/2013 10:22:55 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/01/2013 01,04/01/2013 05,.000,67320.645000,5591.900,.00,5591.900
04/01/2013 02,04/01/2013 06,.000,65742.513000,5591.900,.00,5591.900
04/01/2013 03,04/01/2013 07,.000,65207.825000,5591.900,.00,5591.900
04/01/2013 04,04/01/2013 08,.000,65458.415000,5935.900,.00,5935.900
04/01/2013 05,04/01/2013 09,.000,67451.207000,5791.900,.00,5791.900
04/01/2013 06,04/01/2013 10,.000,72311.792000,5791.900,.00,5791.900
04/01/2013 07,04/01/2013 11,.000,80149.942000,5963.900,.00,5963.900
04/01/2013 08,04/01/2013 12,.000,85219.438000,5963.900,.00,5963.900
04/01/2013 09,04/01/2013 13,.000,86954.142000,5963.900,.00,5963.900
04/01/2013 10,04/01/2013 14,.000,87259.536000,5963.900,.00,5963.900
04/01/2013 11,04/01/2013 15,.000,87479.516000,6128.900,.00,6128.900
04/01/2013 12,04/01/2013 16,.000,87166.699000,6128.900,.00,6128.900
04/01/2013 13,04/01/2013 17,.000,86320.118000,6128.900,.00,6128.900
04/01/2013 14,04/01/2013 18,.000,85554.350000,6128.900,.00,6128.900
04/01/2013 15,04/01/2013 19,.000,84625.927000,6128.900,.00,6128.900
04/01/2013 16,04/01/2013 20,.000,83583.320000,6129.000,.00,6129.000
04/01/2013 17,04/01/2013 21,.000,83138.886000,6300.900,.00,6300.900
04/01/2013 18,04/01/2013 22,.000,83208.303000,5905.900,.00,5905.900
04/01/2013 19,04/01/2013 23,.000,83625.132000,5905.900,.00,5905.900
04/01/2013 20,04/02/2013 00,.000,86686.655000,5562.600,.00,5562.600
04/01/2013 21,04/02/2013 01,.010,90973.079000,5243.000,52.45,5243.000
04/01/2013 22,04/02/2013 02,.000,89352.746000,5356.100,.00,5356.100
04/01/2013 23,04/02/2013 03,.000,84675.086000,5194.000,.00,5194.000
04/01/2013 24,04/02/2013 04,.000,79617.402000,5193.900,.00,5193.900
End of Report
