Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2009 ",Report Creation Timestamp (EPT):, 12/01/2011 10:59:08 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/01/2009 01,11/01/2009 05,0,56638.144,4466.4,0,4466.4
11/01/2009 02,11/01/2009 06,0,54520.133,4477.2,0,4477.2
11/01/2009 02,11/01/2009 07,0.01,52734.055,4450.1,44.49,4450.1
11/01/2009 03,11/01/2009 08,0,52198.567,4462.5,0,4462.5
11/01/2009 04,11/01/2009 09,0,51806.492,4462.6,0,4462.6
11/01/2009 05,11/01/2009 10,0,52129.685,4476.4,0,4476.4
11/01/2009 06,11/01/2009 11,0,53605.55,4316.7,0,4316.7
11/01/2009 07,11/01/2009 12,0,55815.108,4450.3,0,4450.3
11/01/2009 08,11/01/2009 13,0,58723.322,4377.3,0,4377.3
11/01/2009 09,11/01/2009 14,0.02,62356.947,4396.4,87.94,4396.4
11/01/2009 10,11/01/2009 15,0.04,64384.106,4396.9,175.85,4396.9
11/01/2009 11,11/01/2009 16,0.04,64774.017,4387.9,175.55,4387.9
11/01/2009 12,11/01/2009 17,0.04,65013.094,4387.2,175.47,4387.2
11/01/2009 13,11/01/2009 18,0.04,64891.883,4409.2,176.35,4409.2
11/01/2009 14,11/01/2009 19,0.03,64406.426,4420.8,132.64,4420.8
11/01/2009 15,11/01/2009 20,0.01,63673.072,4396.5,43.97,4396.5
11/01/2009 16,11/01/2009 21,0.01,63580.769,4385.9,43.88,4385.9
11/01/2009 17,11/01/2009 22,0.04,65113.464,4506,180.24,4506
11/01/2009 18,11/01/2009 23,0.05,70709.043,4427.1,221.49,4427.1
11/01/2009 19,11/02/2009 00,0.11,73559.759,4427.4,487.04,4427.4
11/01/2009 20,11/02/2009 01,0.08,72999.51,4427.2,354.17,4427.2
11/01/2009 21,11/02/2009 02,0.05,71534.039,4427.1,221.41,4427.1
11/01/2009 22,11/02/2009 03,0.04,68589.77,4377.5,175.11,4377.5
11/01/2009 23,11/02/2009 04,0,64768.713,4297.7,0,4297.7
11/01/2009 24,11/02/2009 05,0,60788.662,4282.9,0,4282.9
11/02/2009 01,11/02/2009 06,0,58075.61,4519.8,0,4519.8
11/02/2009 02,11/02/2009 07,0,56523.942,4685,0,4685
11/02/2009 03,11/02/2009 08,0,56068.223,4691.8,0,4691.8
11/02/2009 04,11/02/2009 09,0,56364.906,4611.6,0,4611.6
11/02/2009 05,11/02/2009 10,0,58236.901,4571.4,0,4571.4
11/02/2009 06,11/02/2009 11,0,63130.225,4586.9,0,4586.9
11/02/2009 07,11/02/2009 12,0.03,71178.591,4575.4,137.28,4575.4
11/02/2009 08,11/02/2009 13,0.05,75519.278,4574.6,228.81,4574.6
11/02/2009 09,11/02/2009 14,0.05,76820.122,4574.8,228.87,4574.8
11/02/2009 10,11/02/2009 15,0.05,76741.912,4573.8,228.8,4573.8
11/02/2009 11,11/02/2009 16,0.05,76433.52,4575,228.82,4575
11/02/2009 12,11/02/2009 17,0.05,75849.02,4582.7,229.24,4582.7
11/02/2009 13,11/02/2009 18,0.05,75226.034,4583.1,229.22,4583.1
11/02/2009 14,11/02/2009 19,0.05,74672.238,4586.2,229.39,4586.2
11/02/2009 15,11/02/2009 20,0.04,73838.308,4598.2,183.92,4598.2
11/02/2009 16,11/02/2009 21,0.04,73205.029,4627.9,185.08,4627.9
11/02/2009 17,11/02/2009 22,0.05,74023.772,4584.3,229.28,4584.3
11/02/2009 18,11/02/2009 23,0.07,78793.34,4571.4,320,4571.4
11/02/2009 19,11/03/2009 00,0.11,81400.14,4581.4,503.99,4581.4
11/02/2009 20,11/03/2009 01,0.11,80500.978,4569.4,502.62,4569.4
11/02/2009 21,11/03/2009 02,0.05,78615.639,4569.3,228.53,4569.3
11/02/2009 22,11/03/2009 03,0.04,74770.918,4602.3,184.13,4602.3
11/02/2009 23,11/03/2009 04,0.01,69880.697,4369,43.71,4369
11/02/2009 24,11/03/2009 05,0,65105.475,4550.2,0,4550.2
11/03/2009 01,11/03/2009 06,0,61430.01,4490,0,4490
11/03/2009 02,11/03/2009 07,0,59538.21,4601.3,0,4601.3
11/03/2009 03,11/03/2009 08,0,58682.319,4474.8,0,4474.8
11/03/2009 04,11/03/2009 09,0,58916.971,4614.6,0,4614.6
11/03/2009 05,11/03/2009 10,0,60753.213,4592.2,0,4592.2
11/03/2009 06,11/03/2009 11,0.02,65529.995,4631.2,92.63,4631.2
11/03/2009 07,11/03/2009 12,0.04,73185.207,4551.8,182.06,4551.8
11/03/2009 08,11/03/2009 13,0.05,76886.169,4695.2,234.89,4695.2
11/03/2009 09,11/03/2009 14,0.07,77192.118,4673.4,327.13,4673.4
11/03/2009 10,11/03/2009 15,0.07,76683.113,4675.3,327.26,4675.3
11/03/2009 11,11/03/2009 16,0.05,76074.767,4701.4,235.2,4701.4
11/03/2009 12,11/03/2009 17,0.05,75557.112,4666.3,233.37,4666.3
11/03/2009 13,11/03/2009 18,0.05,74888.643,4680.3,234.06,4680.3
11/03/2009 14,11/03/2009 19,0.05,74400.09,4691.7,234.7,4691.7
11/03/2009 15,11/03/2009 20,0.04,73604.165,4701.5,188.1,4701.5
11/03/2009 16,11/03/2009 21,0.04,72865.57,4679.3,187.16,4679.3
11/03/2009 17,11/03/2009 22,0.05,73802.48,4648.9,232.55,4648.9
11/03/2009 18,11/03/2009 23,0.05,79156.905,4664.2,233.3,4664.2
11/03/2009 19,11/04/2009 00,0.08,81907.326,4665.2,373.2,4665.2
11/03/2009 20,11/04/2009 01,0.08,81189.13,4675.1,373.99,4675.1
11/03/2009 21,11/04/2009 02,0.05,79385.001,4699.1,235.02,4699.1
11/03/2009 22,11/04/2009 03,0.04,76172.035,4700,187.99,4700
11/03/2009 23,11/04/2009 04,0.01,71434.581,4594.4,45.97,4594.4
11/03/2009 24,11/04/2009 05,0,66614.249,4609.4,0,4609.4
11/04/2009 01,11/04/2009 06,0,62703.633,4958.8,0,4958.8
11/04/2009 02,11/04/2009 07,0,61191.994,5019.3,0,5019.3
11/04/2009 03,11/04/2009 08,0,60588.586,5023.3,0,5023.3
11/04/2009 04,11/04/2009 09,0,60941.041,5024.1,0,5024.1
11/04/2009 05,11/04/2009 10,0,62756.423,4922.6,0,4922.6
11/04/2009 06,11/04/2009 11,0.04,67801.296,5003.9,200.11,5003.9
11/04/2009 07,11/04/2009 12,0.04,76137.843,4989.5,199.58,4989.5
11/04/2009 08,11/04/2009 13,0.05,80068.26,5001.7,250.15,5001.7
11/04/2009 09,11/04/2009 14,0.05,79752.168,5001.3,250.22,5001.3
11/04/2009 10,11/04/2009 15,0.05,78894.651,5001.3,250.11,5001.3
11/04/2009 11,11/04/2009 16,0.05,78222.765,5041.2,252.16,5041.2
11/04/2009 12,11/04/2009 17,0.05,77190.676,5041.5,252.17,5041.5
11/04/2009 13,11/04/2009 18,0.05,76496.711,5041.2,252.14,5041.2
11/04/2009 14,11/04/2009 19,0.04,75861.295,5041,201.65,5041
11/04/2009 15,11/04/2009 20,0.04,75177.909,5039.9,201.6,5039.9
11/04/2009 16,11/04/2009 21,0.04,74904.551,5006.6,200.26,5006.6
11/04/2009 17,11/04/2009 22,0.04,76802.616,5033.7,201.36,5033.7
11/04/2009 18,11/04/2009 23,0.05,82108.373,4976.8,248.9,4976.8
11/04/2009 19,11/05/2009 00,0.05,83929.095,4973.1,248.73,4973.1
11/04/2009 20,11/05/2009 01,0.05,82862.245,4973.3,248.82,4973.3
11/04/2009 21,11/05/2009 02,0.05,80728.293,5006.7,250.44,5006.7
11/04/2009 22,11/05/2009 03,0.04,77126.812,5041.1,201.64,5041.1
11/04/2009 23,11/05/2009 04,0.02,72037.125,4891.2,97.83,4891.2
11/04/2009 24,11/05/2009 05,0,67021.884,4866.1,0,4866.1
11/05/2009 01,11/05/2009 06,0,63027.959,5159.4,0,5159.4
11/05/2009 02,11/05/2009 07,0,61037.991,5230.3,0,5230.3
11/05/2009 03,11/05/2009 08,0,60050.227,5196.8,0,5196.8
11/05/2009 04,11/05/2009 09,0,60227.472,5176.2,0,5176.2
11/05/2009 05,11/05/2009 10,0,62024.752,5226.4,0,5226.4
11/05/2009 06,11/05/2009 11,0,67195.893,5185,0,5185
11/05/2009 07,11/05/2009 12,0.04,75044.374,5007.5,200.3,5007.5
11/05/2009 08,11/05/2009 13,0.05,78521.343,5057,253.01,5057
11/05/2009 09,11/05/2009 14,0.05,78690.363,5063,253.2,5063
11/05/2009 10,11/05/2009 15,0.05,78122.043,5062.9,253.27,5062.9
11/05/2009 11,11/05/2009 16,0.05,77677.482,5060,253.08,5060
11/05/2009 12,11/05/2009 17,0.05,76823.432,5055.8,252.85,5055.8
11/05/2009 13,11/05/2009 18,0.05,76152,5065.6,253.35,5065.6
11/05/2009 14,11/05/2009 19,0.05,75469.784,5066.6,253.45,5066.6
11/05/2009 15,11/05/2009 20,0.04,74583.645,5102.3,204.07,5102.3
11/05/2009 16,11/05/2009 21,0.04,74283.124,5197.6,207.9,5197.6
11/05/2009 17,11/05/2009 22,0.04,75668.229,4979.9,199.2,4979.9
11/05/2009 18,11/05/2009 23,0.05,80646.602,4986,249.42,4986
11/05/2009 19,11/06/2009 00,0.05,82430.689,4986.9,249.45,4986.9
11/05/2009 20,11/06/2009 01,0.05,82431.873,4986.8,249.43,4986.8
11/05/2009 21,11/06/2009 02,0.05,80803.784,4949.7,247.6,4949.7
11/05/2009 22,11/06/2009 03,0.04,77730.513,4913,196.53,4913
11/05/2009 23,11/06/2009 04,0,72703.386,5133.1,0,5133.1
11/05/2009 24,11/06/2009 05,0,67917.157,5146.9,0,5146.9
11/06/2009 01,11/06/2009 06,0,64358.759,5114.9,0,5114.9
11/06/2009 02,11/06/2009 07,0,62441.78,5251.6,0,5251.6
11/06/2009 03,11/06/2009 08,0,61823.325,5273,0,5273
11/06/2009 04,11/06/2009 09,0,61967.32,5288.9,0,5288.9
11/06/2009 05,11/06/2009 10,0,63680.269,5263.8,0,5263.8
11/06/2009 06,11/06/2009 11,0,68483.461,5255.8,0,5255.8
11/06/2009 07,11/06/2009 12,0.05,76040.535,5200.5,260.14,5200.5
11/06/2009 08,11/06/2009 13,0.05,79491.258,5241,262.15,5241
11/06/2009 09,11/06/2009 14,0.05,79855.788,5249.9,262.6,5249.9
11/06/2009 10,11/06/2009 15,0.04,79417.901,5249.3,209.97,5249.3
11/06/2009 11,11/06/2009 16,0.04,78587.453,5249.9,209.98,5249.9
11/06/2009 12,11/06/2009 17,0.04,77459.389,5249.7,209.96,5249.7
11/06/2009 13,11/06/2009 18,0.04,76156.773,5249.9,209.99,5249.9
11/06/2009 14,11/06/2009 19,0.04,74907.036,5240.6,209.64,5240.6
11/06/2009 15,11/06/2009 20,0.02,73908.561,5240.6,104.83,5240.6
11/06/2009 16,11/06/2009 21,0,73212.277,5242.6,0,5242.6
11/06/2009 17,11/06/2009 22,0.02,74284.954,5240.7,104.82,5240.7
11/06/2009 18,11/06/2009 23,0.05,79580.892,5241.1,262.14,5241.1
