Preliminary Day-ahead Scheduling Reserve Summary
Month:,"July, 2010" ,Report Creation Timestamp (EPT):, 07/02/2012 10:01:20 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
07/01/2010 01,07/01/2010 05,.000,65498.804000,5745.900,.00,5745.900
07/01/2010 02,07/01/2010 06,.000,61688.388000,5737.700,.00,5737.700
07/01/2010 03,07/01/2010 07,.000,59205.918000,5603.500,.00,5603.500
07/01/2010 04,07/01/2010 08,.000,57822.544000,5445.900,.00,5445.900
07/01/2010 05,07/01/2010 09,.000,58049.031000,5445.900,.00,5445.900
07/01/2010 06,07/01/2010 10,.000,60202.052000,5445.900,.00,5445.900
07/01/2010 07,07/01/2010 11,.000,63851.757000,5445.900,.00,5445.900
07/01/2010 08,07/01/2010 12,.000,69577.095000,5736.000,.00,5736.000
07/01/2010 09,07/01/2010 13,.000,74398.596000,5793.800,.00,5793.800
07/01/2010 10,07/01/2010 14,.000,77943.539000,5870.600,.00,5870.600
07/01/2010 11,07/01/2010 15,.000,81132.676000,5843.500,.00,5843.500
07/01/2010 12,07/01/2010 16,.010,83365.211000,5859.200,58.62,5859.200
07/01/2010 13,07/01/2010 17,.010,85066.986000,5859.200,58.58,5859.200
07/01/2010 14,07/01/2010 18,.020,86659.974000,5855.300,117.10,5855.300
07/01/2010 15,07/01/2010 19,.040,88030.489000,5855.500,234.26,5855.500
07/01/2010 16,07/01/2010 20,.040,89003.696000,5855.600,234.20,5855.600
07/01/2010 17,07/01/2010 21,.040,89736.517000,5855.200,234.21,5855.200
07/01/2010 18,07/01/2010 22,.040,89645.083000,5216.900,208.69,5216.900
07/01/2010 19,07/01/2010 23,.010,87942.122000,5310.300,53.11,5310.300
07/01/2010 20,07/02/2010 00,.000,85035.120000,5317.300,.00,5317.300
07/01/2010 21,07/02/2010 01,.000,82346.032000,5126.300,.00,5126.300
07/01/2010 22,07/02/2010 02,.010,81415.671000,5130.600,51.34,5130.600
07/01/2010 23,07/02/2010 03,.000,76866.485000,5155.300,.00,5155.300
07/01/2010 24,07/02/2010 04,.000,69976.048000,5004.100,.00,5004.100
07/02/2010 01,07/02/2010 05,.000,63563.818000,5675.600,.00,5675.600
07/02/2010 02,07/02/2010 06,.000,59825.454000,5687.900,.00,5687.900
07/02/2010 03,07/02/2010 07,.000,57659.546000,5689.800,.00,5689.800
07/02/2010 04,07/02/2010 08,.000,56263.790000,5697.500,.00,5697.500
07/02/2010 05,07/02/2010 09,.000,56441.758000,5683.400,.00,5683.400
07/02/2010 06,07/02/2010 10,.000,58276.236000,5754.000,.00,5754.000
07/02/2010 07,07/02/2010 11,.000,61828.723000,5694.000,.00,5694.000
07/02/2010 08,07/02/2010 12,.000,67334.323000,5934.000,.00,5934.000
07/02/2010 09,07/02/2010 13,.000,72691.868000,5689.500,.00,5689.500
07/02/2010 10,07/02/2010 14,.000,76715.345000,5849.000,.00,5849.000
07/02/2010 11,07/02/2010 15,.000,80393.570000,5800.400,.00,5800.400
07/02/2010 12,07/02/2010 16,.010,82725.250000,5874.800,58.78,5874.800
07/02/2010 13,07/02/2010 17,.010,84412.165000,5879.200,58.80,5879.200
07/02/2010 14,07/02/2010 18,.020,85972.490000,5805.200,116.11,5805.200
07/02/2010 15,07/02/2010 19,.040,87590.691000,5805.100,232.22,5805.100
07/02/2010 16,07/02/2010 20,.040,88973.050000,5869.000,234.77,5869.000
