Preliminary Day-ahead Scheduling Reserve Summary
Month:,"February, 2012" ,Report Creation Timestamp (EPT):, 11/05/2012 11:26:03 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
02/01/2012 01,02/01/2012 06,.000,72594.646000,4474.900,.00,4474.900
02/01/2012 02,02/01/2012 07,.000,70332.214000,4474.900,.00,4474.900
02/01/2012 03,02/01/2012 08,.000,69156.725000,4474.900,.00,4474.900
02/01/2012 04,02/01/2012 09,.000,68970.062000,4425.800,.00,4425.800
02/01/2012 05,02/01/2012 10,.000,70386.404000,4487.800,.00,4487.800
02/01/2012 06,02/01/2012 11,.000,75363.436000,4444.900,.00,4444.900
02/01/2012 07,02/01/2012 12,.000,84441.267000,5792.900,.00,5792.900
02/01/2012 08,02/01/2012 13,.000,89868.924000,6024.900,.00,6024.900
02/01/2012 09,02/01/2012 14,.000,89724.187000,6154.900,.00,6154.900
02/01/2012 10,02/01/2012 15,.000,88680.970000,6154.900,.00,6154.900
02/01/2012 11,02/01/2012 16,.000,88240.931000,6154.900,.00,6154.900
02/01/2012 12,02/01/2012 17,.000,87322.989000,6154.900,.00,6154.900
02/01/2012 13,02/01/2012 18,.000,86003.361000,6154.900,.00,6154.900
02/01/2012 14,02/01/2012 19,.000,85379.535000,6186.900,.00,6186.900
02/01/2012 15,02/01/2012 20,.000,84302.485000,6129.600,.00,6129.600
02/01/2012 16,02/01/2012 21,.000,83459.779000,6154.900,.00,6154.900
02/01/2012 17,02/01/2012 22,.000,84126.453000,5591.900,.00,5591.900
02/01/2012 18,02/01/2012 23,.000,88194.023000,5591.900,.00,5591.900
02/01/2012 19,02/02/2012 00,.000,92636.291000,4581.900,.00,4581.900
02/01/2012 20,02/02/2012 01,.000,92135.634000,4711.900,.00,4711.900
02/01/2012 21,02/02/2012 02,.000,90629.274000,4711.900,.00,4711.900
02/01/2012 22,02/02/2012 03,.000,87202.005000,4711.900,.00,4711.900
02/01/2012 23,02/02/2012 04,.000,81875.840000,4266.700,.00,4266.700
02/01/2012 24,02/02/2012 05,.000,76000.623000,3941.900,.00,3941.900
02/02/2012 01,02/02/2012 06,.000,71996.056000,4602.800,.00,4602.800
02/02/2012 02,02/02/2012 07,.000,69757.414000,4602.800,.00,4602.800
02/02/2012 03,02/02/2012 08,.000,68682.116000,4602.800,.00,4602.800
02/02/2012 04,02/02/2012 09,.000,68745.174000,4602.800,.00,4602.800
02/02/2012 05,02/02/2012 10,.000,69631.125000,4602.800,.00,4602.800
02/02/2012 06,02/02/2012 11,.000,75507.457000,4602.800,.00,4602.800
02/02/2012 07,02/02/2012 12,.000,85291.839000,6257.800,.00,6257.800
02/02/2012 08,02/02/2012 13,.000,91330.389000,6258.800,.00,6258.800
02/02/2012 09,02/02/2012 14,.000,91441.204000,6249.400,.00,6249.400
02/02/2012 10,02/02/2012 15,.000,91409.777000,6182.800,.00,6182.800
02/02/2012 11,02/02/2012 16,.000,91385.953000,6185.100,.00,6185.100
02/02/2012 12,02/02/2012 17,.000,89492.380000,6182.800,.00,6182.800
02/02/2012 13,02/02/2012 18,.000,89662.418000,6260.800,.00,6260.800
02/02/2012 14,02/02/2012 19,.000,88828.306000,6260.800,.00,6260.800
02/02/2012 15,02/02/2012 20,.000,87945.061000,6260.800,.00,6260.800
02/02/2012 16,02/02/2012 21,.000,87505.031000,6231.800,.00,6231.800
02/02/2012 17,02/02/2012 22,.000,89176.665000,6231.900,.00,6231.900
02/02/2012 18,02/02/2012 23,.000,93326.458000,5668.800,.00,5668.800
02/02/2012 19,02/03/2012 00,.000,97312.094000,4813.800,.00,4813.800
02/02/2012 20,02/03/2012 01,.000,97329.062000,4748.800,.00,4748.800
02/02/2012 21,02/03/2012 02,.000,95969.662000,4678.000,.00,4678.000
02/02/2012 22,02/03/2012 03,.000,92779.823000,4814.800,.00,4814.800
02/02/2012 23,02/03/2012 04,.000,87451.473000,4045.800,.00,4045.800
02/02/2012 24,02/03/2012 05,.000,82248.674000,4046.800,.00,4046.800
02/03/2012 01,02/03/2012 06,.000,78370.980000,4752.800,.00,4752.800
02/03/2012 02,02/03/2012 07,.000,76397.088000,4752.800,.00,4752.800
02/03/2012 03,02/03/2012 08,.000,75848.659000,4752.800,.00,4752.800
02/03/2012 04,02/03/2012 09,.000,76273.095000,4752.900,.00,4752.900
02/03/2012 05,02/03/2012 10,.000,78347.031000,4752.900,.00,4752.900
02/03/2012 06,02/03/2012 11,.000,84321.249000,4752.900,.00,4752.900
02/03/2012 07,02/03/2012 12,.000,93831.808000,6113.000,.00,6113.000
02/03/2012 08,02/03/2012 13,.000,99397.065000,6348.000,.00,6348.000
02/03/2012 09,02/03/2012 14,.000,98556.791000,6413.100,.00,6413.100
02/03/2012 10,02/03/2012 15,.000,96447.420000,6413.100,.00,6413.100
02/03/2012 11,02/03/2012 16,.000,94521.391000,6413.100,.00,6413.100
02/03/2012 12,02/03/2012 17,.000,92289.114000,6405.500,.00,6405.500
02/03/2012 13,02/03/2012 18,.000,90071.988000,6405.400,.00,6405.400
02/03/2012 14,02/03/2012 19,.000,88356.686000,6405.500,.00,6405.500
02/03/2012 15,02/03/2012 20,.000,86767.697000,6405.600,.00,6405.600
02/03/2012 16,02/03/2012 21,.000,85757.067000,6413.300,.00,6413.300
02/03/2012 17,02/03/2012 22,.000,86485.900000,6370.500,.00,6370.500
02/03/2012 18,02/03/2012 23,.000,90450.530000,5938.900,.00,5938.900
02/03/2012 19,02/04/2012 00,.000,95032.771000,4929.200,.00,4929.200
02/03/2012 20,02/04/2012 01,.000,94499.343000,4914.700,.00,4914.700
02/03/2012 21,02/04/2012 02,.000,93384.776000,4961.900,.00,4961.900
02/03/2012 22,02/04/2012 03,.000,91656.661000,4905.300,.00,4905.300
02/03/2012 23,02/04/2012 04,.000,87594.234000,4500.300,.00,4500.300
02/03/2012 24,02/04/2012 05,.000,82814.154000,4200.300,.00,4200.300
02/04/2012 01,02/04/2012 06,.000,78958.047000,4206.000,.00,4206.000
02/04/2012 02,02/04/2012 07,.000,76598.003000,4141.000,.00,4141.000
02/04/2012 03,02/04/2012 08,.000,75590.255000,4206.000,.00,4206.000
02/04/2012 04,02/04/2012 09,.000,75273.841000,4206.000,.00,4206.000
02/04/2012 05,02/04/2012 10,.000,75769.227000,4206.000,.00,4206.000
02/04/2012 06,02/04/2012 11,.000,77667.955000,4206.000,.00,4206.000
02/04/2012 07,02/04/2012 12,.000,80842.597000,4676.100,.00,4676.100
02/04/2012 08,02/04/2012 13,.000,84418.224000,4661.400,.00,4661.400
02/04/2012 09,02/04/2012 14,.000,87056.701000,4676.000,.00,4676.000
02/04/2012 10,02/04/2012 15,.000,88821.612000,4676.100,.00,4676.100
02/04/2012 11,02/04/2012 16,.000,89486.305000,4921.300,.00,4921.300
02/04/2012 12,02/04/2012 17,.000,88824.807000,4583.200,.00,4583.200
02/04/2012 13,02/04/2012 18,.000,87544.660000,4676.000,.00,4676.000
02/04/2012 14,02/04/2012 19,.000,86004.986000,4676.000,.00,4676.000
02/04/2012 15,02/04/2012 20,.000,84908.003000,4206.000,.00,4206.000
02/04/2012 16,02/04/2012 21,.000,84885.747000,4206.000,.00,4206.000
02/04/2012 17,02/04/2012 22,.000,86181.548000,4168.700,.00,4168.700
02/04/2012 18,02/04/2012 23,.000,89794.139000,4299.000,.00,4299.000
02/04/2012 19,02/05/2012 00,.000,92520.936000,4294.600,.00,4294.600
02/04/2012 20,02/05/2012 01,.000,91652.451000,4262.000,.00,4262.000
02/04/2012 21,02/05/2012 02,.000,90041.579000,4262.000,.00,4262.000
02/04/2012 22,02/05/2012 03,.000,87615.088000,4090.900,.00,4090.900
02/04/2012 23,02/05/2012 04,.000,83878.134000,4178.000,.00,4178.000
02/04/2012 24,02/05/2012 05,.000,79536.933000,4156.400,.00,4156.400
02/05/2012 01,02/05/2012 06,.000,75881.076000,4665.000,.00,4665.000
02/05/2012 02,02/05/2012 07,.000,73488.873000,4665.000,.00,4665.000
02/05/2012 03,02/05/2012 08,.000,72201.190000,4665.100,.00,4665.100
02/05/2012 04,02/05/2012 09,.000,71777.067000,4665.000,.00,4665.000
02/05/2012 05,02/05/2012 10,.000,72203.008000,4665.000,.00,4665.000
02/05/2012 06,02/05/2012 11,.000,73777.112000,4665.100,.00,4665.100
02/05/2012 07,02/05/2012 12,.000,76323.358000,4665.000,.00,4665.000
02/05/2012 08,02/05/2012 13,.000,79179.307000,4665.000,.00,4665.000
02/05/2012 09,02/05/2012 14,.000,82170.643000,4665.000,.00,4665.000
02/05/2012 10,02/05/2012 15,.000,84408.451000,4665.000,.00,4665.000
02/05/2012 11,02/05/2012 16,.000,84929.006000,4660.000,.00,4660.000
02/05/2012 12,02/05/2012 17,.000,84401.497000,4902.400,.00,4902.400
02/05/2012 13,02/05/2012 18,.000,83610.693000,4665.000,.00,4665.000
02/05/2012 14,02/05/2012 19,.000,82540.620000,4514.900,.00,4514.900
02/05/2012 15,02/05/2012 20,.000,81514.217000,5135.000,.00,5135.000
02/05/2012 16,02/05/2012 21,.000,81143.232000,5109.200,.00,5109.200
02/05/2012 17,02/05/2012 22,.000,82492.789000,5135.000,.00,5135.000
02/05/2012 18,02/05/2012 23,.000,86875.255000,5402.400,.00,5402.400
02/05/2012 19,02/06/2012 00,.000,91123.258000,5135.000,.00,5135.000
02/05/2012 20,02/06/2012 01,.000,90585.370000,5135.100,.00,5135.100
02/05/2012 21,02/06/2012 02,.000,90464.406000,5135.000,.00,5135.000
02/05/2012 22,02/06/2012 03,.000,89160.425000,5135.000,.00,5135.000
02/05/2012 23,02/06/2012 04,.000,87477.610000,4665.000,.00,4665.000
02/05/2012 24,02/06/2012 05,.000,83587.377000,4665.000,.00,4665.000
02/06/2012 01,02/06/2012 06,.000,80383.204000,5146.900,.00,5146.900
02/06/2012 02,02/06/2012 07,.000,79205.418000,5147.000,.00,5147.000
02/06/2012 03,02/06/2012 08,.000,79123.246000,5147.200,.00,5147.200
02/06/2012 04,02/06/2012 09,.000,80025.449000,5082.400,.00,5082.400
02/06/2012 05,02/06/2012 10,.000,82623.956000,5147.800,.00,5147.800
02/06/2012 06,02/06/2012 11,.000,88709.113000,5148.300,.00,5148.300
02/06/2012 07,02/06/2012 12,.000,98522.239000,6588.500,.00,6588.500
02/06/2012 08,02/06/2012 13,.010,103618.855000,6583.600,65.93,6583.600
02/06/2012 09,02/06/2012 14,.010,102587.924000,6590.300,65.97,6590.300
02/06/2012 10,02/06/2012 15,.000,99602.696000,6675.000,.00,6675.000
02/06/2012 11,02/06/2012 16,.000,97194.622000,6609.900,.00,6609.900
02/06/2012 12,02/06/2012 17,.000,94727.723000,6609.900,.00,6609.900
02/06/2012 13,02/06/2012 18,.000,92559.521000,6500.900,.00,6500.900
02/06/2012 14,02/06/2012 19,.000,90970.689000,6501.900,.00,6501.900
02/06/2012 15,02/06/2012 20,.000,89424.004000,6504.900,.00,6504.900
02/06/2012 16,02/06/2012 21,.000,88458.412000,6515.700,.00,6515.700
02/06/2012 17,02/06/2012 22,.000,89336.127000,5907.000,.00,5907.000
02/06/2012 18,02/06/2012 23,.000,93836.166000,6039.400,.00,6039.400
02/06/2012 19,02/07/2012 00,.010,99448.211000,5123.100,51.24,5123.100
02/06/2012 20,02/07/2012 01,.000,99881.223000,5131.800,.00,5131.800
02/06/2012 21,02/07/2012 02,.000,98519.415000,5144.400,.00,5144.400
02/06/2012 22,02/07/2012 03,.000,94996.447000,5096.400,.00,5096.400
02/06/2012 23,02/07/2012 04,.000,89527.521000,4594.200,.00,4594.200
02/06/2012 24,02/07/2012 05,.000,83903.565000,4343.900,.00,4343.900
02/07/2012 01,02/07/2012 06,.000,79923.468000,4725.800,.00,4725.800
02/07/2012 02,02/07/2012 07,.000,77881.997000,4726.600,.00,4726.600
02/07/2012 03,02/07/2012 08,.000,77001.489000,5373.400,.00,5373.400
02/07/2012 04,02/07/2012 09,.000,77229.638000,4726.500,.00,4726.500
02/07/2012 05,02/07/2012 10,.000,79298.207000,4726.500,.00,4726.500
02/07/2012 06,02/07/2012 11,.000,84906.405000,4726.500,.00,4726.500
02/07/2012 07,02/07/2012 12,.000,94532.970000,6055.500,.00,6055.500
02/07/2012 08,02/07/2012 13,.000,99745.284000,6327.600,.00,6327.600
