Preliminary Day-ahead Scheduling Reserve Summary
Month:,"January, 2010" ,Report Creation Timestamp (EPT):, 07/02/2012 11:13:43 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/01/2010 01,01/01/2010 06,.050,72794.490000,6151.400,307.70,6151.400
01/01/2010 02,01/01/2010 07,.050,70382.231000,6183.900,309.30,6183.900
01/01/2010 03,01/01/2010 08,.040,68575.668000,6114.200,244.60,6114.200
01/01/2010 04,01/01/2010 09,.040,67753.079000,6111.100,244.49,6111.100
01/01/2010 05,01/01/2010 10,.040,67861.853000,6164.000,246.52,6164.000
01/01/2010 06,01/01/2010 11,.050,69259.570000,6163.800,308.28,6163.800
01/01/2010 07,01/01/2010 12,.050,70986.669000,6163.000,308.25,6163.000
01/01/2010 08,01/01/2010 13,.050,72605.396000,6008.400,300.60,6008.400
01/01/2010 09,01/01/2010 14,.050,73881.532000,6073.700,303.83,6073.700
01/01/2010 10,01/01/2010 15,.050,76342.626000,6093.500,304.80,6093.500
01/01/2010 11,01/01/2010 16,.050,78339.739000,6183.100,309.23,6183.100
01/01/2010 12,01/01/2010 17,.050,79035.211000,6183.100,309.27,6183.100
01/01/2010 13,01/01/2010 18,.050,78938.490000,6228.500,311.51,6228.500
01/01/2010 14,01/01/2010 19,.050,78337.523000,6168.700,308.55,6168.700
01/01/2010 15,01/01/2010 20,.050,77877.144000,6148.400,307.54,6148.400
01/01/2010 16,01/01/2010 21,.050,78191.429000,6228.700,311.51,6228.700
01/01/2010 17,01/01/2010 22,.050,80642.036000,6228.400,311.53,6228.400
01/01/2010 18,01/01/2010 23,.070,86834.250000,6231.600,436.22,6231.600
01/01/2010 19,01/02/2010 00,.070,88606.411000,6231.600,436.25,6231.600
01/01/2010 20,01/02/2010 01,.070,88273.872000,6231.600,436.21,6231.600
01/01/2010 21,01/02/2010 02,.070,87654.908000,6231.600,436.25,6231.600
01/01/2010 22,01/02/2010 03,.050,86256.078000,6227.800,311.48,6227.800
01/01/2010 23,01/02/2010 04,.050,83741.744000,6228.500,311.56,6228.500
01/01/2010 24,01/02/2010 05,.050,80329.293000,6153.300,307.76,6153.300
01/02/2010 01,01/02/2010 06,.040,77249.898000,6144.600,245.75,6144.600
01/02/2010 02,01/02/2010 07,.050,75406.365000,6140.300,307.10,6140.300
01/02/2010 03,01/02/2010 08,.040,74437.450000,6160.300,246.43,6160.300
01/02/2010 04,01/02/2010 09,.040,74529.400000,6160.200,246.43,6160.200
01/02/2010 05,01/02/2010 10,.040,75256.535000,6160.300,246.40,6160.300
01/02/2010 06,01/02/2010 11,.040,77138.712000,6159.700,246.35,6159.700
01/02/2010 07,01/02/2010 12,.040,80241.103000,6159.700,246.37,6159.700
01/02/2010 08,01/02/2010 13,.040,83431.965000,5991.800,239.69,5991.800
01/02/2010 09,01/02/2010 14,.050,86257.908000,6103.600,305.26,6103.600
01/02/2010 10,01/02/2010 15,.050,88880.700000,6152.500,307.75,6152.500
01/02/2010 11,01/02/2010 16,.050,90113.050000,6136.500,306.95,6136.500
01/02/2010 12,01/02/2010 17,.050,90177.341000,6075.400,303.85,6075.400
01/02/2010 13,01/02/2010 18,.050,89487.597000,6072.600,303.74,6072.600
01/02/2010 14,01/02/2010 19,.050,88642.221000,6077.700,303.97,6077.700
01/02/2010 15,01/02/2010 20,.040,87950.288000,6067.300,242.67,6067.300
01/02/2010 16,01/02/2010 21,.050,88235.256000,5990.100,299.62,5990.100
01/02/2010 17,01/02/2010 22,.050,91313.977000,6155.200,307.90,6155.200
01/02/2010 18,01/02/2010 23,.070,98564.742000,6096.900,426.81,6096.900
01/02/2010 19,01/03/2010 00,.070,101383.706000,6097.100,426.82,6097.100
01/02/2010 20,01/03/2010 01,.070,101170.153000,6097.000,426.79,6097.000
01/02/2010 21,01/03/2010 02,.070,100238.692000,6096.800,426.80,6096.800
01/02/2010 22,01/03/2010 03,.050,98535.683000,6185.100,309.33,6185.100
01/02/2010 23,01/03/2010 04,.050,95388.978000,6153.800,307.83,6153.800
01/02/2010 24,01/03/2010 05,.040,91632.744000,6171.600,246.89,6171.600
01/03/2010 01,01/03/2010 06,.040,88291.600000,5953.400,238.12,5953.400
01/03/2010 02,01/03/2010 07,.040,86384.596000,6019.900,240.77,6019.900
01/03/2010 03,01/03/2010 08,.040,85503.950000,5999.400,239.99,5999.400
01/03/2010 04,01/03/2010 09,.040,85174.231000,5959.400,238.41,5959.400
01/03/2010 05,01/03/2010 10,.040,85666.284000,5944.700,237.75,5944.700
01/03/2010 06,01/03/2010 11,.040,87185.922000,6019.500,240.73,6019.500
01/03/2010 07,01/03/2010 12,.040,89561.612000,6001.800,240.10,6001.800
01/03/2010 08,01/03/2010 13,.040,92015.605000,5884.100,235.34,5884.100
01/03/2010 09,01/03/2010 14,.040,93646.513000,5983.400,239.36,5983.400
01/03/2010 10,01/03/2010 15,.040,94788.496000,5993.900,239.76,5993.900
01/03/2010 11,01/03/2010 16,.040,94778.061000,5963.700,238.53,5963.700
01/03/2010 12,01/03/2010 17,.040,94007.886000,5964.200,238.60,5964.200
01/03/2010 13,01/03/2010 18,.040,92931.558000,5885.600,235.44,5885.600
01/03/2010 14,01/03/2010 19,.040,91702.291000,5887.600,235.46,5887.600
01/03/2010 15,01/03/2010 20,.000,90697.620000,5526.800,.00,5526.800
