Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/04/2008 01,08/04/2008 05,0.38,74274.378,6910.1,2625.84,6910.1
08/04/2008 02,08/04/2008 06,0.38,70151.424,7000.4,2660.14,7000.4
08/04/2008 03,08/04/2008 07,0.26,68547.679,7000.1,1820.02,7000.1
08/04/2008 04,08/04/2008 08,0.25,67018.602,7000.7,1750.31,7000.7
08/04/2008 05,08/04/2008 09,0.25,67153.342,7000.1,1750.15,7000.1
08/04/2008 06,08/04/2008 10,0.25,68787.661,7000.1,1750.07,7000.1
08/04/2008 07,08/04/2008 11,0.26,73461.868,6987.5,1816.75,6987.5
08/04/2008 08,08/04/2008 12,0.38,79665.309,6989.5,2655.97,6989.5
08/04/2008 09,08/04/2008 13,0.38,86172.804,6895,2620.09,6895
08/04/2008 10,08/04/2008 14,0.43,91737.142,6987.5,3004.64,6987.5
08/04/2008 11,08/04/2008 15,0.43,96807.589,6981.1,3001.91,6981.1
08/04/2008 12,08/04/2008 16,0.43,100911.458,6985.3,3003.67,6985.3
08/04/2008 13,08/04/2008 17,0.44,103986.746,6985.1,3073.45,6985.1
08/04/2008 14,08/04/2008 18,0.44,106752.919,6985.3,3073.55,6985.3
08/04/2008 15,08/04/2008 19,1,109074.94,6961.399,6961.41,6961.399
08/04/2008 16,08/04/2008 20,1,110945.798,6832.399,6832.4,6832.399
08/04/2008 17,08/04/2008 21,1,113191.093,6797.4,6797.4,6797.4
08/04/2008 18,08/04/2008 22,1,114147.345,6777.7,6777.71,6777.7
08/04/2008 19,08/04/2008 23,1,111920.04,6925.1,6925.11,6925.1
08/04/2008 20,08/05/2008 00,0.44,108014.909,6892.9,3032.89,6892.9
08/04/2008 21,08/05/2008 01,0.44,105954.518,6987.5,3074.51,6987.5
08/04/2008 22,08/05/2008 02,0.43,101992.221,6975,2999.25,6975
08/04/2008 23,08/05/2008 03,0.43,94382.159,6987.4,3004.62,6987.4
08/04/2008 24,08/05/2008 04,0.44,85950.916,6959.5,3062.17,6959.5
08/05/2008 01,08/05/2008 05,0.38,78654.413,6915.8,2628.04,6915.8
08/05/2008 02,08/05/2008 06,0.25,73992.754,7095.8,1774.11,7095.8
08/05/2008 03,08/05/2008 07,0.25,70867.064,7004.8,1751.33,7004.8
08/05/2008 04,08/05/2008 08,0.25,69105.758,7006.5,1751.76,7006.5
08/05/2008 05,08/05/2008 09,0.25,69109.893,6960.8,1740.37,6960.8
08/05/2008 06,08/05/2008 10,0.25,71816.106,6938.3,1734.69,6938.3
08/05/2008 07,08/05/2008 11,0.38,76570.704,6918.4,2628.99,6918.4
08/05/2008 08,08/05/2008 12,0.38,82341.618,6850.9,2603.33,6850.9
08/05/2008 09,08/05/2008 13,0.43,88433.238,6972.2,2998.06,6972.2
08/05/2008 10,08/05/2008 14,0.43,93688.336,7040.1,3027.27,7040.1
08/05/2008 11,08/05/2008 15,0.43,99042.592,7035.4,3025.26,7035.4
08/05/2008 12,08/05/2008 16,0.43,103134.421,7103.1,3054.32,7103.1
08/05/2008 13,08/05/2008 17,0.44,106571.831,7043.3,3099.05,7043.3
08/05/2008 14,08/05/2008 18,1,109562.15,7024.099,7024.11,7024.099
08/05/2008 15,08/05/2008 19,0.97,111512.435,7063.4,6851.52,7063.4
08/05/2008 16,08/05/2008 20,1,112053.543,7070.9,7070.9,7070.9
08/05/2008 17,08/05/2008 21,1,112257.802,7005.999,7006.01,7005.999
08/05/2008 18,08/05/2008 22,1,111955.751,6971,6971,6971
08/05/2008 19,08/05/2008 23,0.97,109965.781,7081,6868.62,7081
08/05/2008 20,08/06/2008 00,0.44,107254.564,7038.9,3097.11,7038.9
08/05/2008 21,08/06/2008 01,0.44,106312.491,7101.8,3124.77,7101.8
08/05/2008 22,08/06/2008 02,0.43,104343.3,7041.6,3027.89,7041.6
08/05/2008 23,08/06/2008 03,0.43,97222.995,7050.4,3031.71,7050.4
08/05/2008 24,08/06/2008 04,0.43,88813.802,7082.6,3045.53,7082.6
08/06/2008 01,08/06/2008 05,0.38,81462.033,6932.8,2634.41,6932.8
08/06/2008 02,08/06/2008 06,0.38,76812.805,7026.8,2670.21,7026.8
