Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/13/2008 20,08/14/2008 00,0.38,93633.5,5743.1,2182.34,5743.1
08/13/2008 21,08/14/2008 01,0.43,93689.704,5808,2497.46,5808
08/13/2008 22,08/14/2008 02,0.36,91821.298,5695.7,2050.42,5695.7
08/13/2008 23,08/14/2008 03,0.25,85347.268,5695.1,1423.88,5695.1
08/13/2008 24,08/14/2008 04,0.25,78009.565,5575.7,1394.07,5575.7
08/14/2008 01,08/14/2008 05,0.25,71692.138,5721.8,1430.61,5721.8
08/14/2008 02,08/14/2008 06,0.25,67598.677,5818.6,1454.73,5818.6
08/14/2008 03,08/14/2008 07,0.25,65031.92,5819.1,1454.82,5819.1
08/14/2008 04,08/14/2008 08,0.24,63533.218,5751.3,1380.32,5751.3
08/14/2008 05,08/14/2008 09,0.25,63443.918,5754.5,1438.7,5754.5
08/14/2008 06,08/14/2008 10,0.25,66510.057,5754.6,1438.88,5754.6
08/14/2008 07,08/14/2008 11,0.25,71555.878,5730.5,1432.73,5730.5
08/14/2008 08,08/14/2008 12,0.25,76197.58,5718.7,1429.82,5718.7
08/14/2008 09,08/14/2008 13,0.25,81636.411,5714.7,1428.88,5714.7
08/14/2008 10,08/14/2008 14,0.25,86460.454,5842.8,1460.9,5842.8
08/14/2008 11,08/14/2008 15,0.43,91327.692,5926.9,2548.58,5926.9
08/14/2008 12,08/14/2008 16,0.43,95300.601,5927,2548.61,5927
08/14/2008 13,08/14/2008 17,0.43,98571.978,5922.1,2546.51,5922.1
08/14/2008 14,08/14/2008 18,0.43,101437.396,5922.2,2546.56,5922.2
08/14/2008 15,08/14/2008 19,0.5,102890.368,5921.9,2960.95,5921.9
08/14/2008 16,08/14/2008 20,0.5,103237.245,5921.6,2960.8,5921.6
08/14/2008 17,08/14/2008 21,0.5,102580.739,5906.9,2953.45,5906.9
08/14/2008 18,08/14/2008 22,0.5,100541.035,5916.8,2958.4,5916.8
08/14/2008 19,08/14/2008 23,0.43,97144.911,5922.1,2546.52,5922.1
08/14/2008 20,08/15/2008 00,0.38,93786.976,5856.4,2225.41,5856.4
08/14/2008 21,08/15/2008 01,0.43,93117.983,5921.9,2546.44,5921.9
08/14/2008 22,08/15/2008 02,0.38,90648.336,5921.8,2250.24,5921.8
08/14/2008 23,08/15/2008 03,0.25,84244.558,5914.6,1478.77,5914.6
08/14/2008 24,08/15/2008 04,0.25,77246.317,5776.1,1444.29,5776.1
08/15/2008 01,08/15/2008 05,0.25,71424.389,5621.3,1405.55,5621.3
08/15/2008 02,08/15/2008 06,0.25,67246.887,5750.1,1437.7,5750.1
08/15/2008 03,08/15/2008 07,0.25,64432.988,5750.1,1437.64,5750.1
08/15/2008 04,08/15/2008 08,0.25,62995.802,5749.6,1437.55,5749.6
08/15/2008 05,08/15/2008 09,0.25,63136.678,5749.5,1437.53,5749.5
08/15/2008 06,08/15/2008 10,0.24,65896.186,5749.6,1379.91,5749.6
08/15/2008 07,08/15/2008 11,0.25,70343.693,5750.4,1437.77,5750.4
08/15/2008 08,08/15/2008 12,0.25,75112.951,5742.8,1435.89,5742.8
08/15/2008 09,08/15/2008 13,0.25,80243.92,5683.6,1420.98,5683.6
08/15/2008 10,08/15/2008 14,0.25,84805.475,5665.8,1416.69,5665.8
08/15/2008 11,08/15/2008 15,0.38,88938.635,5632.6,2140.36,5632.6
08/15/2008 12,08/15/2008 16,0.43,92291.087,5672.3,2439.1,5672.3
08/15/2008 13,08/15/2008 17,0.43,94858.512,5663.6,2435.36,5663.6
08/15/2008 14,08/15/2008 18,0.43,97029.352,5663.7,2435.4,5663.7
08/15/2008 15,08/15/2008 19,0.43,97800.544,5663.5,2435.3,5663.5
08/15/2008 16,08/15/2008 20,0.43,97954.592,5663.2,2435.16,5663.2
08/15/2008 17,08/15/2008 21,0.43,97943.791,5667.3,2436.94,5667.3
08/15/2008 18,08/15/2008 22,0.43,96401.163,5659.5,2433.58,5659.5
08/15/2008 19,08/15/2008 23,0.43,93104.914,5659.8,2433.73,5659.8
08/15/2008 20,08/16/2008 00,0.43,89851.054,5589.4,2403.45,5589.4
08/15/2008 21,08/16/2008 01,0.43,88823.409,5659.6,2433.65,5659.6
08/15/2008 22,08/16/2008 02,0.25,86768.032,5689.4,1422.53,5689.4
08/15/2008 23,08/16/2008 03,0.25,81109.118,5655.2,1413.99,5655.2
08/15/2008 24,08/16/2008 04,0.25,74539.208,5535.5,1384.01,5535.5
08/16/2008 01,08/16/2008 05,0.25,68373.4,4981.7,1245.61,4981.7
08/16/2008 02,08/16/2008 06,0.25,64169.146,5181.3,1295.51,5181.3
08/16/2008 03,08/16/2008 07,0.25,61424.337,5182.6,1295.71,5182.6
08/16/2008 04,08/16/2008 08,0.25,59539.35,5182.1,1295.64,5182.1
08/16/2008 05,08/16/2008 09,0.25,58951.156,5182.3,1295.68,5182.3
08/16/2008 06,08/16/2008 10,0.25,59437.601,5172.2,1293.19,5172.2
08/16/2008 07,08/16/2008 11,0.25,60369.284,5172,1293.21,5172
08/16/2008 08,08/16/2008 12,0.25,62799.714,5172.1,1293.23,5172.1
08/16/2008 09,08/16/2008 13,0.25,68545.431,5150.001,1287.67,5150.001
08/16/2008 10,08/16/2008 14,0.25,74193.748,5076.6,1269.24,5076.6
08/16/2008 11,08/16/2008 15,0.25,78882.122,5101.7,1275.59,5101.7
08/16/2008 12,08/16/2008 16,0.43,82190.29,5112,2198.18,5112
08/16/2008 13,08/16/2008 17,0.43,84519.903,5115,2199.48,5115
08/16/2008 14,08/16/2008 18,0.43,86360.341,5068.2,2179.34,5068.2
08/16/2008 15,08/16/2008 19,0.43,87719.048,5175.2,2225.34,5175.2
08/16/2008 16,08/16/2008 20,0.43,89042.329,5171.6,2223.8,5171.6
08/16/2008 17,08/16/2008 21,0.43,89935.724,5171.6,2223.79,5171.6
08/16/2008 18,08/16/2008 22,0.43,90137.303,5171.6,2223.81,5171.6
08/16/2008 19,08/16/2008 23,0.43,88450.31,5135.2,2208.15,5135.2
08/16/2008 20,08/17/2008 00,0.25,85399.257,5023.5,1256.09,5023.5
08/16/2008 21,08/17/2008 01,0.43,84386.079,5111.4,2197.92,5111.4
08/16/2008 22,08/17/2008 02,0.38,82409.227,5145.4,1955.23,5145.4
08/16/2008 23,08/17/2008 03,0.25,77548.575,5125.3,1281.44,5125.3
08/16/2008 24,08/17/2008 04,0.25,71724.046,5084.9,1271.46,5084.9
08/17/2008 01,08/17/2008 05,0.25,66452.359,5462.2,1365.75,5462.2
08/17/2008 02,08/17/2008 06,0.25,62207.73,5521.5,1380.55,5521.5
08/17/2008 03,08/17/2008 07,0.25,59620.353,5521.8,1380.58,5521.8
08/17/2008 04,08/17/2008 08,0.25,57639.765,5522.4,1380.79,5522.4
08/17/2008 05,08/17/2008 09,0.25,56838.469,5521.4,1380.49,5521.4
08/17/2008 06,08/17/2008 10,0.25,56613.412,5510.6,1377.8,5510.6
08/17/2008 07,08/17/2008 11,0.25,56900.153,5510.4,1377.73,5510.4
08/17/2008 08,08/17/2008 12,0.25,58536.865,5510.5,1377.7,5510.5
08/17/2008 09,08/17/2008 13,0.25,63563.553,5510.1,1377.67,5510.1
08/17/2008 10,08/17/2008 14,0.25,69220.872,5447.801,1362.11,5447.801
08/17/2008 11,08/17/2008 15,0.25,74472.26,5349.2,1337.5,5349.2
08/17/2008 12,08/17/2008 16,0.25,79100.482,5344,1336.15,5344
08/17/2008 13,08/17/2008 17,0.42,82841.07,5358.7,2250.67,5358.7
08/17/2008 14,08/17/2008 18,0.43,86020.498,5509,2368.89,5509
08/17/2008 15,08/17/2008 19,0.43,88369.069,5513.5,2370.82,5513.5
08/17/2008 16,08/17/2008 20,0.43,90355.072,5509.9,2369.28,5509.9
08/17/2008 17,08/17/2008 21,0.44,92316.572,5510.4,2424.6,5510.4
08/17/2008 18,08/17/2008 22,0.44,93499.667,5510.3,2424.56,5510.3
08/17/2008 19,08/17/2008 23,0.43,92682.695,5510.2,2369.4,5510.2
08/17/2008 20,08/18/2008 00,0.43,90167.256,5509.9,2369.26,5509.9
08/17/2008 21,08/18/2008 01,0.43,89980.944,5510.3,2369.45,5510.3
08/17/2008 22,08/18/2008 02,0.43,88699.123,5510.4,2369.49,5510.4
08/17/2008 23,08/18/2008 03,0.25,82944.985,5407.1,1351.94,5407.1
08/17/2008 24,08/18/2008 04,0.25,76329.395,5282.701,1320.76,5282.701
08/18/2008 01,08/18/2008 05,0.25,70731.852,6404.7,1601.32,6404.7
08/18/2008 02,08/18/2008 06,0.25,66613.478,6560.5,1640.2,6560.5
08/18/2008 03,08/18/2008 07,0.25,64023.409,6551.9,1638.17,6551.9
08/18/2008 04,08/18/2008 08,0.25,62811.104,6552.1,1638.25,6552.1
08/18/2008 05,08/18/2008 09,0.25,63144.469,6482.7,1620.81,6482.7
08/18/2008 06,08/18/2008 10,0.25,66206.915,6522.5,1630.7,6522.5
08/18/2008 07,08/18/2008 11,0.25,71391.502,6535.6,1634.1,6535.6
08/18/2008 08,08/18/2008 12,0.25,76595.056,6501.5,1625.52,6501.5
08/18/2008 09,08/18/2008 13,0.25,82613.634,6466.6,1616.82,6466.6
08/18/2008 10,08/18/2008 14,0.42,88668.187,6576.899,2762.27,6576.899
08/18/2008 11,08/18/2008 15,0.43,94731.637,6689.7,2876.58,6689.7
08/18/2008 12,08/18/2008 16,0.43,100148.108,6746,2900.8,6746
08/18/2008 13,08/18/2008 17,0.43,104305.304,6750.6,2902.76,6750.6
08/18/2008 14,08/18/2008 18,0.43,107663.397,6753,2903.79,6753
08/18/2008 15,08/18/2008 19,0.5,110131.852,6754.9,3377.45,6754.9
08/18/2008 16,08/18/2008 20,1,111993.96,6755.5,6755.5,6755.5
08/18/2008 17,08/18/2008 21,0.5,113159.014,6755.4,3377.7,6755.4
08/18/2008 18,08/18/2008 22,0.97,112794.814,6755.5,6552.82,6755.5
08/18/2008 19,08/18/2008 23,0.43,110127.181,6748.9,2902.03,6748.9
08/18/2008 20,08/19/2008 00,0.43,105860.505,6743.3,2899.64,6743.3
08/18/2008 21,08/19/2008 01,0.43,104400.254,6754,2904.25,6754
08/18/2008 22,08/19/2008 02,0.43,100903.283,6753.8,2904.15,6753.8
08/18/2008 23,08/19/2008 03,0.42,92677.533,6656.5,2795.74,6656.5
08/18/2008 24,08/19/2008 04,0.25,84118.703,6329.2,1582.43,6329.2
08/19/2008 01,08/19/2008 05,0.25,77036.311,6204.6,1551.27,6204.6
08/19/2008 02,08/19/2008 06,0.25,72106.088,6456,1614.11,6456
08/19/2008 03,08/19/2008 07,0.25,68872,6452.5,1613.36,6452.5
08/19/2008 04,08/19/2008 08,0.25,67006.854,6453.6,1613.6,6453.6
08/19/2008 05,08/19/2008 09,0.25,66902.157,6417.2,1604.5,6417.2
08/19/2008 06,08/19/2008 10,0.25,69711.804,6389.1,1597.4,6389.1
08/19/2008 07,08/19/2008 11,0.24,74892.447,6397.6,1535.43,6397.6
08/19/2008 08,08/19/2008 12,0.25,79923.342,6446.2,1611.67,6446.2
08/19/2008 09,08/19/2008 13,0.25,85627.491,6444.3,1611.21,6444.3
08/19/2008 10,08/19/2008 14,0.42,91403.798,6520.9,2738.77,6520.9
08/19/2008 11,08/19/2008 15,0.43,97247.419,6361,2735.25,6361
08/19/2008 12,08/19/2008 16,0.43,102488.732,6379.8,2743.32,6379.8
08/19/2008 13,08/19/2008 17,0.43,106650.649,6545.5,2814.54,6545.5
08/19/2008 14,08/19/2008 18,0.5,110067.114,6532.3,3266.15,6532.3
08/19/2008 15,08/19/2008 19,0.73,112481.487,6534.3,4770.03,6534.3
08/19/2008 16,08/19/2008 20,1,113658.503,6549.999,6550,6549.999
08/19/2008 17,08/19/2008 21,1,114139.817,6549.9,6549.9,6549.9
08/19/2008 18,08/19/2008 22,1,112914.884,6550.7,6550.71,6550.7
08/19/2008 19,08/19/2008 23,0.44,109296.969,6545.2,2879.88,6545.2
08/19/2008 20,08/20/2008 00,0.43,104259.858,6488.6,2790.08,6488.6
08/19/2008 21,08/20/2008 01,0.43,102219.38,6541,2812.63,6541
08/19/2008 22,08/20/2008 02,0.43,98398.112,6385.2,2745.67,6385.2
08/19/2008 23,08/20/2008 03,0.25,90249.462,6243.3,1561.07,6243.3
08/19/2008 24,08/20/2008 04,0.25,81516.947,6190.8,1547.78,6190.8
08/20/2008 01,08/20/2008 05,0.25,74360.801,5879.6,1470.03,5879.6
08/20/2008 02,08/20/2008 06,0.25,69316.719,6041.3,1510.46,6041.3
08/20/2008 03,08/20/2008 07,0.25,66318.389,6039.6,1510.02,6039.6
08/20/2008 04,08/20/2008 08,0.25,64310.763,6039.6,1510.1,6039.6
08/20/2008 05,08/20/2008 09,0.25,64163.03,6041.2,1510.41,6041.2
08/20/2008 06,08/20/2008 10,0.25,66780.94,6044.7,1511.35,6044.7
08/20/2008 07,08/20/2008 11,0.25,71634.442,6044.8,1511.36,6044.8
08/20/2008 08,08/20/2008 12,0.25,75974.236,6046.4,1511.76,6046.4
08/20/2008 09,08/20/2008 13,0.25,80373.187,6035.3,1509.08,6035.3
08/20/2008 10,08/20/2008 14,0.25,84530.158,6026.5,1506.74,6026.5
08/20/2008 11,08/20/2008 15,0.42,88522.427,6065.799,2547.64,6065.799
08/20/2008 12,08/20/2008 16,0.43,92008.178,6065.9,2608.35,6065.9
08/20/2008 13,08/20/2008 17,0.43,95108.63,6067.7,2609.11,6067.7
08/20/2008 14,08/20/2008 18,0.43,97872.197,6066.1,2608.43,6066.1
08/20/2008 15,08/20/2008 19,0.43,100411.633,6067.6,2609.05,6067.6
08/20/2008 16,08/20/2008 20,0.5,102153.523,6069.4,3034.7,6069.4
08/20/2008 17,08/20/2008 21,0.97,103404.214,6069.4,5887.35,6069.4
08/20/2008 18,08/20/2008 22,0.5,103317.914,6069.6,3034.8,6069.6
08/20/2008 19,08/20/2008 23,0.43,100560.038,6060.5,2606.02,6060.5
08/20/2008 20,08/21/2008 00,0.42,96449.846,5980.301,2511.72,5980.301
08/20/2008 21,08/21/2008 01,0.42,95762.926,6060.399,2545.36,6060.399
08/20/2008 22,08/21/2008 02,0.25,92463.423,6044.9,1511.36,6044.9
08/20/2008 23,08/21/2008 03,0.25,85107.036,6024.1,1506.2,6024.1
08/20/2008 24,08/21/2008 04,0.25,77412.439,5885.3,1471.49,5885.3
08/21/2008 01,08/21/2008 05,0.25,71010.046,6145.6,1536.55,6145.6
08/21/2008 02,08/21/2008 06,0.25,66826.983,6237.5,1559.57,6237.5
08/21/2008 03,08/21/2008 07,0.25,64056.328,6238.5,1559.74,6238.5
08/21/2008 04,08/21/2008 08,0.25,62511.886,6241.6,1560.57,6241.6
08/21/2008 05,08/21/2008 09,0.25,62676.399,6235.7,1559.06,6235.7
08/21/2008 06,08/21/2008 10,0.25,65714.066,6245.6,1561.51,6245.6
08/21/2008 07,08/21/2008 11,0.25,70849.909,6245.6,1561.57,6245.6
08/21/2008 08,08/21/2008 12,0.25,75751.823,6120.5,1530.35,6120.5
08/21/2008 09,08/21/2008 13,0.25,80803.386,6018,1504.65,6018
08/21/2008 10,08/21/2008 14,0.25,85510.207,6074.8,1518.86,6074.8
08/21/2008 11,08/21/2008 15,0.42,90411.503,6102.5,2563.07,6102.5
08/21/2008 12,08/21/2008 16,0.43,94382.445,6178.7,2656.85,6178.7
08/21/2008 13,08/21/2008 17,0.43,97824.564,6224.5,2676.56,6224.5
08/21/2008 14,08/21/2008 18,0.43,101084.549,6290.6,2704.97,6290.6
08/21/2008 15,08/21/2008 19,0.5,103503.285,6281.6,3140.8,6281.6
08/21/2008 16,08/21/2008 20,0.5,105012.052,6192.9,3096.45,6192.9
08/21/2008 17,08/21/2008 21,0.97,105951.662,6286.2,6097.67,6286.2
08/21/2008 18,08/21/2008 22,0.97,105723.034,6286.3,6097.76,6286.3
08/21/2008 19,08/21/2008 23,0.43,102988.7,6318.6,2717,6318.6
08/21/2008 20,08/22/2008 00,0.42,99087.801,6318.4,2653.73,6318.4
08/21/2008 21,08/22/2008 01,0.43,99110.919,6318.5,2716.98,6318.5
08/21/2008 22,08/22/2008 02,0.42,96067.609,6318.4,2653.74,6318.4
08/21/2008 23,08/22/2008 03,0.25,88788.047,6137.4,1534.6,6137.4
08/21/2008 24,08/22/2008 04,0.25,80973.606,6005.3,1501.49,6005.3
08/22/2008 01,08/22/2008 05,0.25,74422.898,6381.3,1595.41,6381.3
08/22/2008 02,08/22/2008 06,0.25,70008.616,6499.7,1625.09,6499.7
08/22/2008 03,08/22/2008 07,0.25,67084.749,6499.9,1625.08,6499.9
08/22/2008 04,08/22/2008 08,0.25,65438.968,6504.3,1626.27,6504.3
08/22/2008 05,08/22/2008 09,0.25,65257.456,6506.5,1626.74,6506.5
08/22/2008 06,08/22/2008 10,0.25,68159.787,6512.4,1628.3,6512.4
08/22/2008 07,08/22/2008 11,0.25,73262.302,6510.1,1627.68,6510.1
08/22/2008 08,08/22/2008 12,0.25,78413.664,6423.8,1606.21,6423.8
08/22/2008 09,08/22/2008 13,0.25,84072.259,6401.4,1600.6,6401.4
08/22/2008 10,08/22/2008 14,0.38,89386.579,6410.1,2435.87,6410.1
08/22/2008 11,08/22/2008 15,0.42,94461.813,6514.7,2736.21,6514.7
08/22/2008 12,08/22/2008 16,0.42,98580.177,6530.099,2742.67,6530.099
08/22/2008 13,08/22/2008 17,0.43,101947.618,6504.9,2797.09,6504.9
08/22/2008 14,08/22/2008 18,0.43,104501.412,6504.9,2797.08,6504.9
08/22/2008 15,08/22/2008 19,0.73,106392.981,6500.1,4745.07,6500.1
08/22/2008 16,08/22/2008 20,0.97,107875.811,6494.8,6299.96,6494.8
08/22/2008 17,08/22/2008 21,0.97,108378.999,6495.5,6300.67,6495.5
08/22/2008 18,08/22/2008 22,0.97,107398.129,6500,6305.02,6500
08/22/2008 19,08/22/2008 23,0.43,103824.874,6504.8,2797.04,6504.8
08/22/2008 20,08/23/2008 00,0.42,99118.142,6439.999,2704.8,6439.999
08/22/2008 21,08/23/2008 01,0.42,97909.342,6501.399,2730.58,6501.399
08/22/2008 22,08/23/2008 02,0.42,94850.632,6409.201,2691.87,6409.201
08/22/2008 23,08/23/2008 03,0.25,88523.642,6322.5,1580.8,6322.5
08/22/2008 24,08/23/2008 04,0.25,80953.114,6199.6,1550.15,6199.6
08/23/2008 01,08/23/2008 05,0.25,74156.354,5435.7,1359.08,5435.7
08/23/2008 02,08/23/2008 06,0.25,69319.82,5590,1397.68,5590
08/23/2008 03,08/23/2008 07,0.25,66053.948,5591.1,1397.89,5591.1
08/23/2008 04,08/23/2008 08,0.25,63905.468,5591.7,1398.16,5591.7
08/23/2008 05,08/23/2008 09,0.25,62842.697,5591.1,1397.95,5591.1
08/23/2008 06,08/23/2008 10,0.25,63158.729,5581.3,1395.52,5581.3
08/23/2008 07,08/23/2008 11,0.25,64154.917,5582.5,1395.86,5582.5
08/23/2008 08,08/23/2008 12,0.25,66838.102,5552.3,1388.31,5552.3
08/23/2008 09,08/23/2008 13,0.25,72919.943,5552.1,1388.13,5552.1
08/23/2008 10,08/23/2008 14,0.25,79433.923,5522.1,1380.64,5522.1
08/23/2008 11,08/23/2008 15,0.38,84923.985,5457.4,2073.8,5457.4
08/23/2008 12,08/23/2008 16,0.42,89668.063,5566.299,2337.87,5566.299
08/23/2008 13,08/23/2008 17,0.43,93209.774,5572.5,2396.18,5572.5
08/23/2008 14,08/23/2008 18,0.43,95947.886,5637.5,2424.14,5637.5
08/23/2008 15,08/23/2008 19,0.43,98036.271,5592.4,2404.72,5592.4
08/23/2008 16,08/23/2008 20,0.43,99294.756,5617.4,2415.47,5617.4
08/23/2008 17,08/23/2008 21,0.73,100143.455,5617.4,4100.7,5617.4
08/23/2008 18,08/23/2008 22,0.43,99863.202,5617.4,2415.45,5617.4
08/23/2008 19,08/23/2008 23,0.43,97665.371,5512.5,2370.38,5512.5
08/23/2008 20,08/24/2008 00,0.42,94290.892,5487.4,2304.72,5487.4
08/23/2008 21,08/24/2008 01,0.42,93564.555,5512.3,2315.16,5512.3
08/23/2008 22,08/24/2008 02,0.42,90728.797,5512.4,2315.23,5512.4
08/23/2008 23,08/24/2008 03,0.4,84903.897,5512.4,2204.96,5512.4
08/23/2008 24,08/24/2008 04,0.25,78397.763,5348.5,1337.38,5348.5
08/24/2008 01,08/24/2008 05,0.25,72224.086,5453.6,1363.62,5453.6
08/24/2008 02,08/24/2008 06,0.25,67725.957,5634.9,1408.82,5634.9
08/24/2008 03,08/24/2008 07,0.25,64610.762,5628,1407.18,5628
08/24/2008 04,08/24/2008 08,0.25,62442.599,5628.9,1407.39,5628.9
08/24/2008 05,08/24/2008 09,0.25,61219.742,5631.4,1407.92,5631.4
08/24/2008 06,08/24/2008 10,0.25,61019.169,5624.3,1406.31,5624.3
08/24/2008 07,08/24/2008 11,0.25,61254.772,5625.3,1406.5,5625.3
08/24/2008 08,08/24/2008 12,0.25,62724.63,5474.7,1368.85,5474.7
08/24/2008 09,08/24/2008 13,0.25,68616.921,5472.1,1368.18,5472.1
08/24/2008 10,08/24/2008 14,0.25,75079.594,5598.2,1399.72,5598.2
08/24/2008 11,08/24/2008 15,0.25,81275.354,5590.1,1397.72,5590.1
08/24/2008 12,08/24/2008 16,0.25,86591.03,5579.2,1395.04,5579.2
08/24/2008 13,08/24/2008 17,0.25,90966.159,5594.5,1398.86,5594.5
08/24/2008 14,08/24/2008 18,0.25,94172.203,5702.8,1425.88,5702.8
08/24/2008 15,08/24/2008 19,0.25,96301.453,5720.4,1430.32,5720.4
08/24/2008 16,08/24/2008 20,0.25,98250.643,5730.5,1432.81,5730.5
08/24/2008 17,08/24/2008 21,0.42,99650.816,5714.999,2400.32,5714.999
08/24/2008 18,08/24/2008 22,0.42,99671.604,5714.899,2400.28,5714.899
08/24/2008 19,08/24/2008 23,0.25,97835.324,5721.4,1430.52,5721.4
08/24/2008 20,08/25/2008 00,0.25,95133.187,5540.9,1385.4,5540.9
08/24/2008 21,08/25/2008 01,0.25,94974.738,5778.6,1444.79,5778.6
08/24/2008 22,08/25/2008 02,0.25,92024.467,5779.8,1445.09,5779.8
08/24/2008 23,08/25/2008 03,0.25,85811.515,5718.6,1429.79,5718.6
08/24/2008 24,08/25/2008 04,0.25,78613.815,5458.2,1364.68,5458.2
08/25/2008 01,08/25/2008 05,0.25,72884.098,5859.8,1465.07,5859.8
08/25/2008 02,08/25/2008 06,0.25,69060.945,6086.1,1521.81,6086.1
08/25/2008 03,08/25/2008 07,0.25,66610.818,6104.8,1526.34,6104.8
08/25/2008 04,08/25/2008 08,0.25,65750.865,6103.1,1526.03,6103.1
08/25/2008 05,08/25/2008 09,0.25,66072.37,6098.1,1524.77,6098.1
08/25/2008 06,08/25/2008 10,0.25,69566.476,5787.1,1446.96,5787.1
08/25/2008 07,08/25/2008 11,0.25,76019.112,6021.7,1505.55,6021.7
08/25/2008 08,08/25/2008 12,0.25,81024.902,6029.4,1507.52,6029.4
08/25/2008 09,08/25/2008 13,0.33,85529.227,6145.3,2027.95,6145.3
08/25/2008 10,08/25/2008 14,0.41,90253.157,5900.2,2419.09,5900.2
08/25/2008 11,08/25/2008 15,0.41,95066.509,5991.8,2456.66,5991.8
08/25/2008 12,08/25/2008 16,0.41,99113.07,5996.4,2458.55,5996.4
08/25/2008 13,08/25/2008 17,0.41,102018.549,6005.2,2462.16,6005.2
08/25/2008 14,08/25/2008 18,0.41,104671.878,6004.9,2462.03,6004.9
08/25/2008 15,08/25/2008 19,0.41,106357.364,5981.8,2452.55,5981.8
08/25/2008 16,08/25/2008 20,0.42,107444.027,6044.9,2538.87,6044.9
08/25/2008 17,08/25/2008 21,0.5,108032.162,6089.1,3044.55,6089.1
08/25/2008 18,08/25/2008 22,0.42,106997.231,6044.801,2538.82,6044.801
08/25/2008 19,08/25/2008 23,0.41,103711.672,6050.1,2480.57,6050.1
08/25/2008 20,08/26/2008 00,0.41,100248.149,6032.3,2473.26,6032.3
08/25/2008 21,08/26/2008 01,0.41,100078.377,6046.1,2478.92,6046.1
08/25/2008 22,08/26/2008 02,0.41,95926.816,6046.1,2478.94,6046.1
08/25/2008 23,08/26/2008 03,0.25,87796.633,5929.4,1482.45,5929.4
08/25/2008 24,08/26/2008 04,0.25,79679.577,5768.6,1442.38,5768.6
08/26/2008 01,08/26/2008 05,0.25,72891.594,5518.8,1379.84,5518.8
08/26/2008 02,08/26/2008 06,0.24,68482.447,5718.1,1372.33,5718.1
08/26/2008 03,08/26/2008 07,0.24,65538.411,5718.1,1372.33,5718.1
08/26/2008 04,08/26/2008 08,0.24,63820.981,5718.1,1372.33,5718.1
08/26/2008 05,08/26/2008 09,0.24,63769.76,5718.2,1372.36,5718.2
08/26/2008 06,08/26/2008 10,0.24,66896.25,5718.1,1372.33,5718.1
08/26/2008 07,08/26/2008 11,0.25,72627.612,5718.3,1429.77,5718.3
08/26/2008 08,08/26/2008 12,0.25,76670.804,5729.8,1432.6,5729.8
08/26/2008 09,08/26/2008 13,0.25,80126.666,5729.8,1432.64,5729.8
08/26/2008 10,08/26/2008 14,0.25,83403.646,5728.8,1432.34,5728.8
08/26/2008 11,08/26/2008 15,0.25,86463.493,5723.1,1430.99,5723.1
08/26/2008 12,08/26/2008 16,0.25,88768.041,5755,1438.94,5755
08/26/2008 13,08/26/2008 17,0.35,90675.732,5770,2019.58,5770
08/26/2008 14,08/26/2008 18,0.35,92866.877,5722.1,2002.8,5722.1
08/26/2008 15,08/26/2008 19,0.35,94462.866,5712.4,1999.4,5712.4
08/26/2008 16,08/26/2008 20,0.35,95465.642,5647.5,1976.69,5647.5
08/26/2008 17,08/26/2008 21,0.35,96172.058,5647.1,1976.53,5647.1
08/26/2008 18,08/26/2008 22,0.35,95324.52,5647.4,1976.65,5647.4
08/26/2008 19,08/26/2008 23,0.35,92913.426,5537.7,1938.26,5537.7
08/26/2008 20,08/27/2008 00,0.3,90636.944,5594.9,1678.47,5594.9
08/26/2008 21,08/27/2008 01,0.35,91395.224,5717.5,2001.2,5717.5
08/26/2008 22,08/27/2008 02,0.25,88269.262,5657,1414.51,5657
08/26/2008 23,08/27/2008 03,0.24,81408.828,5729.5,1375.09,5729.5
08/26/2008 24,08/27/2008 04,0.25,74254.094,5609.6,1402.59,5609.6
08/27/2008 01,08/27/2008 05,0.25,68372.83,5532,1383.11,5532
08/27/2008 02,08/27/2008 06,0.25,64538.819,5577.5,1394.58,5577.5
08/27/2008 03,08/27/2008 07,0.25,62414.295,5577.4,1394.46,5577.4
08/27/2008 04,08/27/2008 08,0.25,61266.774,5577.3,1394.37,5577.3
08/27/2008 05,08/27/2008 09,0.25,61683.002,5577.3,1394.37,5577.3
08/27/2008 06,08/27/2008 10,0.25,65037.149,5577.2,1394.5,5577.2
08/27/2008 07,08/27/2008 11,0.25,71500.563,5489.4,1372.51,5489.4
08/27/2008 08,08/27/2008 12,0.25,76118.813,5528.8,1382.44,5528.8
08/27/2008 09,08/27/2008 13,0.25,79672.351,5536.7,1384.38,5536.7
08/27/2008 10,08/27/2008 14,0.25,82822.68,5479.9,1370.15,5479.9
08/27/2008 11,08/27/2008 15,0.25,85857.482,5554.4,1388.81,5554.4
08/27/2008 12,08/27/2008 16,0.25,88007.389,5562.1,1390.74,5562.1
08/27/2008 13,08/27/2008 17,0.3,89322.752,5581.6,1674.48,5581.6
08/27/2008 14,08/27/2008 18,0.35,90859.69,5594.7,1958.21,5594.7
