Preliminary Day-ahead Scheduling Reserve Summary
Month:,"July, 2012" ,Report Creation Timestamp (EPT):, 03/05/2013 11:54:03 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
07/01/2012 01,07/01/2012 05,.000,86887.582000,5602.000,.00,5602.000
07/01/2012 02,07/01/2012 06,.000,81396.546000,5940.800,.00,5940.800
07/01/2012 03,07/01/2012 07,.000,77329.280000,6056.800,.00,6056.800
07/01/2012 04,07/01/2012 08,.000,74064.699000,6206.800,.00,6206.800
07/01/2012 05,07/01/2012 09,.000,72205.239000,6206.800,.00,6206.800
07/01/2012 06,07/01/2012 10,.000,71222.284000,6206.800,.00,6206.800
07/01/2012 07,07/01/2012 11,.000,70687.586000,6116.800,.00,6116.800
07/01/2012 08,07/01/2012 12,.000,74877.590000,6116.800,.00,6116.800
07/01/2012 09,07/01/2012 13,.000,82811.592000,6606.400,.00,6606.400
07/01/2012 10,07/01/2012 14,.000,92120.295000,6063.800,.00,6063.800
07/01/2012 11,07/01/2012 15,.000,100617.022000,6500.700,.00,6500.700
07/01/2012 12,07/01/2012 16,.020,107974.972000,6556.300,131.14,6556.300
07/01/2012 13,07/01/2012 17,.020,113571.471000,6581.300,131.66,6581.300
07/01/2012 14,07/01/2012 18,.250,116496.075000,6624.200,1656.22,6624.200
07/01/2012 15,07/01/2012 19,.800,117810.211000,6832.601,5466.08,6832.601
07/01/2012 16,07/01/2012 20,1.000,120160.533000,6816.301,6816.30,6816.301
07/01/2012 17,07/01/2012 21,3.000,122551.578000,6928.100,20784.29,6928.100
07/01/2012 18,07/01/2012 22,2.000,122743.343000,6930.300,13860.59,6930.300
07/01/2012 19,07/01/2012 23,1.000,120760.063000,6943.899,6943.90,6943.899
07/01/2012 20,07/02/2012 00,.250,117054.317000,6516.100,1629.18,6516.100
07/01/2012 21,07/02/2012 01,.040,113361.987000,6375.400,255.04,6375.400
07/01/2012 22,07/02/2012 02,.020,110672.092000,6487.900,129.80,6487.900
07/01/2012 23,07/02/2012 03,.000,104245.607000,6608.700,.00,6608.700
07/01/2012 24,07/02/2012 04,.000,95623.290000,6042.300,.00,6042.300
07/02/2012 01,07/02/2012 05,.000,88002.412000,6817.200,.00,6817.200
07/02/2012 02,07/02/2012 06,.000,82289.424000,7042.100,.00,7042.100
07/02/2012 03,07/02/2012 07,.000,78422.820000,7190.100,.00,7190.100
07/02/2012 04,07/02/2012 08,.000,75957.968000,7188.100,.00,7188.100
07/02/2012 05,07/02/2012 09,.000,75296.172000,7188.100,.00,7188.100
07/02/2012 06,07/02/2012 10,.000,77327.367000,7188.100,.00,7188.100
07/02/2012 07,07/02/2012 11,.000,81429.393000,8241.200,.00,8241.200
07/02/2012 08,07/02/2012 12,.000,88683.368000,8894.200,.00,8894.200
07/02/2012 09,07/02/2012 13,.000,96622.677000,8716.800,.00,8716.800
07/02/2012 10,07/02/2012 14,.000,104316.435000,8674.100,.00,8674.100
07/02/2012 11,07/02/2012 15,.010,111641.951000,8439.600,84.48,8439.600
07/02/2012 12,07/02/2012 16,.020,117847.576000,8517.400,170.34,8517.400
07/02/2012 13,07/02/2012 17,.080,122875.026000,8497.900,679.83,8497.900
07/02/2012 14,07/02/2012 18,.250,126868.420000,8465.400,2116.52,8465.400
07/02/2012 15,07/02/2012 19,1.000,130276.964000,8411.301,8411.30,8411.301
07/02/2012 16,07/02/2012 20,1.000,132535.394000,8441.500,8441.50,8441.500
07/02/2012 17,07/02/2012 21,1.000,134073.167000,8227.700,8227.69,8227.700
07/02/2012 18,07/02/2012 22,1.000,134314.006000,8373.399,8373.41,8373.399
07/02/2012 19,07/02/2012 23,.250,132466.490000,8519.800,2130.13,8519.800
07/02/2012 20,07/03/2012 00,.050,128596.043000,8612.700,430.80,8612.700
07/02/2012 21,07/03/2012 01,.020,123774.736000,8417.400,168.34,8417.400
07/02/2012 22,07/03/2012 02,.010,120572.112000,8320.000,83.29,8320.000
07/02/2012 23,07/03/2012 03,.000,112530.597000,7108.800,.00,7108.800
07/02/2012 24,07/03/2012 04,.000,102433.151000,6995.500,.00,6995.500
07/03/2012 01,07/03/2012 05,.000,93470.549000,5203.600,.00,5203.600
07/03/2012 02,07/03/2012 06,.000,87135.496000,5532.900,.00,5532.900
07/03/2012 03,07/03/2012 07,.000,82666.253000,5529.900,.00,5529.900
07/03/2012 04,07/03/2012 08,.000,79839.340000,5528.900,.00,5528.900
07/03/2012 05,07/03/2012 09,.000,79153.928000,5533.000,.00,5533.000
07/03/2012 06,07/03/2012 10,.000,80748.523000,5384.300,.00,5384.300
07/03/2012 07,07/03/2012 11,.000,84840.064000,6550.000,.00,6550.000
07/03/2012 08,07/03/2012 12,.000,92009.075000,7092.900,.00,7092.900
07/03/2012 09,07/03/2012 13,.000,100011.380000,7248.900,.00,7248.900
07/03/2012 10,07/03/2012 14,.000,108123.214000,6744.900,.00,6744.900
07/03/2012 11,07/03/2012 15,.010,115773.592000,6842.100,68.51,6842.100
07/03/2012 12,07/03/2012 16,.020,122112.591000,6930.400,138.61,6930.400
07/03/2012 13,07/03/2012 17,.050,126997.736000,6955.500,347.86,6955.500
07/03/2012 14,07/03/2012 18,.250,130800.790000,7074.100,1768.64,7074.100
07/03/2012 15,07/03/2012 19,1.000,133401.817000,6985.200,6985.20,6985.200
07/03/2012 16,07/03/2012 20,2.000,135017.455000,7093.200,14186.39,7093.200
07/03/2012 17,07/03/2012 21,4.000,135717.662000,7145.600,28582.41,7145.600
07/03/2012 18,07/03/2012 22,2.000,134944.997000,7218.700,14437.39,7218.700
07/03/2012 19,07/03/2012 23,.500,132053.747000,7188.200,3594.10,7188.200
07/03/2012 20,07/04/2012 00,.100,127731.893000,7094.500,709.45,7094.500
07/03/2012 21,07/04/2012 01,.040,123848.426000,7100.200,283.97,7100.200
07/03/2012 22,07/04/2012 02,.010,120192.443000,6747.700,67.58,6747.700
07/03/2012 23,07/04/2012 03,.000,113149.780000,5499.300,.00,5499.300
07/03/2012 24,07/04/2012 04,.000,104479.196000,5984.000,.00,5984.000
07/04/2012 01,07/04/2012 05,.000,96164.194000,5697.500,.00,5697.500
07/04/2012 02,07/04/2012 06,.000,89915.425000,6566.900,.00,6566.900
07/04/2012 03,07/04/2012 07,.000,85268.325000,5942.700,.00,5942.700
07/04/2012 04,07/04/2012 08,.000,82161.992000,5916.700,.00,5916.700
07/04/2012 05,07/04/2012 09,.000,80573.252000,5835.800,.00,5835.800
07/04/2012 06,07/04/2012 10,.000,80205.806000,6006.700,.00,6006.700
