Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"January, 2009 ",Report Creation Timestamp (EPT):, 07/06/2010 07:09:36 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/14/2009 17,01/14/2009 22,0.09,97059.019,5859.7,527.39,5859.7
01/14/2009 18,01/14/2009 23,0.1,103055.997,5895.2,589.52,5895.2
01/14/2009 19,01/15/2009 00,0.1,105781.75,5946.9,594.69,5946.9
01/14/2009 20,01/15/2009 01,0.1,104886.603,5946.7,594.67,5946.7
01/14/2009 21,01/15/2009 02,0.1,102954.626,5938.2,593.82,5938.2
01/14/2009 22,01/15/2009 03,0.09,99289.793,5942.2,534.83,5942.2
01/14/2009 23,01/15/2009 04,0.09,93705.315,5883.8,529.55,5883.8
01/14/2009 24,01/15/2009 05,0.09,88182.121,5809.1,522.84,5809.1
01/15/2009 01,01/15/2009 06,0.1,83977.158,5985.4,598.54,5985.4
01/15/2009 02,01/15/2009 07,0.1,82386.272,6060.1,606.01,6060.1
01/15/2009 03,01/15/2009 08,0.1,81858.185,6058,605.8,6058
01/15/2009 04,01/15/2009 09,0.1,82177.82,6060.4,606.04,6060.4
01/15/2009 05,01/15/2009 10,0.1,84178.345,6060.2,606.02,6060.2
01/15/2009 06,01/15/2009 11,0.1,89283.43,6060.6,606.06,6060.6
01/15/2009 07,01/15/2009 12,0.15,97720.778,5967.3,895.13,5967.3
01/15/2009 08,01/15/2009 13,0.1,103033.037,6084.8,608.48,6084.8
01/15/2009 09,01/15/2009 14,0.1,103623.826,6070,607,6070
01/15/2009 10,01/15/2009 15,0.1,103277.963,6075.8,607.58,6075.8
01/15/2009 11,01/15/2009 16,0.1,102360.234,6084.2,608.42,6084.2
01/15/2009 12,01/15/2009 17,0.1,101254.88,6081.7,608.17,6081.7
01/15/2009 13,01/15/2009 18,0.1,100467.214,6081.2,608.12,6081.2
01/15/2009 14,01/15/2009 19,0.09,99883.586,6068,546.14,6068
01/15/2009 15,01/15/2009 20,0.09,99368.339,5873.3,528.63,5873.3
01/15/2009 16,01/15/2009 21,0.09,99620.691,5888.4,529.98,5888.4
01/15/2009 17,01/15/2009 22,0.1,102299.564,6088.2,608.82,6088.2
01/15/2009 18,01/15/2009 23,0.1,109144.39,6083.4,608.34,6083.4
01/15/2009 19,01/16/2009 00,0.42,112992.986,6067.9,2548.51,6067.9
01/15/2009 20,01/16/2009 01,0.42,112882.948,6073.8,2550.98,6073.8
01/15/2009 21,01/16/2009 02,0.19,111926.24,6088.8,1156.9,6088.8
01/15/2009 22,01/16/2009 03,0.1,109056.822,6086.1,608.61,6086.1
01/15/2009 23,01/16/2009 04,0.1,104245.759,6079.9,607.99,6079.9
01/15/2009 24,01/16/2009 05,0.1,99205.089,5929.9,592.99,5929.9
01/16/2009 01,01/16/2009 06,0.1,95652.769,5166.7,516.67,5166.7
01/16/2009 02,01/16/2009 07,0.1,94296.719,5186.2,518.62,5186.2
01/16/2009 03,01/16/2009 08,0.1,93989.166,5192.7,519.27,5192.7
01/16/2009 04,01/16/2009 09,0.1,94538.215,5190.9,519.09,5190.9
01/16/2009 05,01/16/2009 10,0.1,96542.33,5204.2,520.42,5204.2
01/16/2009 06,01/16/2009 11,0.1,101234.927,5003.8,500.38,5003.8
01/16/2009 07,01/16/2009 12,0.1,108961.178,5043.5,504.35,5043.5
01/16/2009 08,01/16/2009 13,0.22,113501.947,5139.2,1130.62,5139.2
01/16/2009 09,01/16/2009 14,0.19,113640.533,5137.3,976.13,5137.3
01/16/2009 10,01/16/2009 15,0.1,112577.634,5124.2,512.42,5124.2
01/16/2009 11,01/16/2009 16,0.1,111271.934,5125.3,512.53,5125.3
01/16/2009 12,01/16/2009 17,0.1,109246.53,5067.5,506.75,5067.5
01/16/2009 13,01/16/2009 18,0.1,107335.062,5022.8,502.28,5022.8
01/16/2009 14,01/16/2009 19,0.09,105330.181,5020.6,451.86,5020.6
01/16/2009 15,01/16/2009 20,0.09,103864.982,5020.5,451.83,5020.5
01/16/2009 16,01/16/2009 21,0.09,103239.173,5023.1,452.08,5023.1
01/16/2009 17,01/16/2009 22,0.1,105316.714,5036.8,503.68,5036.8
01/16/2009 18,01/16/2009 23,0.19,111497.673,4741.1,900.83,4741.1
01/16/2009 19,01/17/2009 00,0.42,114764.686,4938.2,2074.03,4938.2
01/16/2009 20,01/17/2009 01,0.1,114084.667,4928.7,492.87,4928.7
01/16/2009 21,01/17/2009 02,0.1,112845.245,5108.5,510.85,5108.5
01/16/2009 22,01/17/2009 03,0.1,110760.144,5031.8,503.18,5031.8
01/16/2009 23,01/17/2009 04,0.1,106743.554,4987.4,498.74,4987.4
01/16/2009 24,01/17/2009 05,0.09,102360.424,5116.2,460.5,5116.2
01/17/2009 01,01/17/2009 06,0.1,98857.792,6078.4,607.84,6078.4
01/17/2009 02,01/17/2009 07,0.1,97449.499,6103.1,610.31,6103.1
01/17/2009 03,01/17/2009 08,0.1,96985.397,6110.4,611.04,6110.4
01/17/2009 04,01/17/2009 09,0.1,96947.415,6109.5,610.95,6109.5
01/17/2009 05,01/17/2009 10,0.1,97673.593,6110,611,6110
01/17/2009 06,01/17/2009 11,0.1,99564.804,6119,611.9,6119
01/17/2009 07,01/17/2009 12,0.1,102400.335,6118.801,611.88,6118.801
01/17/2009 08,01/17/2009 13,0.19,105202.2,6112.8,1161.41,6112.8
01/17/2009 09,01/17/2009 14,0.15,106577.289,6107.5,916.21,6107.5
01/17/2009 10,01/17/2009 15,0.1,106217.692,6107,610.7,6107
01/17/2009 11,01/17/2009 16,0.1,104852.318,6106.9,610.69,6106.9
01/17/2009 12,01/17/2009 17,0.1,102357.478,6067.2,606.72,6067.2
01/17/2009 13,01/17/2009 18,0.1,99693.375,6092.6,609.26,6092.6
01/17/2009 14,01/17/2009 19,0.1,97482.236,6092.9,609.29,6092.9
01/17/2009 15,01/17/2009 20,0.09,96155.84,6092.8,548.4,6092.8
01/17/2009 16,01/17/2009 21,0.09,95889.336,6090.8,548.18,6090.8
01/17/2009 17,01/17/2009 22,0.1,97683.359,6116.3,611.63,6116.3
01/17/2009 18,01/17/2009 23,0.1,101969.799,6116.9,611.69,6116.9
01/17/2009 19,01/18/2009 00,0.1,103469.077,6118.6,611.86,6118.6
01/17/2009 20,01/18/2009 01,0.1,101984.295,6116.3,611.63,6116.3
01/17/2009 21,01/18/2009 02,0.1,99879.232,6116.8,611.68,6116.8
01/17/2009 22,01/18/2009 03,0.1,96757.829,6104.8,610.48,6104.8
01/17/2009 23,01/18/2009 04,0.1,92562.281,6094.5,609.45,6094.5
01/17/2009 24,01/18/2009 05,0.09,87845.543,6088.8,547.98,6088.8
01/18/2009 01,01/18/2009 06,0.1,83971.193,5628.3,562.83,5628.3
01/18/2009 02,01/18/2009 07,0.1,81288.165,5622.6,562.26,5622.6
01/18/2009 03,01/18/2009 08,0.1,79709.202,5635.4,563.54,5635.4
01/18/2009 04,01/18/2009 09,0.1,78774.575,5566.8,556.68,5566.8
01/18/2009 05,01/18/2009 10,0.1,78554.278,5647.1,564.71,5647.1
01/18/2009 06,01/18/2009 11,0.1,79303.915,5578.1,557.81,5578.1
01/18/2009 07,01/18/2009 12,0.1,80857.659,5620,562,5620
01/18/2009 08,01/18/2009 13,0.1,83363.348,5647.2,564.72,5647.2
01/18/2009 09,01/18/2009 14,0.1,85631.475,5652.3,565.23,5652.3
01/18/2009 10,01/18/2009 15,0.1,88014.995,5657.5,565.75,5657.5
01/18/2009 11,01/18/2009 16,0.1,88160.919,5580.4,558.04,5580.4
01/18/2009 12,01/18/2009 17,0.1,87907.8,5581.9,558.19,5581.9
01/18/2009 13,01/18/2009 18,0.1,87707.814,5516.9,551.69,5516.9
01/18/2009 14,01/18/2009 19,0.1,86725.524,5499,549.9,5499
01/18/2009 15,01/18/2009 20,0.1,85983.336,5524.8,552.48,5524.8
01/18/2009 16,01/18/2009 21,0.1,85608.221,5484.7,548.47,5484.7
01/18/2009 17,01/18/2009 22,0.1,87058.86,5560.5,556.05,5560.5
01/18/2009 18,01/18/2009 23,0.1,91393.249,5657.2,565.72,5657.2
01/18/2009 19,01/19/2009 00,0.22,93671.569,5649.8,1242.96,5649.8
01/18/2009 20,01/19/2009 01,0.1,93091.299,5657.6,565.76,5657.6
01/18/2009 21,01/19/2009 02,0.1,91718.484,5653.7,565.37,5653.7
01/18/2009 22,01/19/2009 03,0.1,89498.71,5632.3,563.23,5632.3
01/18/2009 23,01/19/2009 04,0.1,86395.644,5628.4,562.84,5628.4
01/18/2009 24,01/19/2009 05,0.1,83004.644,5618.7,561.87,5618.7
01/19/2009 01,01/19/2009 06,0.09,79885.703,5645.7,508.14,5645.7
01/19/2009 02,01/19/2009 07,0.09,78421.633,5604.8,504.43,5604.8
01/19/2009 03,01/19/2009 08,0.09,78058.493,5605,504.44,5605
01/19/2009 04,01/19/2009 09,0.09,78453.499,5604.7,504.43,5604.7
01/19/2009 05,01/19/2009 10,0.09,79971.379,5605,504.44,5605
01/19/2009 06,01/19/2009 11,0.1,83669.338,5539.6,553.96,5539.6
01/19/2009 07,01/19/2009 12,0.1,89273.983,5603.2,560.32,5603.2
01/19/2009 08,01/19/2009 13,0.1,94180.507,5611.8,561.18,5611.8
01/19/2009 09,01/19/2009 14,0.1,96348.725,5533.8,553.38,5533.8
01/19/2009 10,01/19/2009 15,0.1,97798.142,5529.9,552.99,5529.9
01/19/2009 11,01/19/2009 16,0.1,97721.655,5534.1,553.41,5534.1
01/19/2009 12,01/19/2009 17,0.1,96897.615,5514,551.4,5514
01/19/2009 13,01/19/2009 18,0.1,95528.113,5587.1,558.71,5587.1
01/19/2009 14,01/19/2009 19,0.1,94382.809,5603.6,560.36,5603.6
01/19/2009 15,01/19/2009 20,0.09,93538.727,5611.7,505.06,5611.7
01/19/2009 16,01/19/2009 21,0.09,93017.296,5611.5,505.08,5611.5
01/19/2009 17,01/19/2009 22,0.1,93953.772,5604.5,560.45,5604.5
01/19/2009 18,01/19/2009 23,0.19,99596.167,5615.5,1066.94,5615.5
01/19/2009 19,01/20/2009 00,0.19,102801.686,5612,1066.27,5612
01/19/2009 20,01/20/2009 01,0.19,102504.61,5610.9,1066.06,5610.9
01/19/2009 21,01/20/2009 02,0.1,100863.492,5587.2,558.72,5587.2
01/19/2009 22,01/20/2009 03,0.1,97723.929,5612.4,561.24,5612.4
01/19/2009 23,01/20/2009 04,0.09,92851.097,5605.1,504.44,5605.1
01/19/2009 24,01/20/2009 05,0.1,87887.847,5440.5,544.05,5440.5
01/20/2009 01,01/20/2009 06,0.09,84565.024,5122.1,460.96,5122.1
01/20/2009 02,01/20/2009 07,0.09,83245.284,5205.1,468.46,5205.1
01/20/2009 03,01/20/2009 08,0.09,83069.848,5204.7,468.46,5204.7
01/20/2009 04,01/20/2009 09,0.09,83876.995,5206.7,468.63,5206.7
01/20/2009 05,01/20/2009 10,0.09,86053.898,5212.2,469.09,5212.2
01/20/2009 06,01/20/2009 11,0.09,91134.419,5249.8,472.52,5249.8
01/20/2009 07,01/20/2009 12,0.1,99112.546,5277.1,527.71,5277.1
01/20/2009 08,01/20/2009 13,0.1,104549.454,5277,527.7,5277
01/20/2009 09,01/20/2009 14,0.1,105185.699,5273.2,527.32,5273.2
01/20/2009 10,01/20/2009 15,0.1,104400.601,5279.1,527.91,5279.1
01/20/2009 11,01/20/2009 16,0.09,102727.592,5279.3,475.19,5279.3
01/20/2009 12,01/20/2009 17,0.09,100103.649,5279.5,475.16,5279.5
01/20/2009 13,01/20/2009 18,0.09,97953.137,5281.1,475.34,5281.1
01/20/2009 14,01/20/2009 19,0.09,97874.566,5281.1,475.32,5281.1
01/20/2009 15,01/20/2009 20,0.09,96580.758,5281.2,475.32,5281.2
01/20/2009 16,01/20/2009 21,0.09,95932.897,5281.1,475.34,5281.1
01/20/2009 17,01/20/2009 22,0.09,97762.023,5281.3,475.33,5281.3
01/20/2009 18,01/20/2009 23,0.15,103971.408,5285,792.84,5285
01/20/2009 19,01/21/2009 00,0.19,107758.727,5277.2,1002.67,5277.2
01/20/2009 20,01/21/2009 01,0.19,107371.888,5278.6,1002.96,5278.6
01/20/2009 21,01/21/2009 02,0.1,105702.045,5279,527.9,5279
01/20/2009 22,01/21/2009 03,0.09,102506.614,5275.3,474.83,5275.3
01/20/2009 23,01/21/2009 04,0.09,97264.049,5275.5,474.85,5275.5
01/20/2009 24,01/21/2009 05,0.09,91801.123,5265.1,473.89,5265.1
01/21/2009 01,01/21/2009 06,0.09,88334.605,5601.7,504.16,5601.7
01/21/2009 02,01/21/2009 07,0.09,86917.43,5619.5,505.78,5619.5
01/21/2009 03,01/21/2009 08,0.09,86579.213,5619.5,505.76,5619.5
01/21/2009 04,01/21/2009 09,0.09,87181.576,5619.3,505.79,5619.3
01/21/2009 05,01/21/2009 10,0.09,89408.974,5590.5,503.15,5590.5
01/21/2009 06,01/21/2009 11,0.09,94618.218,5649.3,508.5,5649.3
01/21/2009 07,01/21/2009 12,0.1,103039.315,5649.2,564.92,5649.2
01/21/2009 08,01/21/2009 13,0.1,108270.68,5649.1,564.91,5649.1
01/21/2009 09,01/21/2009 14,0.15,107253.506,5649.4,847.51,5649.4
01/21/2009 10,01/21/2009 15,0.1,105125.58,5643.2,564.32,5643.2
01/21/2009 11,01/21/2009 16,0.1,102893.707,5651.6,565.16,5651.6
01/21/2009 12,01/21/2009 17,0.09,100413.899,5653.2,508.82,5653.2
01/21/2009 13,01/21/2009 18,0.09,97984.286,5653.1,508.78,5653.1
01/21/2009 14,01/21/2009 19,0.09,96261.253,5633.3,507.02,5633.3
01/21/2009 15,01/21/2009 20,0.09,94499.748,5633,506.99,5633
01/21/2009 16,01/21/2009 21,0.09,93750.691,5633.3,507,5633.3
01/21/2009 17,01/21/2009 22,0.09,95369.635,5633.1,507.02,5633.1
01/21/2009 18,01/21/2009 23,0.1,101548.859,5638.1,563.81,5638.1
01/21/2009 19,01/22/2009 00,0.15,106048.988,5630.6,844.65,5630.6
01/21/2009 20,01/22/2009 01,0.1,105811.131,5633.8,563.38,5633.8
01/21/2009 21,01/22/2009 02,0.1,104279.169,5634.2,563.42,5634.2
01/21/2009 22,01/22/2009 03,0.09,101031.077,5634.1,507.1,5634.1
01/21/2009 23,01/22/2009 04,0.09,95629.527,5625.5,506.34,5625.5
01/21/2009 24,01/22/2009 05,0.09,90366.363,5613.4,505.25,5613.4
01/22/2009 01,01/22/2009 06,0.09,86607.77,5705.5,513.52,5705.5
01/22/2009 02,01/22/2009 07,0.09,85049.75,5934.3,534.09,5934.3
01/22/2009 03,01/22/2009 08,0.09,84498.24,5936.1,534.24,5936.1
01/22/2009 04,01/22/2009 09,0.09,85005.657,5927.7,533.53,5927.7
01/22/2009 05,01/22/2009 10,0.09,86808.998,5901.8,531.14,5901.8
01/22/2009 06,01/22/2009 11,0.09,91767.957,5954.2,535.89,5954.2
01/22/2009 07,01/22/2009 12,0.1,100286.337,5900.5,590.05,5900.5
01/22/2009 08,01/22/2009 13,0.1,104973.372,5778,577.8,5778
01/22/2009 09,01/22/2009 14,0.1,103060.182,5847.8,584.78,5847.8
01/22/2009 10,01/22/2009 15,0.1,99958.502,5801.4,580.14,5801.4
01/22/2009 11,01/22/2009 16,0.1,96888.86,5795.9,579.59,5795.9
01/22/2009 12,01/22/2009 17,0.1,94172.092,5871.1,587.11,5871.1
01/22/2009 13,01/22/2009 18,0.09,91245.899,5959.8,536.37,5959.8
01/22/2009 14,01/22/2009 19,0.09,89095.962,6018.5,541.65,6018.5
01/22/2009 15,01/22/2009 20,0,87021.094,5995.7,0,5995.7
01/22/2009 16,01/22/2009 21,0,85761.538,5854.1,0,5854.1
01/22/2009 17,01/22/2009 22,0.08,86899.249,5833,466.64,5833
01/22/2009 18,01/22/2009 23,0.1,92369.264,5654.9,565.49,5654.9
01/22/2009 19,01/23/2009 00,0.1,97229.212,5657.1,565.71,5657.1
01/22/2009 20,01/23/2009 01,0.1,97437.29,5654.9,565.49,5654.9
01/22/2009 21,01/23/2009 02,0.1,96465.258,5652,565.2,5652
01/22/2009 22,01/23/2009 03,0.1,93226.757,5608,560.8,5608
01/22/2009 23,01/23/2009 04,0.03,87998.219,5767.6,173.07,5767.6
01/22/2009 24,01/23/2009 05,0.09,82618.965,5612.9,505.19,5612.9
01/23/2009 01,01/23/2009 06,0.09,78754.536,5550.6,499.56,5550.6
01/23/2009 02,01/23/2009 07,0.09,77070.651,5569.4,501.26,5569.4
01/23/2009 03,01/23/2009 08,0.03,76432.49,5618,168.56,5618
01/23/2009 04,01/23/2009 09,0,76664.759,5620.3,0,5620.3
01/23/2009 05,01/23/2009 10,0.08,78417.843,5619.7,449.57,5619.7
01/23/2009 06,01/23/2009 11,0.1,83288.117,5332.6,533.26,5332.6
01/23/2009 07,01/23/2009 12,0.19,91846.153,5316.4,1010.13,5316.4
01/23/2009 08,01/23/2009 13,0.19,96736.302,5298.9,1006.8,5298.9
01/23/2009 09,01/23/2009 14,0.1,95469.208,5298.7,529.87,5298.7
01/23/2009 10,01/23/2009 15,0.1,92488.473,5333.6,533.36,5333.6
01/23/2009 11,01/23/2009 16,0.1,89829.008,5409.5,540.95,5409.5
01/23/2009 12,01/23/2009 17,0.09,87306.842,5247.4,472.27,5247.4
01/23/2009 13,01/23/2009 18,0.09,84664.428,5358,482.23,5358
01/23/2009 14,01/23/2009 19,0.09,82692.852,5368.3,483.15,5368.3
01/23/2009 15,01/23/2009 20,0.03,81274.568,5667.3,170.04,5667.3
01/23/2009 16,01/23/2009 21,0.03,80360.484,5577,167.37,5577
01/23/2009 17,01/23/2009 22,0.09,81455.134,5529.8,497.71,5529.8
01/23/2009 18,01/23/2009 23,0.1,86128.445,5375.2,537.52,5375.2
01/23/2009 19,01/24/2009 00,0.1,88836.321,5372.1,537.21,5372.1
01/23/2009 20,01/24/2009 01,0.1,87764.075,5372.9,537.29,5372.9
01/23/2009 21,01/24/2009 02,0.1,86263.703,5373,537.3,5373
01/23/2009 22,01/24/2009 03,0.09,83784.834,5629.5,506.66,5629.5
01/23/2009 23,01/24/2009 04,0,80039.067,5499.3,0,5499.3
01/23/2009 24,01/24/2009 05,0,74977.383,5696.2,0,5696.2
01/24/2009 01,01/24/2009 06,0.1,70953.375,5212.6,521.26,5212.6
01/24/2009 02,01/24/2009 07,0.1,68699.926,5236.4,523.64,5236.4
01/24/2009 03,01/24/2009 08,0.1,67501.609,5236.6,523.66,5236.6
01/24/2009 04,01/24/2009 09,0.1,67199.409,5218.1,521.81,5218.1
01/24/2009 05,01/24/2009 10,0.1,67676.202,5217.5,521.75,5217.5
01/24/2009 06,01/24/2009 11,0.1,69497.779,5229,522.9,5229
01/24/2009 07,01/24/2009 12,0.1,72768.711,5076.9,507.69,5076.9
01/24/2009 08,01/24/2009 13,0.1,76789.778,5042.9,504.29,5042.9
01/24/2009 09,01/24/2009 14,0.1,80601.25,4726.2,472.62,4726.2
01/24/2009 10,01/24/2009 15,0.1,83739.265,4741.7,474.17,4741.7
01/24/2009 11,01/24/2009 16,0.1,85287.536,4732.6,473.26,4732.6
01/24/2009 12,01/24/2009 17,0.1,85272.321,4723,472.3,4723
01/24/2009 13,01/24/2009 18,0.1,84051.975,4457.5,445.75,4457.5
01/24/2009 14,01/24/2009 19,0.1,82222.382,4448.2,444.82,4448.2
01/24/2009 15,01/24/2009 20,0.1,80691.023,4649.2,464.92,4649.2
01/24/2009 16,01/24/2009 21,0.1,80383.291,4627.3,462.73,4627.3
01/24/2009 17,01/24/2009 22,0.1,82137.451,4645.7,464.57,4645.7
01/24/2009 18,01/24/2009 23,0.42,88078.394,4915.7,2064.61,4915.7
01/24/2009 19,01/25/2009 00,0.5,92864.545,4960.2,2480.1,4960.2
01/24/2009 20,01/25/2009 01,0.5,93234.517,4784.1,2392.05,4784.1
01/24/2009 21,01/25/2009 02,0.19,92622.243,4862.1,923.81,4862.1
01/24/2009 22,01/25/2009 03,0.19,91157.482,4858.4,923.13,4858.4
01/24/2009 23,01/25/2009 04,0.1,88357.422,4815.6,481.56,4815.6
01/24/2009 24,01/25/2009 05,0.1,84986.809,4775.9,477.59,4775.9
01/25/2009 01,01/25/2009 06,0.1,82058.994,5031,503.1,5031
01/25/2009 02,01/25/2009 07,0.1,80582.451,5159.6,515.96,5159.6
01/25/2009 03,01/25/2009 08,0.1,80018.135,5129.9,512.99,5129.9
01/25/2009 04,01/25/2009 09,0.1,79971.906,5159.7,515.97,5159.7
01/25/2009 05,01/25/2009 10,0.1,80706.029,5159.4,515.94,5159.4
01/25/2009 06,01/25/2009 11,0.1,82635.955,5140.2,514.02,5140.2
01/25/2009 07,01/25/2009 12,0.1,85355.22,5127.6,512.76,5127.6
01/25/2009 08,01/25/2009 13,0.1,88258.888,5119,511.9,5119
01/25/2009 09,01/25/2009 14,0.1,90250.231,5174.8,517.48,5174.8
01/25/2009 10,01/25/2009 15,0.1,90373.741,5174.1,517.41,5174.1
01/25/2009 11,01/25/2009 16,0.1,89725.948,5181,518.1,5181
01/25/2009 12,01/25/2009 17,0.1,88681.076,5169.7,516.97,5169.7
01/25/2009 13,01/25/2009 18,0.1,87191.495,5082.2,508.22,5082.2
01/25/2009 14,01/25/2009 19,0.1,85788.047,5085.4,508.54,5085.4
01/25/2009 15,01/25/2009 20,0.1,84885.55,5140,514,5140
01/25/2009 16,01/25/2009 21,0.1,85237.763,5129.201,512.92,5129.201
01/25/2009 17,01/25/2009 22,0.1,87444.931,5162,516.2,5162
01/25/2009 18,01/25/2009 23,0.15,92652.058,5183.4,777.56,5183.4
01/25/2009 19,01/26/2009 00,0.42,96496.517,5091.4,2138.4,5091.4
01/25/2009 20,01/26/2009 01,0.42,96270.533,5090.9,2138.15,5090.9
01/25/2009 21,01/26/2009 02,0.19,95126.08,5178.6,983.95,5178.6
01/25/2009 22,01/26/2009 03,0.1,92440.032,5158.6,515.86,5158.6
01/25/2009 23,01/26/2009 04,0.1,88266.889,5150.8,515.08,5150.8
01/25/2009 24,01/26/2009 05,0.1,83704.159,5149.2,514.92,5149.2
01/26/2009 01,01/26/2009 06,0.1,80559.44,6102.9,610.29,6102.9
01/26/2009 02,01/26/2009 07,0.1,79033.999,6112.6,611.26,6112.6
01/26/2009 03,01/26/2009 08,0.1,78751.943,6132.5,613.25,6132.5
01/26/2009 04,01/26/2009 09,0.1,79216.376,6132.9,613.29,6132.9
01/26/2009 05,01/26/2009 10,0.1,81140.634,6123.3,612.33,6123.3
01/26/2009 06,01/26/2009 11,0.1,86095.422,6125.6,612.56,6125.6
01/26/2009 07,01/26/2009 12,0.22,94535.623,6130.199,1348.72,6130.199
01/26/2009 08,01/26/2009 13,0.5,99983.157,6074.7,3037.35,6074.7
01/26/2009 09,01/26/2009 14,0.5,100463.862,5993.8,2996.9,5993.8
01/26/2009 10,01/26/2009 15,0.19,100371.675,6014.8,1142.81,6014.8
01/26/2009 11,01/26/2009 16,0.1,99746.639,6007.4,600.74,6007.4
01/26/2009 12,01/26/2009 17,0.1,98411.181,5963.9,596.39,5963.9
01/26/2009 13,01/26/2009 18,0.1,96994.33,5906.301,590.63,5906.301
01/26/2009 14,01/26/2009 19,0.1,95745.617,5901.5,590.16,5901.5
01/26/2009 15,01/26/2009 20,0.1,94805.416,5977.8,597.77,5977.8
01/26/2009 16,01/26/2009 21,0.1,94419.26,5976.801,597.68,5976.801
01/26/2009 17,01/26/2009 22,0.1,95939.498,5965.3,596.52,5965.3
01/26/2009 18,01/26/2009 23,0.19,100681.212,6083.7,1155.9,6083.7
01/26/2009 19,01/27/2009 00,0.5,103509.555,6058.4,3029.2,6058.4
01/26/2009 20,01/27/2009 01,0.5,102690.167,6037.7,3018.85,6037.7
01/26/2009 21,01/27/2009 02,0.1,100480.669,6080.8,608.08,6080.8
01/26/2009 22,01/27/2009 03,0.1,96498.194,5972.6,597.26,5972.6
01/26/2009 23,01/27/2009 04,0.1,90750.584,5944.2,594.42,5944.2
01/26/2009 24,01/27/2009 05,0.1,84681.211,6006.3,600.63,6006.3
01/27/2009 01,01/27/2009 06,0.09,80592.189,6108.2,549.75,6108.2
01/27/2009 02,01/27/2009 07,0.09,78633.511,6077.8,547,6077.8
01/27/2009 03,01/27/2009 08,0.09,77775.622,6108.2,549.68,6108.2
01/27/2009 04,01/27/2009 09,0,77951.516,6003,0,6003
01/27/2009 05,01/27/2009 10,0.09,79488.502,6037.3,543.38,6037.3
01/27/2009 06,01/27/2009 11,0.09,84382.025,6074.1,546.65,6074.1
01/27/2009 07,01/27/2009 12,0.1,92246.568,6095.3,609.53,6095.3
01/27/2009 08,01/27/2009 13,0.1,97510.767,6079.1,607.91,6079.1
01/27/2009 09,01/27/2009 14,0.1,98368.709,6129.4,612.94,6129.4
01/27/2009 10,01/27/2009 15,0.1,98772.933,6125.4,612.54,6125.4
01/27/2009 11,01/27/2009 16,0.1,98849.761,6123.4,612.34,6123.4
01/27/2009 12,01/27/2009 17,0.1,98500.016,6129.2,612.92,6129.2
01/27/2009 13,01/27/2009 18,0.1,97748.352,6070.499,607.04,6070.499
01/27/2009 14,01/27/2009 19,0.1,96979.968,6005.001,600.51,6005.001
01/27/2009 15,01/27/2009 20,0.1,96448.77,6132.701,613.27,6132.701
01/27/2009 16,01/27/2009 21,0.09,96185.348,6132.8,551.95,6132.8
01/27/2009 17,01/27/2009 22,0.1,97714.027,6128.501,612.85,6128.501
01/27/2009 18,01/27/2009 23,0.1,102249.085,6128.3,612.83,6128.3
01/27/2009 19,01/28/2009 00,0.22,104523.937,6129.8,1348.55,6129.8
01/27/2009 20,01/28/2009 01,0.22,103104.431,6127,1347.94,6127
01/27/2009 21,01/28/2009 02,0.1,100310.851,6129.7,612.97,6129.7
01/27/2009 22,01/28/2009 03,0.1,96345.366,6130.4,613.04,6130.4
01/27/2009 23,01/28/2009 04,0.1,90757.793,6104.6,610.46,6104.6
01/27/2009 24,01/28/2009 05,0.09,85042.607,6082.4,547.46,6082.4
01/28/2009 01,01/28/2009 06,0.08,80710.453,5468.3,437.45,5468.3
01/28/2009 02,01/28/2009 07,0.03,78464.878,5469.3,164.11,5469.3
01/28/2009 03,01/28/2009 08,0,77555.448,5477.4,0,5477.4
01/28/2009 04,01/28/2009 09,0,77375.653,5689.1,0,5689.1
01/28/2009 05,01/28/2009 10,0.09,78606.819,5313.6,478.19,5313.6
01/28/2009 06,01/28/2009 11,0.09,82314.593,5523.2,497.15,5523.2
01/28/2009 07,01/28/2009 12,0.1,88285.839,5532.7,553.27,5532.7
01/28/2009 08,01/28/2009 13,0.1,92847.035,5674.9,567.49,5674.9
01/28/2009 09,01/28/2009 14,0.1,94578.988,5675.7,567.57,5675.7
01/28/2009 10,01/28/2009 15,0.1,95562.228,5685.999,568.59,5685.999
01/28/2009 11,01/28/2009 16,0.1,96161.727,5594.1,559.41,5594.1
01/28/2009 12,01/28/2009 17,0.1,96011.281,5613.899,561.39,5613.899
01/28/2009 13,01/28/2009 18,0.1,94999.36,5653.399,565.34,5653.399
01/28/2009 14,01/28/2009 19,0.1,93919.397,5656.201,565.62,5656.201
01/28/2009 15,01/28/2009 20,0.09,92901.641,5634.4,507.15,5634.4
01/28/2009 16,01/28/2009 21,0.09,92220.676,5433.6,488.99,5433.6
01/28/2009 17,01/28/2009 22,0.09,92996.793,5471.9,492.48,5471.9
01/28/2009 18,01/28/2009 23,0.1,96346.792,5675.198,567.52,5675.198
01/28/2009 19,01/29/2009 00,0.1,98954.161,5689.1,568.91,5689.1
01/28/2009 20,01/29/2009 01,0.1,98010.82,5689.9,568.99,5689.9
