Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"January, 2009 ",Report Creation Timestamp (EPT):, 07/06/2010 07:09:36 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/04/2009 06,01/04/2009 11,0.05,69967.748,5046.7,252.39,5046.7
01/04/2009 07,01/04/2009 12,0.05,72095.439,5072.3,253.69,5072.3
01/04/2009 08,01/04/2009 13,0.09,74255.062,5140,462.59,5140
01/04/2009 09,01/04/2009 14,0.09,76006.568,5120.1,460.85,5120.1
01/04/2009 10,01/04/2009 15,0.1,77057.126,5149.3,514.93,5149.3
01/04/2009 11,01/04/2009 16,0.1,77293.393,5192.1,519.21,5192.1
01/04/2009 12,01/04/2009 17,0.09,77068.702,5215.3,469.4,5215.3
01/04/2009 13,01/04/2009 18,0.09,76489.461,5215.3,469.38,5215.3
01/04/2009 14,01/04/2009 19,0.09,75647.037,5215.4,469.4,5215.4
01/04/2009 15,01/04/2009 20,0.08,75004.678,5215.2,417.22,5215.2
01/04/2009 16,01/04/2009 21,0.08,75086.255,5213.4,417.06,5213.4
01/04/2009 17,01/04/2009 22,0.1,77635.974,5213.3,521.33,5213.3
01/04/2009 18,01/04/2009 23,0.1,83372.84,5192.2,519.22,5192.2
01/04/2009 19,01/05/2009 00,0.1,85253.2,5208.9,520.89,5208.9
01/04/2009 20,01/05/2009 01,0.1,84631.109,5190.8,519.08,5190.8
01/04/2009 21,01/05/2009 02,0.1,83395.908,5213.3,521.33,5213.3
01/04/2009 22,01/05/2009 03,0.1,80145.167,5189.4,518.94,5189.4
01/04/2009 23,01/05/2009 04,0.09,75713.417,5195.9,467.67,5195.9
01/04/2009 24,01/05/2009 05,0.05,71141.303,5095.9,254.86,5095.9
01/05/2009 01,01/05/2009 06,0,67404.48,5652.5,0,5652.5
01/05/2009 02,01/05/2009 07,0,65644.587,5654.8,0,5654.8
01/05/2009 03,01/05/2009 08,0,64923.165,5655.3,0,5655.3
01/05/2009 04,01/05/2009 09,0,65093.874,5653.2,0,5653.2
01/05/2009 05,01/05/2009 10,0.05,66965.005,5649.6,282.55,5649.6
01/05/2009 06,01/05/2009 11,0.05,71817.141,5649.3,282.53,5649.3
01/05/2009 07,01/05/2009 12,0.1,80417.952,5703.4,570.34,5703.4
01/05/2009 08,01/05/2009 13,0.1,85933.252,5675.9,567.59,5675.9
01/05/2009 09,01/05/2009 14,0.1,86286.754,5680.2,568.02,5680.2
01/05/2009 10,01/05/2009 15,0.1,86047.225,5677.3,567.73,5677.3
01/05/2009 11,01/05/2009 16,0.1,85939.251,5696.4,569.64,5696.4
01/05/2009 12,01/05/2009 17,0.1,85143.051,5698.4,569.84,5698.4
01/05/2009 13,01/05/2009 18,0.09,84522.362,5642.1,507.79,5642.1
01/05/2009 14,01/05/2009 19,0.09,83696.5,5700.2,513.05,5700.2
01/05/2009 15,01/05/2009 20,0.09,82959.334,5661.3,509.55,5661.3
01/05/2009 16,01/05/2009 21,0.09,82732.359,5659.7,509.41,5659.7
01/05/2009 17,01/05/2009 22,0.09,84970.639,5699.4,513,5699.4
01/05/2009 18,01/05/2009 23,0.1,91053.496,5520.5,552.05,5520.5
01/05/2009 19,01/06/2009 00,0.1,93165.895,5573.7,557.37,5573.7
01/05/2009 20,01/06/2009 01,0.1,92296.258,5599.3,559.93,5599.3
01/05/2009 21,01/06/2009 02,0.09,90549.004,5640.4,507.65,5640.4
01/05/2009 22,01/06/2009 03,0.09,87189.116,5640.4,507.68,5640.4
01/05/2009 23,01/06/2009 04,0.08,81717.432,5593.1,447.43,5593.1
01/05/2009 24,01/06/2009 05,0,75994.784,5586.7,0,5586.7
01/06/2009 01,01/06/2009 06,0,71748.865,5563.4,0,5563.4
01/06/2009 02,01/06/2009 07,0,69610.597,5639.5,0,5639.5
01/06/2009 03,01/06/2009 08,0,68782.149,5640.1,0,5640.1
01/06/2009 04,01/06/2009 09,0,68787.33,5640.7,0,5640.7
01/06/2009 05,01/06/2009 10,0,70404.98,5640.3,0,5640.3
01/06/2009 06,01/06/2009 11,0.05,75280.27,5634.7,281.8,5634.7
01/06/2009 07,01/06/2009 12,0.1,83771.574,5655.1,565.51,5655.1
01/06/2009 08,01/06/2009 13,0.1,89552.168,5689.5,568.95,5689.5
01/06/2009 09,01/06/2009 14,0.1,90328.111,5701.2,570.12,5701.2
01/06/2009 10,01/06/2009 15,0.1,90643.231,5705.2,570.52,5705.2
01/06/2009 11,01/06/2009 16,0.1,91434.88,5603.7,560.37,5603.7
01/06/2009 12,01/06/2009 17,0.1,91687.312,5564,556.4,5564
01/06/2009 13,01/06/2009 18,0.09,91515.943,5506.9,495.67,5506.9
01/06/2009 14,01/06/2009 19,0.09,91388.69,5496.5,494.74,5496.5
01/06/2009 15,01/06/2009 20,0.09,91069.293,5467.8,492.15,5467.8
01/06/2009 16,01/06/2009 21,0.09,91271.783,5457.1,491.16,5457.1
01/06/2009 17,01/06/2009 22,0.09,93939.747,5539.6,498.63,5539.6
01/06/2009 18,01/06/2009 23,0.1,98394.282,5604.1,560.41,5604.1
01/06/2009 19,01/07/2009 00,0.1,99016.322,5592.6,559.26,5592.6
01/06/2009 20,01/07/2009 01,0.1,97629.487,5609.3,560.93,5609.3
