Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"September, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 11:59:09 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
09/04/2008 01,09/04/2008 05,0.23,76244.741,5618,1292.13,5618
09/04/2008 02,09/04/2008 06,0.23,71443.586,5937.1,1365.56,5937.1
09/04/2008 03,09/04/2008 07,0.22,68562.484,5935.3,1305.78,5935.3
09/04/2008 04,09/04/2008 08,0.22,66819.713,5933.1,1305.28,5933.1
09/04/2008 05,09/04/2008 09,0.22,66934.677,5933.3,1305.3,5933.3
09/04/2008 06,09/04/2008 10,0.23,70239.923,5931.8,1364.28,5931.8
09/04/2008 07,09/04/2008 11,0.23,77698.922,5937.8,1365.67,5937.8
09/04/2008 08,09/04/2008 12,0.23,82399.439,5947.5,1367.98,5947.5
09/04/2008 09,09/04/2008 13,0.23,86624.076,5949.9,1368.48,5949.9
09/04/2008 10,09/04/2008 14,0.25,91448.913,5945.8,1486.58,5945.8
09/04/2008 11,09/04/2008 15,0.25,96895.311,5950.2,1487.69,5950.2
09/04/2008 12,09/04/2008 16,0.25,101998.349,5926.1,1481.64,5926.1
09/04/2008 13,09/04/2008 17,0.35,106349.703,5936,2077.67,5936
09/04/2008 14,09/04/2008 18,0.73,110115.565,5663,4133.97,5663
09/04/2008 15,09/04/2008 19,0.97,112724.714,5673.8,5503.64,5673.8
09/04/2008 16,09/04/2008 20,1,114280.048,5668,5668.01,5668
09/04/2008 17,09/04/2008 21,1,115020.47,5651.602,5651.57,5651.602
09/04/2008 18,09/04/2008 22,1,114166.34,5668.1,5668.1,5668.1
09/04/2008 19,09/04/2008 23,0.35,110914.442,5970.5,2089.73,5970.5
09/04/2008 20,09/05/2008 00,0.35,108067.213,5966.8,2088.46,5966.8
09/04/2008 21,09/05/2008 01,0.35,107848.488,5958.5,2085.54,5958.5
09/04/2008 22,09/05/2008 02,0.25,102326.379,5961.7,1490.54,5961.7
09/04/2008 23,09/05/2008 03,0.23,93698.814,5944.8,1367.31,5944.8
09/04/2008 24,09/05/2008 04,0.23,85151.259,5918,1361.2,5918
09/05/2008 01,09/05/2008 05,0.23,78053.472,6068.9,1395.85,6068.9
09/05/2008 02,09/05/2008 06,0.23,73225.781,6105.7,1404.3,6105.7
09/05/2008 03,09/05/2008 07,0.22,70208.179,6105.5,1343.3,6105.5
09/05/2008 04,09/05/2008 08,0.22,68258.364,6106,1343.33,6106
09/05/2008 05,09/05/2008 09,0.22,68070.05,6135.9,1349.92,6135.9
09/05/2008 06,09/05/2008 10,0.22,71145.446,6136.7,1350.18,6136.7
09/05/2008 07,09/05/2008 11,0.23,78235.667,6135.4,1411.15,6135.4
09/05/2008 08,09/05/2008 12,0.23,82915.084,6176.8,1420.65,6176.8
09/05/2008 09,09/05/2008 13,0.23,87676.208,6176.5,1420.6,6176.5
09/05/2008 10,09/05/2008 14,0.23,92604.899,6176.4,1420.59,6176.4
09/05/2008 11,09/05/2008 15,0.25,97039.305,6180.7,1545.29,6180.7
09/05/2008 12,09/05/2008 16,0.25,100683.119,6181,1545.36,6181
09/05/2008 13,09/05/2008 17,0.35,103301.042,6170.9,2159.88,6170.9
09/05/2008 14,09/05/2008 18,0.35,105756.611,6222.5,2177.91,6222.5
09/05/2008 15,09/05/2008 19,0.5,107005.08,6165.2,3082.6,6165.2
09/05/2008 16,09/05/2008 20,0.97,107339.246,6109.5,5926.27,6109.5
09/05/2008 17,09/05/2008 21,0.97,106775.419,6105,5921.86,6105
09/05/2008 18,09/05/2008 22,0.5,104312.537,6158.3,3079.15,6158.3
09/05/2008 19,09/05/2008 23,0.35,100368.766,6175.9,2161.63,6175.9
09/05/2008 20,09/06/2008 00,0.35,98109.475,6170.7,2159.81,6170.7
09/05/2008 21,09/06/2008 01,0.35,97625.33,6166.6,2158.37,6166.6
09/05/2008 22,09/06/2008 02,0.25,93994.224,6161.5,1540.48,6161.5
09/05/2008 23,09/06/2008 03,0.23,88190.527,6167.7,1418.57,6167.7
09/05/2008 24,09/06/2008 04,0.23,81275.713,6139.5,1412.11,6139.5
09/06/2008 01,09/06/2008 05,0.23,75474.95,4934.4,1134.91,4934.4
09/06/2008 02,09/06/2008 06,0.22,71308.286,4979.5,1095.45,4979.5
09/06/2008 03,09/06/2008 07,0.22,68813.831,4911.2,1080.5,4911.2
09/06/2008 04,09/06/2008 08,0.22,66987.921,4910.5,1080.36,4910.5
09/06/2008 05,09/06/2008 09,0.22,66671.78,4911.8,1080.65,4911.8
09/06/2008 06,09/06/2008 10,0.22,67668.031,4902.6,1078.63,4902.6
09/06/2008 07,09/06/2008 11,0.22,69723.019,4902.2,1078.5,4902.2
09/06/2008 08,09/06/2008 12,0.23,72544.181,4902.2,1127.52,4902.2
09/06/2008 09,09/06/2008 13,0.23,77262.286,4979.1,1145.2,4979.1
09/06/2008 10,09/06/2008 14,0.23,82447.323,4997.1,1149.35,4997.1
09/06/2008 11,09/06/2008 15,0.23,86316.903,5008.8,1152.03,5008.8
09/06/2008 12,09/06/2008 16,0.23,88249.31,4699.4,1080.86,4699.4
09/06/2008 13,09/06/2008 17,0.23,88623.591,5038.7,1158.92,5038.7
09/06/2008 14,09/06/2008 18,0.25,88138.246,5036.8,1259.28,5036.8
09/06/2008 15,09/06/2008 19,0.35,87189.799,5038.8,1763.64,5038.8
09/06/2008 16,09/06/2008 20,0.35,86134.634,5038.6,1763.57,5038.6
09/06/2008 17,09/06/2008 21,0.35,85649.189,5038.6,1763.57,5038.6
09/06/2008 18,09/06/2008 22,0.33,85391.5,5013.3,1654.4,5013.3
09/06/2008 19,09/06/2008 23,0.25,84390.495,5032.6,1258.24,5032.6
09/06/2008 20,09/07/2008 00,0.23,83873.931,4978.5,1145.05,4978.5
09/06/2008 21,09/07/2008 01,0.23,84926.556,5019.2,1154.43,5019.2
09/06/2008 22,09/07/2008 02,0.23,82220.9,4978.3,1145.01,4978.3
09/06/2008 23,09/07/2008 03,0.23,77564.249,4939.7,1136.15,4939.7
09/06/2008 24,09/07/2008 04,0.22,71919.297,4872.6,1071.95,4872.6
09/07/2008 01,09/07/2008 05,0.22,66789.585,4991,1097.98,4991
09/07/2008 02,09/07/2008 06,0.22,63049.17,5040.8,1108.96,5040.8
09/07/2008 03,09/07/2008 07,0.22,60576.489,5040.1,1108.84,5040.1
09/07/2008 04,09/07/2008 08,0.22,58685.888,4742,1043.25,4742
09/07/2008 05,09/07/2008 09,0.22,57718.496,4741.3,1043.1,4741.3
09/07/2008 06,09/07/2008 10,0.22,57627.583,4731.8,1040.96,4731.8
09/07/2008 07,09/07/2008 11,0.22,58229.026,4882.4,1074.21,4882.4
09/07/2008 08,09/07/2008 12,0.22,59627.216,4945.9,1088.12,4945.9
09/07/2008 09,09/07/2008 13,0.22,64235.291,5032.5,1107.09,5032.5
09/07/2008 10,09/07/2008 14,0.23,69205.289,5018.8,1154.34,5018.8
09/07/2008 11,09/07/2008 15,0.23,73023.195,5030,1156.9,5030
09/07/2008 12,09/07/2008 16,0.23,76364.23,5024.5,1155.63,5024.5
09/07/2008 13,09/07/2008 17,0.23,79190.127,5020.3,1154.69,5020.3
09/07/2008 14,09/07/2008 18,0.25,81301.992,4986.9,1246.82,4986.9
09/07/2008 15,09/07/2008 19,0.35,83239.136,5010.9,1753.88,5010.9
09/07/2008 16,09/07/2008 20,0.35,84795.359,5011.2,1753.99,5011.2
09/07/2008 17,09/07/2008 21,0.35,86209.871,5011.3,1754.03,5011.3
09/07/2008 18,09/07/2008 22,0.35,86711.231,4951.2,1732.99,4951.2
09/07/2008 19,09/07/2008 23,0.25,85325.875,5012.8,1253.28,5012.8
09/07/2008 20,09/08/2008 00,0.25,84440.917,4976.6,1244.24,4976.6
09/07/2008 21,09/08/2008 01,0.25,85921.001,4997.2,1249.4,4997.2
09/07/2008 22,09/08/2008 02,0.23,82533.656,5027.8,1156.44,5027.8
09/07/2008 23,09/08/2008 03,0.23,76611.403,5031.1,1157.17,5031.1
09/07/2008 24,09/08/2008 04,0.22,70268.85,5018.9,1104.16,5018.9
09/08/2008 01,09/08/2008 05,0.22,65281.1,5565.8,1224.41,5565.8
09/08/2008 02,09/08/2008 06,0.22,62398.876,5686.4,1251.01,5686.4
09/08/2008 03,09/08/2008 07,0.22,60345.668,5685.5,1250.77,5685.5
09/08/2008 04,09/08/2008 08,0.22,59661.332,5685.4,1250.75,5685.4
09/08/2008 05,09/08/2008 09,0.22,60200.922,5685.5,1250.82,5685.5
09/08/2008 06,09/08/2008 10,0.22,63999.859,5685.2,1250.77,5685.2
09/08/2008 07,09/08/2008 11,0.23,71260.999,5685.7,1307.7,5685.7
09/08/2008 08,09/08/2008 12,0.23,76085.788,5633.2,1295.65,5633.2
09/08/2008 09,09/08/2008 13,0.23,80056.495,5682.1,1306.88,5682.1
09/08/2008 10,09/08/2008 14,0.23,83984.188,5705.7,1312.33,5705.7
09/08/2008 11,09/08/2008 15,0.23,88137.357,5619.8,1292.59,5619.8
09/08/2008 12,09/08/2008 16,0.25,91300.826,5691.8,1423.04,5691.8
09/08/2008 13,09/08/2008 17,0.25,94154.415,5678.4,1419.69,5678.4
09/08/2008 14,09/08/2008 18,0.42,96680.058,5703.6,2395.53,5703.6
09/08/2008 15,09/08/2008 19,0.5,98191.823,5615.5,2807.75,5615.5
09/08/2008 16,09/08/2008 20,0.5,99425.875,5702.6,2851.3,5702.6
09/08/2008 17,09/08/2008 21,0.5,100300.659,5702.6,2851.3,5702.6
09/08/2008 18,09/08/2008 22,0.35,99585.114,5702.5,1995.92,5702.5
09/08/2008 19,09/08/2008 23,0.33,97127.238,5691,1878.02,5691
09/08/2008 20,09/09/2008 00,0.25,96032.331,5674.7,1418.76,5674.7
09/08/2008 21,09/09/2008 01,0.25,96548.96,5679.4,1419.93,5679.4
09/08/2008 22,09/09/2008 02,0.23,91504.218,5705.4,1312.27,5705.4
09/08/2008 23,09/09/2008 03,0.23,83528.695,5691.9,1309.14,5691.9
09/08/2008 24,09/09/2008 04,0.23,75980.5,5565.4,1280.08,5565.4
09/09/2008 01,09/09/2008 05,0,70007.806,5394,0,5394
09/09/2008 02,09/09/2008 06,0,66352.229,5481.8,0,5481.8
09/09/2008 03,09/09/2008 07,0,64298.874,5486.9,0,5486.9
09/09/2008 04,09/09/2008 08,0,63353.538,5467,0,5467
09/09/2008 05,09/09/2008 09,0,64075.95,5469.1,0,5469.1
09/09/2008 06,09/09/2008 10,0,68227.161,5458.5,0,5458.5
09/09/2008 07,09/09/2008 11,0.22,76228.131,5447.3,1198.46,5447.3
09/09/2008 08,09/09/2008 12,0,81894.675,5462.9,0,5462.9
09/09/2008 09,09/09/2008 13,0.22,84495.017,5498.4,1209.58,5498.4
09/09/2008 10,09/09/2008 14,0.22,86841.046,5500,1209.97,5500
09/09/2008 11,09/09/2008 15,0.22,89250.466,5424.9,1193.44,5424.9
09/09/2008 12,09/09/2008 16,0.22,90086.4,5425.2,1193.49,5425.2
09/09/2008 13,09/09/2008 17,0.22,90572.738,5437,1196.1,5437
09/09/2008 14,09/09/2008 18,0.25,90576.293,5440.4,1360.2,5440.4
09/09/2008 15,09/09/2008 19,0.25,90317.392,5414.8,1353.8,5414.8
09/09/2008 16,09/09/2008 20,0.25,90165.711,5397.3,1349.41,5397.3
09/09/2008 17,09/09/2008 21,0.25,90264.451,5412.5,1353.2,5412.5
09/09/2008 18,09/09/2008 22,0.23,89759.078,5441.6,1251.59,5441.6
09/09/2008 19,09/09/2008 23,0.22,88304.242,5474.3,1204.36,5474.3
09/09/2008 20,09/10/2008 00,0.22,88623.639,5465.9,1202.49,5465.9
09/09/2008 21,09/10/2008 01,0.22,89742.689,5440.7,1196.97,5440.7
09/09/2008 22,09/10/2008 02,0.22,86149.145,5335.8,1173.87,5335.8
09/09/2008 23,09/10/2008 03,0,79374.095,5418.6,0,5418.6
09/09/2008 24,09/10/2008 04,0,72293.062,5102.2,0,5102.2
09/10/2008 01,09/10/2008 05,0.15,66531.825,5003.2,750.51,5003.2
09/10/2008 02,09/10/2008 06,0,63150.492,5155.4,0,5155.4
09/10/2008 03,09/10/2008 07,0,61088.847,5157.8,0,5157.8
09/10/2008 04,09/10/2008 08,0,60113.077,5156.3,0,5156.3
09/10/2008 05,09/10/2008 09,0,60477.44,5155.6,0,5155.6
09/10/2008 06,09/10/2008 10,0,64139.1,5154,0,5154
09/10/2008 07,09/10/2008 11,0.15,71388.412,5153.2,773,5153.2
09/10/2008 08,09/10/2008 12,0.15,75574.462,5170.3,775.59,5170.3
09/10/2008 09,09/10/2008 13,0.15,77728.333,5149.1,772.42,5149.1
09/10/2008 10,09/10/2008 14,0.15,79878.5,5179.1,776.92,5179.1
09/10/2008 11,09/10/2008 15,0.15,82170.37,5183.5,777.57,5183.5
09/10/2008 12,09/10/2008 16,0.15,83554.661,5153.8,773.12,5153.8
09/10/2008 13,09/10/2008 17,0.15,84708.654,5183.2,777.55,5183.2
09/10/2008 14,09/10/2008 18,0.15,85660.718,5183.2,777.55,5183.2
09/10/2008 15,09/10/2008 19,0.15,86423.135,5183.3,777.55,5183.3
09/10/2008 16,09/10/2008 20,0.15,86764.892,5183.2,777.55,5183.2
09/10/2008 17,09/10/2008 21,0.15,86820.868,5191.4,778.78,5191.4
09/10/2008 18,09/10/2008 22,0.15,86154.224,5191.4,778.77,5191.4
09/10/2008 19,09/10/2008 23,0.15,84184.201,5187.3,778.14,5187.3
09/10/2008 20,09/11/2008 00,0.15,84036.157,5187.4,778.16,5187.4
09/10/2008 21,09/11/2008 01,0.15,85383.226,5187.1,778.14,5187.1
09/10/2008 22,09/11/2008 02,0.15,82043.323,5185.2,777.84,5185.2
09/10/2008 23,09/11/2008 03,0,75468.895,5168.9,0,5168.9
09/10/2008 24,09/11/2008 04,0,68815.261,5024.3,0,5024.3
09/11/2008 01,09/11/2008 05,0,63825.591,5168.6,0,5168.6
09/11/2008 02,09/11/2008 06,0,60772.831,5282.8,0,5282.8
09/11/2008 03,09/11/2008 07,0,59056.857,5282.9,0,5282.9
09/11/2008 04,09/11/2008 08,0,58371.306,5225.5,0,5225.5
09/11/2008 05,09/11/2008 09,0,58992.637,5223.4,0,5223.4
09/11/2008 06,09/11/2008 10,0,62561.827,5222.9,0,5222.9
09/11/2008 07,09/11/2008 11,0.15,70201.286,5215.5,782.37,5215.5
09/11/2008 08,09/11/2008 12,0.15,74777.525,5187.6,778.2,5187.6
09/11/2008 09,09/11/2008 13,0.15,77142.473,5131.1,769.72,5131.1
09/11/2008 10,09/11/2008 14,0.15,79728.075,5241.4,786.28,5241.4
09/11/2008 11,09/11/2008 15,0.15,82446.628,5287.9,793.24,5287.9
09/11/2008 12,09/11/2008 16,0.15,84436.241,5301.6,795.29,5301.6
09/11/2008 13,09/11/2008 17,0.15,85973.154,5301.7,795.3,5301.7
09/11/2008 14,09/11/2008 18,0.15,87444.063,5303.4,795.57,5303.4
09/11/2008 15,09/11/2008 19,0.22,88376.346,5304.3,1167.01,5304.3
09/11/2008 16,09/11/2008 20,0.22,88620.012,5303.6,1166.83,5303.6
09/11/2008 17,09/11/2008 21,0.22,88874.283,5303.4,1166.65,5303.4
09/11/2008 18,09/11/2008 22,0.22,88292.317,5305.7,1167.27,5305.7
09/11/2008 19,09/11/2008 23,0.15,86873.615,5180.6,777.13,5180.6
09/11/2008 20,09/12/2008 00,0.22,87681.46,5302.2,1166.49,5302.2
09/11/2008 21,09/12/2008 01,0.23,89204.071,5265.6,1211.13,5265.6
09/11/2008 22,09/12/2008 02,0.15,85756.414,5301.6,795.31,5301.6
09/11/2008 23,09/12/2008 03,0.15,79303.494,5292.4,793.92,5292.4
09/11/2008 24,09/12/2008 04,0,72453.36,5114.2,0,5114.2
09/12/2008 01,09/12/2008 05,0,67244.727,4847.4,0,4847.4
09/12/2008 02,09/12/2008 06,0,64050.442,5008.5,0,5008.5
09/12/2008 03,09/12/2008 07,0,62084.682,5010.3,0,5010.3
09/12/2008 04,09/12/2008 08,0,61312.392,5009.1,0,5009.1
09/12/2008 05,09/12/2008 09,0,61738.041,5009.2,0,5009.2
09/12/2008 06,09/12/2008 10,0,65755.636,4979.6,0,4979.6
09/12/2008 07,09/12/2008 11,0.15,73758.114,4958.5,743.82,4958.5
09/12/2008 08,09/12/2008 12,0.15,79255.642,4984.5,747.75,4984.5
09/12/2008 09,09/12/2008 13,0.15,82190.737,4980.9,747.2,4980.9
09/12/2008 10,09/12/2008 14,0.15,84913.606,5014.5,752.24,5014.5
09/12/2008 11,09/12/2008 15,0.15,87264,5016.3,752.53,5016.3
09/12/2008 12,09/12/2008 16,0.15,88707.317,5012.8,752,5012.8
09/12/2008 13,09/12/2008 17,0.15,89725.147,5012.9,752.01,5012.9
09/12/2008 14,09/12/2008 18,0.15,90502.801,5013,752.03,5013
09/12/2008 15,09/12/2008 19,0.2,90627.608,5016.6,1003.32,5016.6
09/12/2008 16,09/12/2008 20,0.22,90239.759,5018.6,1104.1,5018.6
09/12/2008 17,09/12/2008 21,0.22,90176.094,5015.3,1103.34,5015.3
