Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"September, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 11:59:09 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
09/14/2008 18,09/14/2008 22,0.75,99829.735,5602.8,4202.14,5602.8
09/14/2008 19,09/14/2008 23,0.25,97334.646,5746.3,1436.64,5746.3
09/14/2008 20,09/15/2008 00,0.25,97196.74,5746.4,1436.67,5746.4
09/14/2008 21,09/15/2008 01,0.25,96743.884,5744.4,1436.15,5744.4
09/14/2008 22,09/15/2008 02,0.19,91985.8,5753.9,1093.24,5753.9
09/14/2008 23,09/15/2008 03,0.15,85831.069,5754.6,863.28,5754.6
09/14/2008 24,09/15/2008 04,0.15,79319.547,5708.9,856.44,5708.9
09/15/2008 01,09/15/2008 05,0.15,74245.158,5267.9,790.23,5267.9
09/15/2008 02,09/15/2008 06,0.15,70861.145,5292.3,793.98,5292.3
09/15/2008 03,09/15/2008 07,0,68839.109,5238.5,0,5238.5
09/15/2008 04,09/15/2008 08,0,67634.531,5135,0,5135
09/15/2008 05,09/15/2008 09,0.15,67792.481,5183.5,777.66,5183.5
09/15/2008 06,09/15/2008 10,0.15,71114.308,5194.4,779.25,5194.4
09/15/2008 07,09/15/2008 11,0.15,77923.453,5338.5,800.85,5338.5
09/15/2008 08,09/15/2008 12,0.15,81991.948,5444.1,816.7,5444.1
09/15/2008 09,09/15/2008 13,0.15,85535.686,5469,820.45,5469
09/15/2008 10,09/15/2008 14,0.15,88954.344,5477,821.66,5477
09/15/2008 11,09/15/2008 15,0.15,92056.122,5480.6,822.22,5480.6
09/15/2008 12,09/15/2008 16,0.15,94228.005,5330.1,799.62,5330.1
09/15/2008 13,09/15/2008 17,0.15,95654.762,5334.6,800.28,5334.6
09/15/2008 14,09/15/2008 18,0.19,96682.313,5334.7,1013.59,5334.7
09/15/2008 15,09/15/2008 19,0.25,97108.707,5484.8,1371.27,5484.8
09/15/2008 16,09/15/2008 20,0.25,96924.606,5484.7,1371.26,5484.7
09/15/2008 17,09/15/2008 21,0.22,96425.833,5484.5,1206.59,5484.5
09/15/2008 18,09/15/2008 22,0.23,94814.494,5484.9,1261.56,5484.9
09/15/2008 19,09/15/2008 23,0.15,91833.145,5451.8,817.92,5451.8
09/15/2008 20,09/16/2008 00,0.15,91577.704,5457.1,818.7,5457.1
09/15/2008 21,09/16/2008 01,0.19,91563.319,5456.8,1036.78,5456.8
09/15/2008 22,09/16/2008 02,0.15,86703.816,5468.7,820.42,5468.7
09/15/2008 23,09/16/2008 03,0.15,79603.633,5460.5,819.15,5460.5
09/15/2008 24,09/16/2008 04,0.15,72196.139,5436,815.47,5436
09/16/2008 01,09/16/2008 05,0.15,66417.314,3993.8,599.08,3993.8
09/16/2008 02,09/16/2008 06,0.15,62584.645,3888,583.23,3888
09/16/2008 03,09/16/2008 07,0.15,60252.088,3836.5,575.49,3836.5
09/16/2008 04,09/16/2008 08,0,59220.989,3182.8,0,3182.8
09/16/2008 05,09/16/2008 09,0,59637.556,3222.5,0,3222.5
09/16/2008 06,09/16/2008 10,0.15,63284.664,3528.2,529.24,3528.2
09/16/2008 07,09/16/2008 11,0.15,70383.108,3512.8,526.94,3512.8
09/16/2008 08,09/16/2008 12,0.15,74616.87,3455.9,518.42,3455.9
09/16/2008 09,09/16/2008 13,0.15,76682.214,3551,532.68,3551
09/16/2008 10,09/16/2008 14,0.15,78577.028,3580.9,537.17,3580.9
09/16/2008 11,09/16/2008 15,0.15,80399.467,3567.3,535.12,3567.3
09/16/2008 12,09/16/2008 16,0.15,81779.257,3404.7,510.73,3404.7
09/16/2008 13,09/16/2008 17,0.15,82395.351,3385.4,507.82,3385.4
09/16/2008 14,09/16/2008 18,0.15,83194.881,3419.2,512.9,3419.2
09/16/2008 15,09/16/2008 19,0.15,83589.308,3484.9,522.75,3484.9
09/16/2008 16,09/16/2008 20,0.15,83554.771,3476.7,521.52,3476.7
09/16/2008 17,09/16/2008 21,0.15,83574.531,3460.7,519.12,3460.7
09/16/2008 18,09/16/2008 22,0.15,82768.689,3341.1,501.18,3341.1
09/16/2008 19,09/16/2008 23,0.15,81584.042,3151.1,472.68,3151.1
09/16/2008 20,09/17/2008 00,0.19,82598.012,3371.9,640.66,3371.9
09/16/2008 21,09/17/2008 01,0.15,83609.78,3470.2,520.56,3470.2
09/16/2008 22,09/17/2008 02,0.15,79815.841,3603.4,540.54,3603.4
09/16/2008 23,09/17/2008 03,0.15,73192.914,3459.5,518.95,3459.5
09/16/2008 24,09/17/2008 04,0.15,66742.19,3409.1,511.38,3409.1
09/17/2008 01,09/17/2008 05,0,61733.262,4431.9,0,4431.9
09/17/2008 02,09/17/2008 06,0,58837.045,4492.3,0,4492.3
09/17/2008 03,09/17/2008 07,0,57171.415,4366.4,0,4366.4
09/17/2008 04,09/17/2008 08,0,56243.056,4253.2,0,4253.2
09/17/2008 05,09/17/2008 09,0,57070.085,4343.1,0,4343.1
09/17/2008 06,09/17/2008 10,0,60824.791,4548.6,0,4548.6
09/17/2008 07,09/17/2008 11,0.15,68016.671,4914.3,737.24,4914.3
09/17/2008 08,09/17/2008 12,0.15,72146.347,4878.8,731.91,4878.8
09/17/2008 09,09/17/2008 13,0.15,74574.22,4795.2,719.35,4795.2
09/17/2008 10,09/17/2008 14,0.15,76933.878,4949.3,742.46,4949.3
09/17/2008 11,09/17/2008 15,0.15,79561.766,4809.9,721.59,4809.9
09/17/2008 12,09/17/2008 16,0.15,81177.927,4755.9,713.48,4755.9
09/17/2008 13,09/17/2008 17,0.15,82575.797,4861.1,729.25,4861.1
09/17/2008 14,09/17/2008 18,0.15,84234.663,4982.7,747.56,4982.7
09/17/2008 15,09/17/2008 19,0.19,85578.35,4983,946.76,4983
09/17/2008 16,09/17/2008 20,0.19,86012.492,4982.9,946.74,4982.9
09/17/2008 17,09/17/2008 21,0.19,86779.749,4983,946.76,4983
09/17/2008 18,09/17/2008 22,0.19,86473.529,4984.8,947.11,4984.8
09/17/2008 19,09/17/2008 23,0.15,84527.426,4808.9,721.46,4808.9
09/17/2008 20,09/18/2008 00,0.19,84815.985,4973.3,944.92,4973.3
09/17/2008 21,09/18/2008 01,0.22,85215.036,4757.5,1046.67,4757.5
09/17/2008 22,09/18/2008 02,0.15,80930.514,4936.9,740.6,4936.9
09/17/2008 23,09/18/2008 03,0.15,74320.257,4777.2,716.62,4777.2
09/17/2008 24,09/18/2008 04,0.15,67587.157,4528.9,679.4,4528.9
09/18/2008 01,09/18/2008 05,0,62593.246,4098.3,0,4098.3
09/18/2008 02,09/18/2008 06,0,59487.363,4282.3,0,4282.3
09/18/2008 03,09/18/2008 07,0,57701.597,4260.6,0,4260.6
09/18/2008 04,09/18/2008 08,0,56702.126,4207.3,0,4207.3
09/18/2008 05,09/18/2008 09,0,57269.994,4272.5,0,4272.5
09/18/2008 06,09/18/2008 10,0,60899.519,4366.2,0,4366.2
09/18/2008 07,09/18/2008 11,0.15,68448.65,4671.1,700.71,4671.1
09/18/2008 08,09/18/2008 12,0,72774.046,4577.4,0,4577.4
09/18/2008 09,09/18/2008 13,0,75643.049,4489.9,0,4489.9
09/18/2008 10,09/18/2008 14,0.15,78535.668,4816.8,722.6,4816.8
09/18/2008 11,09/18/2008 15,0.15,81312.875,4917.3,737.72,4917.3
09/18/2008 12,09/18/2008 16,0.15,83489.137,4833.3,725.06,4833.3
09/18/2008 13,09/18/2008 17,0.15,85186.548,4894.4,734.23,4894.4
09/18/2008 14,09/18/2008 18,0.15,86538.223,4881.4,732.3,4881.4
09/18/2008 15,09/18/2008 19,0.22,87253.991,5028,1106.17,5028
09/18/2008 16,09/18/2008 20,0.22,87645.385,5047.1,1110.37,5047.1
09/18/2008 17,09/18/2008 21,0.19,87876.318,5091.2,967.32,5091.2
09/18/2008 18,09/18/2008 22,0.19,86989.829,5079,965.01,5079
09/18/2008 19,09/18/2008 23,0.15,84557.384,4871.8,730.84,4871.8
09/18/2008 20,09/19/2008 00,0.2,84665.784,4903.6,980.72,4903.6
09/18/2008 21,09/19/2008 01,0.19,85343.67,4846.4,920.83,4846.4
09/18/2008 22,09/19/2008 02,0.15,81143.433,4883.6,732.6,4883.6
09/18/2008 23,09/19/2008 03,0.15,74394.454,4461.8,669.35,4461.8
09/18/2008 24,09/19/2008 04,0,67536.902,4387.8,0,4387.8
09/19/2008 01,09/19/2008 05,0,62207.367,4408.3,0,4408.3
09/19/2008 02,09/19/2008 06,0,59376.642,4386.3,0,4386.3
09/19/2008 03,09/19/2008 07,0,57555.747,4412,0,4412
09/19/2008 04,09/19/2008 08,0,56701.489,4410.6,0,4410.6
09/19/2008 05,09/19/2008 09,0,57108.671,4441.8,0,4441.8
09/19/2008 06,09/19/2008 10,0,60593.642,4439.8,0,4439.8
09/19/2008 07,09/19/2008 11,0.15,67772.438,4890.5,733.61,4890.5
09/19/2008 08,09/19/2008 12,0.15,71960.173,4898.9,734.88,4898.9
09/19/2008 09,09/19/2008 13,0.15,74359.415,4842.9,726.47,4842.9
09/19/2008 10,09/19/2008 14,0.15,76602.959,4856.5,728.52,4856.5
09/19/2008 11,09/19/2008 15,0.15,78864.036,4849.6,727.49,4849.6
09/19/2008 12,09/19/2008 16,0.15,80392.926,4737.5,710.67,4737.5
09/19/2008 13,09/19/2008 17,0.15,81242.947,4718.5,707.84,4718.5
09/19/2008 14,09/19/2008 18,0.15,82246.835,4723.7,708.62,4723.7
09/19/2008 15,09/19/2008 19,0.22,82605.502,4477.6,985.08,4477.6
09/19/2008 16,09/19/2008 20,0.15,82481.09,4605.5,690.89,4605.5
09/19/2008 17,09/19/2008 21,0.22,82143.453,4531.6,996.96,4531.6
09/19/2008 18,09/19/2008 22,0.15,81169.25,4582.2,687.39,4582.2
09/19/2008 19,09/19/2008 23,0.15,78929.536,4783.9,717.65,4783.9
09/19/2008 20,09/20/2008 00,0.15,79158.324,4732.8,709.98,4732.8
09/19/2008 21,09/20/2008 01,0.15,79211.392,4624.6,693.74,4624.6
09/19/2008 22,09/20/2008 02,0.15,76015.44,4875.7,731.4,4875.7
09/19/2008 23,09/20/2008 03,0,71133.974,4599,0,4599
09/19/2008 24,09/20/2008 04,0,65512.712,4636.1,0,4636.1
09/20/2008 01,09/20/2008 05,0,60669.5,4275.5,0,4275.5
09/20/2008 02,09/20/2008 06,0,57627.697,4226.7,0,4226.7
09/20/2008 03,09/20/2008 07,0,55637.125,4229.1,0,4229.1
09/20/2008 04,09/20/2008 08,0,54408.826,4284.2,0,4284.2
09/20/2008 05,09/20/2008 09,0,54259.409,4283.2,0,4283.2
09/20/2008 06,09/20/2008 10,0,55135.323,4272.7,0,4272.7
09/20/2008 07,09/20/2008 11,0,57380.906,4246.6,0,4246.6
09/20/2008 08,09/20/2008 12,0,59735.405,4240.7,0,4240.7
09/20/2008 09,09/20/2008 13,0.15,63607.497,4570.3,685.63,4570.3
09/20/2008 10,09/20/2008 14,0.15,67414.087,4619.9,693.05,4619.9
09/20/2008 11,09/20/2008 15,0.15,70023.641,4631.6,694.78,4631.6
09/20/2008 12,09/20/2008 16,0.15,71513.781,4631.4,694.75,4631.4
09/20/2008 13,09/20/2008 17,0.15,72453.558,4631.1,694.7,4631.1
09/20/2008 14,09/20/2008 18,0.15,73046.984,4631.5,694.8,4631.5
09/20/2008 15,09/20/2008 19,0.19,73361.89,4631,879.91,4631
09/20/2008 16,09/20/2008 20,0.15,74042.023,4631.1,694.72,4631.1
09/20/2008 17,09/20/2008 21,0.19,74385.914,4631.1,879.92,4631.1
09/20/2008 18,09/20/2008 22,0.19,74352.548,4630.9,879.88,4630.9
09/20/2008 19,09/20/2008 23,0.15,73226.856,4514.4,677.21,4514.4
09/20/2008 20,09/21/2008 00,0.15,74648.471,4630.9,694.74,4630.9
09/20/2008 21,09/21/2008 01,0.15,75200.578,4631.5,694.8,4631.5
09/20/2008 22,09/21/2008 02,0.15,72283.905,4599.6,690.05,4599.6
09/20/2008 23,09/21/2008 03,0.15,68065.52,4585.8,687.97,4585.8
09/20/2008 24,09/21/2008 04,0,63065.314,4082.6,0,4082.6
09/21/2008 01,09/21/2008 05,0,58782.511,4169.9,0,4169.9
09/21/2008 02,09/21/2008 06,0,55821.627,4172.1,0,4172.1
09/21/2008 03,09/21/2008 07,0,53952.03,4172.1,0,4172.1
09/21/2008 04,09/21/2008 08,0,52776.758,4126.5,0,4126.5
09/21/2008 05,09/21/2008 09,0,52401.238,4127.1,0,4127.1
09/21/2008 06,09/21/2008 10,0,52766.188,4164.4,0,4164.4
09/21/2008 07,09/21/2008 11,0,54050.438,4166.6,0,4166.6
09/21/2008 08,09/21/2008 12,0,55537.305,4136.3,0,4136.3
09/21/2008 09,09/21/2008 13,0,59318.571,4114.5,0,4114.5
09/21/2008 10,09/21/2008 14,0.15,63200.369,4397.3,659.66,4397.3
09/21/2008 11,09/21/2008 15,0.15,66164.75,4563.6,684.63,4563.6
09/21/2008 12,09/21/2008 16,0.15,68651.805,4524,678.68,4524
09/21/2008 13,09/21/2008 17,0.15,70974.457,4590.1,688.64,4590.1
09/21/2008 14,09/21/2008 18,0.15,72787.933,4496.5,674.56,4496.5
09/21/2008 15,09/21/2008 19,0.15,74588.642,4609,691.48,4609
09/21/2008 16,09/21/2008 20,0.19,76137.767,4609.3,875.78,4609.3
09/21/2008 17,09/21/2008 21,0.19,77758.972,4611.2,876.14,4611.2
09/21/2008 18,09/21/2008 22,0.19,78411.084,4611.3,876.15,4611.3
09/21/2008 19,09/21/2008 23,0.15,77787.273,4498.8,674.93,4498.8
09/21/2008 20,09/22/2008 00,0.19,79374.44,4611.2,876.14,4611.2
09/21/2008 21,09/22/2008 01,0.22,80128.054,4434.9,975.69,4434.9
09/21/2008 22,09/22/2008 02,0.15,76382.352,4607.4,691.19,4607.4
09/21/2008 23,09/22/2008 03,0.15,70832.543,4492.2,673.92,4492.2
09/21/2008 24,09/22/2008 04,0,65237.561,4072.9,0,4072.9
09/22/2008 01,09/22/2008 05,0,60949.42,4481.4,0,4481.4
09/22/2008 02,09/22/2008 06,0,58191.352,4475.2,0,4475.2
09/22/2008 03,09/22/2008 07,0,56825.937,4413.4,0,4413.4
09/22/2008 04,09/22/2008 08,0,56242.042,4391,0,4391
09/22/2008 05,09/22/2008 09,0,57077.095,4474.3,0,4474.3
09/22/2008 06,09/22/2008 10,0,61082.83,4588,0,4588
09/22/2008 07,09/22/2008 11,0.15,68776.676,4996.3,749.53,4996.3
09/22/2008 08,09/22/2008 12,0.15,73620.177,5094.4,764.26,5094.4
09/22/2008 09,09/22/2008 13,0.15,76086.87,5158.5,773.87,5158.5
09/22/2008 10,09/22/2008 14,0.15,79065.024,5227.2,784.2,5227.2
09/22/2008 11,09/22/2008 15,0.15,81951.011,5061.3,759.31,5061.3
09/22/2008 12,09/22/2008 16,0.15,84118.579,5091.2,763.76,5091.2
09/22/2008 13,09/22/2008 17,0.15,86085.181,5202.4,780.46,5202.4
09/22/2008 14,09/22/2008 18,0.25,87858.025,5173.3,1293.38,5173.3
09/22/2008 15,09/22/2008 19,0.25,89149.262,4910.6,1227.71,4910.6
09/22/2008 16,09/22/2008 20,0.25,89594.098,4953.8,1238.51,4953.8
09/22/2008 17,09/22/2008 21,0.25,89840.644,4932.8,1233.25,4932.8
09/22/2008 18,09/22/2008 22,0.25,89110.984,5117,1279.29,5117
09/22/2008 19,09/22/2008 23,0.15,87412.474,5089.8,763.52,5089.8
09/22/2008 20,09/23/2008 00,0.25,88512.042,5146.6,1286.72,5146.6
09/22/2008 21,09/23/2008 01,0.22,87998.482,5254.7,1155.99,5254.7
09/22/2008 22,09/23/2008 02,0.15,83170.465,5009.8,751.56,5009.8
09/22/2008 23,09/23/2008 03,0.15,76186.507,5100.1,765.09,5100.1
09/22/2008 24,09/23/2008 04,0.15,69420.043,4629.7,694.54,4629.7
09/23/2008 01,09/23/2008 05,0,64019.02,5110.6,0,5110.6
09/23/2008 02,09/23/2008 06,0,60725.767,5206.7,0,5206.7
09/23/2008 03,09/23/2008 07,0,58916.058,5206.2,0,5206.2
09/23/2008 04,09/23/2008 08,0,57885.587,5132.9,0,5132.9
09/23/2008 05,09/23/2008 09,0,58507.363,5206.9,0,5206.9
09/23/2008 06,09/23/2008 10,0.14,62056.364,5267.4,737.45,5267.4
09/23/2008 07,09/23/2008 11,0.15,69801.503,5158.2,773.82,5158.2
09/23/2008 08,09/23/2008 12,0.15,74229.59,5181,777.27,5181
09/23/2008 09,09/23/2008 13,0.15,76237.387,5170,775.61,5170
09/23/2008 10,09/23/2008 14,0.15,78604.061,5152.3,772.93,5152.3
09/23/2008 11,09/23/2008 15,0.15,80759.923,5096.6,764.57,5096.6
09/23/2008 12,09/23/2008 16,0.15,82743.306,5042.4,756.46,5042.4
09/23/2008 13,09/23/2008 17,0.19,84154.914,5283.7,1003.91,5283.7
09/23/2008 14,09/23/2008 18,0.19,85730.571,5249.5,997.41,5249.5
09/23/2008 15,09/23/2008 19,0.25,86771.348,5259.5,1314.96,5259.5
09/23/2008 16,09/23/2008 20,0.26,87439.817,5248.8,1364.68,5248.8
09/23/2008 17,09/23/2008 21,0.42,87957.827,5150.4,2163.19,5150.4
09/23/2008 18,09/23/2008 22,0.15,86936.012,5277.4,791.71,5277.4
09/23/2008 19,09/23/2008 23,0.15,85004.246,5002,750.4,5002
09/23/2008 20,09/24/2008 00,0.22,85932.968,5241.1,1153.05,5241.1
09/23/2008 21,09/24/2008 01,0.19,85698.237,5287.6,1004.65,5287.6
09/23/2008 22,09/24/2008 02,0.15,80874.241,5303.2,795.6,5303.2
09/23/2008 23,09/24/2008 03,0.15,73925.722,5260.6,789.25,5260.6
09/23/2008 24,09/24/2008 04,0.15,67206.745,5238.6,785.91,5238.6
09/24/2008 01,09/24/2008 05,0.15,62186.055,5207.4,781.18,5207.4
09/24/2008 02,09/24/2008 06,0.15,59254.631,5208.1,781.29,5208.1
09/24/2008 03,09/24/2008 07,0.15,57458.701,5207.6,781.25,5207.6
09/24/2008 04,09/24/2008 08,0.15,56614.343,5204.9,780.83,5204.9
09/24/2008 05,09/24/2008 09,0.15,57223.535,5204.2,780.73,5204.2
09/24/2008 06,09/24/2008 10,0.15,61077.324,5187.5,778.21,5187.5
09/24/2008 07,09/24/2008 11,0.15,68554.596,5098,764.79,5098
09/24/2008 08,09/24/2008 12,0.15,72931.542,5164.6,774.78,5164.6
09/24/2008 09,09/24/2008 13,0.15,74943.402,5173,776.01,5173
09/24/2008 10,09/24/2008 14,0.15,77134.178,5099,764.94,5099
09/24/2008 11,09/24/2008 15,0.15,79433.181,5135.2,770.39,5135.2
09/24/2008 12,09/24/2008 16,0.15,81079.847,5148.3,772.32,5148.3
09/24/2008 13,09/24/2008 17,0.15,82236.854,5127.5,769.24,5127.5
09/24/2008 14,09/24/2008 18,0.15,83499.677,5162.7,774.5,5162.7
09/24/2008 15,09/24/2008 19,0.25,84418.695,5166.7,1291.73,5166.7
09/24/2008 16,09/24/2008 20,0.25,84684.049,5163.7,1291.01,5163.7
09/24/2008 17,09/24/2008 21,0.25,84938.999,5176.6,1294.2,5176.6
09/24/2008 18,09/24/2008 22,0.15,84276.108,5187.7,778.23,5187.7
09/24/2008 19,09/24/2008 23,0.15,82927.455,5156.1,773.47,5156.1
09/24/2008 20,09/25/2008 00,0.15,84898.812,5176.8,776.59,5176.8
09/24/2008 21,09/25/2008 01,0.19,84793.584,5190.8,986.25,5190.8
09/24/2008 22,09/25/2008 02,0.15,80402.356,5149.1,772.43,5149.1
09/24/2008 23,09/25/2008 03,0.15,73749.249,5201.4,780.26,5201.4
09/24/2008 24,09/25/2008 04,0.15,67338.071,5180.7,777.19,5180.7
09/25/2008 01,09/25/2008 05,0,62272.013,5030.4,0,5030.4
09/25/2008 02,09/25/2008 06,0,59378.624,5030.7,0,5030.7
09/25/2008 03,09/25/2008 07,0,57461.61,5032.3,0,5032.3
09/25/2008 04,09/25/2008 08,0,56910.572,5033.7,0,5033.7
09/25/2008 05,09/25/2008 09,0,57492.71,5030.7,0,5030.7
09/25/2008 06,09/25/2008 10,0.15,61182.786,5027.7,754.24,5027.7
09/25/2008 07,09/25/2008 11,0.15,69052.135,5028,754.31,5028
09/25/2008 08,09/25/2008 12,0.15,73732.783,5028.6,754.42,5028.6
09/25/2008 09,09/25/2008 13,0.15,75485.597,5028.5,754.37,5028.5
09/25/2008 10,09/25/2008 14,0.15,77611.159,5028.2,754.3,5028.2
09/25/2008 11,09/25/2008 15,0.15,79288.77,5027.5,754.22,5027.5
09/25/2008 12,09/25/2008 16,0.15,80546.541,5028.1,754.29,5028.1
09/25/2008 13,09/25/2008 17,0.15,81503.292,4762,714.44,4762
09/25/2008 14,09/25/2008 18,0.19,81994.006,4762,904.8,4762
09/25/2008 15,09/25/2008 19,0.19,82199.044,4762.1,904.82,4762.1
09/25/2008 16,09/25/2008 20,0.19,82227.246,4760.1,904.44,4760.1
09/25/2008 17,09/25/2008 21,0.19,82471.856,4747.3,902,4747.3
09/25/2008 18,09/25/2008 22,0.15,82365.438,4747.7,712.25,4747.7
09/25/2008 19,09/25/2008 23,0.15,82114.92,4747.3,712.2,4747.3
09/25/2008 20,09/26/2008 00,0.19,83255.733,5013.1,952.49,5013.1
09/25/2008 21,09/26/2008 01,0.19,82892.307,5013.3,952.53,5013.3
09/25/2008 22,09/26/2008 02,0.15,78659.879,4746.6,712.09,4746.6
09/25/2008 23,09/26/2008 03,0.15,72608.549,4733.6,710.16,4733.6
09/25/2008 24,09/26/2008 04,0,66562.794,5001.3,0,5001.3
09/26/2008 01,09/26/2008 05,0.15,61790.677,4936.8,740.62,4936.8
09/26/2008 02,09/26/2008 06,0.15,58972.288,4943.6,741.63,4943.6
09/26/2008 03,09/26/2008 07,0.15,57445.686,4946,742,4946
09/26/2008 04,09/26/2008 08,0.15,56672.578,4910.3,736.65,4910.3
09/26/2008 05,09/26/2008 09,0.15,57273.068,4957.2,743.69,4957.2
09/26/2008 06,09/26/2008 10,0.15,60734.732,4953.2,743.09,4953.2
09/26/2008 07,09/26/2008 11,0.15,68406.983,4908.6,736.39,4908.6
09/26/2008 08,09/26/2008 12,0.15,73873.498,4869.2,730.5,4869.2
09/26/2008 09,09/26/2008 13,0.15,75926.147,4899.4,735,4899.4
09/26/2008 10,09/26/2008 14,0.15,77800.072,4949.7,742.56,4949.7
09/26/2008 11,09/26/2008 15,0.15,79776.939,4971.9,745.87,4971.9
09/26/2008 12,09/26/2008 16,0.15,80862.798,4972.4,746,4972.4
09/26/2008 13,09/26/2008 17,0.19,81337.876,4972,944.69,4972
09/26/2008 14,09/26/2008 18,0.19,81927.882,4976,945.45,4976
09/26/2008 15,09/26/2008 19,0.19,82102.865,4976,945.45,4976
09/26/2008 16,09/26/2008 20,0.19,81755.815,4976,945.44,4976
09/26/2008 17,09/26/2008 21,0.19,81711.312,4976,945.45,4976
09/26/2008 18,09/26/2008 22,0.15,81057.277,4976.4,746.52,4976.4
09/26/2008 19,09/26/2008 23,0.15,80455.946,4976,746.5,4976
09/26/2008 20,09/27/2008 00,0.15,81008.809,4975.5,746.36,4975.5
09/26/2008 21,09/27/2008 01,0.15,80170.568,4975.7,746.42,4975.7
09/26/2008 22,09/27/2008 02,0.15,76665.095,4976.6,746.56,4976.6
09/26/2008 23,09/27/2008 03,0.15,72203.19,4975.8,746.52,4975.8
09/26/2008 24,09/27/2008 04,0.15,66995.067,4976.1,746.51,4976.1
09/27/2008 01,09/27/2008 05,0.15,62008.312,4511.5,676.84,4511.5
09/27/2008 02,09/27/2008 06,0.15,58903.586,4524.1,678.76,4524.1
09/27/2008 03,09/27/2008 07,0.15,56853.399,4526.5,679.07,4526.5
09/27/2008 04,09/27/2008 08,0.15,55856.435,4471.6,670.79,4471.6
09/27/2008 05,09/27/2008 09,0.15,55567.991,4467.6,670.23,4467.6
09/27/2008 06,09/27/2008 10,0.15,56648.695,4462.9,669.49,4462.9
09/27/2008 07,09/27/2008 11,0.15,59062.125,4441.8,666.38,4441.8
09/27/2008 08,09/27/2008 12,0.15,61947.829,4417.4,662.65,4417.4
09/27/2008 09,09/27/2008 13,0.15,66207.42,4357.3,653.64,4357.3
09/27/2008 10,09/27/2008 14,0.15,70540.991,4332.8,650,4332.8
09/27/2008 11,09/27/2008 15,0.15,73741.743,4457.6,668.68,4457.6
09/27/2008 12,09/27/2008 16,0.15,75402.361,4508.8,676.4,4508.8
09/27/2008 13,09/27/2008 17,0.15,76264.003,4510.9,676.68,4510.9
09/27/2008 14,09/27/2008 18,0.15,76554.84,4424,663.67,4424
09/27/2008 15,09/27/2008 19,0.15,76681.97,4408.3,661.28,4408.3
09/27/2008 16,09/27/2008 20,0.15,76764.114,4525.8,678.97,4525.8
09/27/2008 17,09/27/2008 21,0.15,77103.841,4545.8,681.93,4545.8
09/27/2008 18,09/27/2008 22,0.15,76864.067,4498.701,674.88,4498.701
09/27/2008 19,09/27/2008 23,0.15,76889.544,4494.7,674.26,4494.7
09/27/2008 20,09/28/2008 00,0.19,78588.17,4503.6,855.69,4503.6
09/27/2008 21,09/28/2008 01,0.15,78316.598,4489.7,673.5,4489.7
09/27/2008 22,09/28/2008 02,0.15,75508.104,4455.8,668.47,4455.8
09/27/2008 23,09/28/2008 03,0.15,71315.325,4421.6,663.33,4421.6
09/27/2008 24,09/28/2008 04,0.15,66569.461,4475.9,671.45,4475.9
09/28/2008 01,09/28/2008 05,0.14,62051.439,4477.4,626.84,4477.4
09/28/2008 02,09/28/2008 06,0.14,58801.332,4477.4,626.84,4477.4
09/28/2008 03,09/28/2008 07,0.14,56704.272,4477.4,626.84,4477.4
09/28/2008 04,09/28/2008 08,0.14,55453.77,4477.4,626.84,4477.4
09/28/2008 05,09/28/2008 09,0.14,55196.239,4477.4,626.84,4477.4
09/28/2008 06,09/28/2008 10,0.14,55353.158,4468.3,625.57,4468.3
09/28/2008 07,09/28/2008 11,0.14,56836.375,4468.3,625.57,4468.3
09/28/2008 08,09/28/2008 12,0.15,58982.637,4462.3,669.42,4462.3
09/28/2008 09,09/28/2008 13,0.15,62494.802,4435.6,665.41,4435.6
09/28/2008 10,09/28/2008 14,0.15,66604.443,4409.1,661.43,4409.1
09/28/2008 11,09/28/2008 15,0.15,69687.135,4396.4,659.57,4396.4
09/28/2008 12,09/28/2008 16,0.15,71745.753,4409.9,661.57,4409.9
09/28/2008 13,09/28/2008 17,0.15,73584.094,4436.4,665.56,4436.4
09/28/2008 14,09/28/2008 18,0.15,74518.641,4343.4,651.58,4343.4
09/28/2008 15,09/28/2008 19,0.15,74761.849,4402.4,660.46,4402.4
09/28/2008 16,09/28/2008 20,0.15,75429.818,4443.6,666.62,4443.6
09/28/2008 17,09/28/2008 21,0.15,76041.285,4402.6,660.48,4402.6
09/28/2008 18,09/28/2008 22,0.15,76596.147,4530.2,679.6,4530.2
09/28/2008 19,09/28/2008 23,0.15,76537.102,4519,677.89,4519
09/28/2008 20,09/29/2008 00,0.22,79147.82,4592.4,1010.29,4592.4
09/28/2008 21,09/29/2008 01,0.22,79423.37,4600.1,1012.09,4600.1
09/28/2008 22,09/29/2008 02,0.15,75474.634,4485.9,672.97,4485.9
09/28/2008 23,09/29/2008 03,0.15,70588.52,4435.1,665.37,4435.1
09/28/2008 24,09/29/2008 04,0.14,65174.764,4438.3,621.36,4438.3
09/29/2008 01,09/29/2008 05,0,60913.232,5077.2,0,5077.2
09/29/2008 02,09/29/2008 06,0,58231.431,5076.9,0,5076.9
09/29/2008 03,09/29/2008 07,0,56795.852,5178.9,0,5178.9
