Preliminary Day-ahead Scheduling Reserve Summary
Month:,"September, 2012" ,Report Creation Timestamp (EPT):, 03/26/2013 10:44:38 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
09/01/2012 01,09/01/2012 05,.000,89925.163000,6112.200,.00,6112.200
09/01/2012 02,09/01/2012 06,.000,84058.770000,6113.800,.00,6113.800
09/01/2012 03,09/01/2012 07,.000,80133.910000,6061.100,.00,6061.100
09/01/2012 04,09/01/2012 08,.000,77371.335000,6197.400,.00,6197.400
09/01/2012 05,09/01/2012 09,.000,75966.274000,5995.100,.00,5995.100
09/01/2012 06,09/01/2012 10,.000,76084.679000,5990.100,.00,5990.100
09/01/2012 07,09/01/2012 11,.000,77593.329000,6028.800,.00,6028.800
09/01/2012 08,09/01/2012 12,.000,79841.561000,6065.000,.00,6065.000
09/01/2012 09,09/01/2012 13,.000,85728.392000,5915.700,.00,5915.700
09/01/2012 10,09/01/2012 14,.000,92712.519000,5788.000,.00,5788.000
09/01/2012 11,09/01/2012 15,.010,99149.631000,5877.098,58.81,5877.098
09/01/2012 12,09/01/2012 16,.020,104239.285000,5919.700,118.35,5919.700
09/01/2012 13,09/01/2012 17,.050,108276.321000,5811.501,290.73,5811.501
09/01/2012 14,09/01/2012 18,.100,111121.493000,5861.900,586.19,5861.900
09/01/2012 15,09/01/2012 19,.110,113140.768000,5892.300,648.19,5892.300
09/01/2012 16,09/01/2012 20,.250,113855.004000,5731.000,1432.91,5731.000
09/01/2012 17,09/01/2012 21,.400,113629.734000,5698.000,2279.20,5698.000
09/01/2012 18,09/01/2012 22,.250,111720.897000,5780.900,1445.36,5780.900
09/01/2012 19,09/01/2012 23,.020,108576.721000,5687.900,113.72,5687.900
09/01/2012 20,09/02/2012 00,.020,106095.662000,5773.000,115.43,5773.000
09/01/2012 21,09/02/2012 01,.020,105590.277000,5726.500,114.47,5726.500
09/01/2012 22,09/02/2012 02,.000,101837.090000,5709.100,.00,5709.100
09/01/2012 23,09/02/2012 03,.000,95885.254000,5809.700,.00,5809.700
09/01/2012 24,09/02/2012 04,.000,89176.927000,6022.100,.00,6022.100
09/02/2012 01,09/02/2012 05,.000,82984.738000,5450.900,.00,5450.900
09/02/2012 02,09/02/2012 06,.000,78338.126000,5631.000,.00,5631.000
09/02/2012 03,09/02/2012 07,.000,75204.549000,5767.400,.00,5767.400
09/02/2012 04,09/02/2012 08,.000,72966.175000,5941.400,.00,5941.400
09/02/2012 05,09/02/2012 09,.000,71943.504000,5723.000,.00,5723.000
09/02/2012 06,09/02/2012 10,.000,71985.197000,5753.000,.00,5753.000
09/02/2012 07,09/02/2012 11,.000,72948.304000,5753.000,.00,5753.000
09/02/2012 08,09/02/2012 12,.000,74612.409000,5774.200,.00,5774.200
09/02/2012 09,09/02/2012 13,.000,79493.643000,5843.400,.00,5843.400
09/02/2012 10,09/02/2012 14,.000,85586.112000,5914.600,.00,5914.600
09/02/2012 11,09/02/2012 15,.000,90787.448000,5720.700,.00,5720.700
09/02/2012 12,09/02/2012 16,.000,95031.637000,5393.900,.00,5393.900
09/02/2012 13,09/02/2012 17,.000,98244.512000,5382.000,.00,5382.000
09/02/2012 14,09/02/2012 18,.020,100412.941000,5343.800,106.87,5343.800
09/02/2012 15,09/02/2012 19,.040,101651.421000,5514.100,220.63,5514.100
09/02/2012 16,09/02/2012 20,.050,102509.772000,5462.700,273.33,5462.700
09/02/2012 17,09/02/2012 21,.050,103178.660000,5489.900,274.56,5489.900
09/02/2012 18,09/02/2012 22,.040,103290.627000,5328.700,213.17,5328.700
09/02/2012 19,09/02/2012 23,.020,101655.010000,5333.000,106.66,5333.000
09/02/2012 20,09/03/2012 00,.020,100296.989000,5360.500,107.20,5360.500
09/02/2012 21,09/03/2012 01,.020,99976.846000,5344.900,106.90,5344.900
09/02/2012 22,09/03/2012 02,.000,97113.559000,5415.000,.00,5415.000
09/02/2012 23,09/03/2012 03,.000,91882.647000,5495.000,.00,5495.000
