Preliminary Day-ahead Scheduling Reserve Summary
Month:,"October, 2009" ,Report Creation Timestamp (EPT):, 07/02/2012 10:45:07 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
10/01/2009 01,10/01/2009 05,.000,57525.681000,5045.500,.00,5045.500
10/01/2009 02,10/01/2009 06,.000,55250.830000,5051.000,.00,5051.000
10/01/2009 03,10/01/2009 07,.000,54157.763000,5061.500,.00,5061.500
10/01/2009 04,10/01/2009 08,.000,53718.474000,5061.500,.00,5061.500
10/01/2009 05,10/01/2009 09,.000,54722.891000,5061.500,.00,5061.500
10/01/2009 06,10/01/2009 10,.000,58595.029000,5047.100,.00,5047.100
10/01/2009 07,10/01/2009 11,.030,66621.282000,4997.301,149.92,4997.301
10/01/2009 08,10/01/2009 12,.040,71307.016000,5004.400,200.15,5004.400
10/01/2009 09,10/01/2009 13,.040,72401.173000,5021.000,200.81,5021.000
10/01/2009 10,10/01/2009 14,.040,73071.398000,5021.000,200.82,5021.000
10/01/2009 11,10/01/2009 15,.050,73670.748000,5021.200,251.22,5021.200
10/01/2009 12,10/01/2009 16,.040,73789.015000,5021.200,200.81,5021.200
10/01/2009 13,10/01/2009 17,.040,73741.195000,5025.200,200.97,5025.200
10/01/2009 14,10/01/2009 18,.040,73549.598000,5025.100,201.03,5025.100
10/01/2009 15,10/01/2009 19,.040,73221.698000,5025.000,200.99,5025.000
10/01/2009 16,10/01/2009 20,.040,72611.992000,5021.500,200.90,5021.500
10/01/2009 17,10/01/2009 21,.040,72490.684000,5020.700,200.80,5020.700
10/01/2009 18,10/01/2009 22,.040,72522.632000,5020.800,200.82,5020.800
10/01/2009 19,10/01/2009 23,.040,73386.935000,5021.300,200.90,5021.300
10/01/2009 20,10/02/2009 00,.050,76849.211000,5021.300,251.18,5021.300
10/01/2009 21,10/02/2009 01,.040,76410.874000,5021.200,200.79,5021.200
10/01/2009 22,10/02/2009 02,.040,72962.876000,5021.300,200.81,5021.300
10/01/2009 23,10/02/2009 03,.000,67743.217000,5014.900,.00,5014.900
10/01/2009 24,10/02/2009 04,.000,62339.945000,5027.800,.00,5027.800
10/02/2009 01,10/02/2009 05,.000,58170.118000,4955.600,.00,4955.600
10/02/2009 02,10/02/2009 06,.000,55693.835000,4961.800,.00,4961.800
10/02/2009 03,10/02/2009 07,.000,54446.473000,4961.800,.00,4961.800
10/02/2009 04,10/02/2009 08,.000,54009.005000,4961.800,.00,4961.800
10/02/2009 05,10/02/2009 09,.000,54673.703000,4952.900,.00,4952.900
10/02/2009 06,10/02/2009 10,.000,57979.992000,4954.800,.00,4954.800
10/02/2009 07,10/02/2009 11,.000,65832.866000,4921.500,.00,4921.500
10/02/2009 08,10/02/2009 12,.030,70709.660000,4890.400,146.73,4890.400
10/02/2009 09,10/02/2009 13,.030,72111.365000,4919.500,147.61,4919.500
10/02/2009 10,10/02/2009 14,.040,73205.339000,4921.300,196.82,4921.300
10/02/2009 11,10/02/2009 15,.040,74163.068000,4921.400,196.82,4921.400
10/02/2009 12,10/02/2009 16,.040,74513.992000,4921.800,196.90,4921.800
10/02/2009 13,10/02/2009 17,.040,74440.222000,4921.700,196.84,4921.700
10/02/2009 14,10/02/2009 18,.040,74400.049000,4921.700,196.92,4921.700
10/02/2009 15,10/02/2009 19,.040,73773.744000,4921.600,196.87,4921.600
10/02/2009 16,10/02/2009 20,.040,73029.574000,4921.500,196.82,4921.500
10/02/2009 17,10/02/2009 21,.040,72631.203000,4921.400,196.86,4921.400
10/02/2009 18,10/02/2009 22,.040,72516.993000,4867.401,194.70,4867.401
10/02/2009 19,10/02/2009 23,.030,72754.020000,4867.102,146.02,4867.102
10/02/2009 20,10/03/2009 00,.040,74584.411000,4921.100,196.84,4921.100
10/02/2009 21,10/03/2009 01,.040,73589.958000,4876.400,195.08,4876.400
10/02/2009 22,10/03/2009 02,.030,70679.386000,4807.601,144.25,4807.601
10/02/2009 23,10/03/2009 03,.010,66613.995000,4852.401,48.55,4852.401
10/02/2009 24,10/03/2009 04,.000,61607.539000,4945.100,.00,4945.100
10/03/2009 01,10/03/2009 05,.000,57554.788000,4473.500,.00,4473.500
10/03/2009 02,10/03/2009 06,.000,54730.674000,4459.900,.00,4459.900
10/03/2009 03,10/03/2009 07,.000,53132.079000,4452.500,.00,4452.500
10/03/2009 04,10/03/2009 08,.000,52211.864000,4462.900,.00,4462.900
10/03/2009 05,10/03/2009 09,.000,52331.860000,4449.800,.00,4449.800
10/03/2009 06,10/03/2009 10,.000,53319.530000,4444.500,.00,4444.500
10/03/2009 07,10/03/2009 11,.000,55808.763000,4539.100,.00,4539.100
10/03/2009 08,10/03/2009 12,.000,58706.316000,4436.300,.00,4436.300
10/03/2009 09,10/03/2009 13,.010,62068.932000,4426.701,44.29,4426.701
10/03/2009 10,10/03/2009 14,.040,65099.537000,4468.500,178.74,4468.500
10/03/2009 11,10/03/2009 15,.040,67041.089000,4548.700,181.98,4548.700
10/03/2009 12,10/03/2009 16,.040,67944.605000,4549.300,182.01,4549.300
10/03/2009 13,10/03/2009 17,.040,68193.933000,4549.200,181.94,4549.200
10/03/2009 14,10/03/2009 18,.040,67947.188000,4535.400,181.41,4535.400
10/03/2009 15,10/03/2009 19,.030,67673.268000,4534.800,136.05,4534.800
10/03/2009 16,10/03/2009 20,.030,67317.891000,4548.900,136.48,4548.900
10/03/2009 17,10/03/2009 21,.040,67440.341000,4548.500,181.89,4548.500
10/03/2009 18,10/03/2009 22,.040,67464.857000,4548.700,181.96,4548.700
10/03/2009 19,10/03/2009 23,.040,67871.509000,4478.400,179.12,4478.400
10/03/2009 20,10/04/2009 00,.050,70418.440000,4349.100,217.53,4349.100
10/03/2009 21,10/04/2009 01,.050,69931.338000,4549.100,227.58,4549.100
10/03/2009 22,10/04/2009 02,.040,67369.919000,4549.200,181.91,4549.200
10/03/2009 23,10/04/2009 03,.000,63698.834000,4551.900,.00,4551.900
10/03/2009 24,10/04/2009 04,.000,59544.656000,4571.800,.00,4571.800
10/04/2009 01,10/04/2009 05,.000,55569.256000,4643.200,.00,4643.200
10/04/2009 02,10/04/2009 06,.000,52840.918000,4627.400,.00,4627.400
10/04/2009 03,10/04/2009 07,.000,51099.094000,4657.000,.00,4657.000
10/04/2009 04,10/04/2009 08,.000,50199.888000,4626.900,.00,4626.900
10/04/2009 05,10/04/2009 09,.000,49848.030000,4627.400,.00,4627.400
10/04/2009 06,10/04/2009 10,.000,50714.842000,4657.100,.00,4657.100
10/04/2009 07,10/04/2009 11,.000,52168.085000,4517.300,.00,4517.300
10/04/2009 08,10/04/2009 12,.000,54151.156000,4646.600,.00,4646.600
10/04/2009 09,10/04/2009 13,.000,57368.705000,4632.800,.00,4632.800
10/04/2009 10,10/04/2009 14,.000,60439.671000,4446.700,.00,4446.700
10/04/2009 11,10/04/2009 15,.000,62262.463000,4367.699,.00,4367.699
10/04/2009 12,10/04/2009 16,.000,63389.814000,4469.901,.00,4469.901
10/04/2009 13,10/04/2009 17,.000,64112.518000,4466.700,.00,4466.700
10/04/2009 14,10/04/2009 18,.000,64200.725000,4616.800,.00,4616.800
10/04/2009 15,10/04/2009 19,.000,64096.351000,4617.700,.00,4617.700
10/04/2009 16,10/04/2009 20,.010,64073.231000,4616.700,46.18,4616.700
10/04/2009 17,10/04/2009 21,.010,64542.809000,4526.800,45.29,4526.800
10/04/2009 18,10/04/2009 22,.040,65068.712000,4542.200,181.74,4542.200
10/04/2009 19,10/04/2009 23,.040,66201.033000,4617.000,184.67,4617.000
10/04/2009 20,10/05/2009 00,.050,70200.944000,4616.900,230.92,4616.900
10/04/2009 21,10/05/2009 01,.050,70211.032000,4616.600,230.93,4616.600
10/04/2009 22,10/05/2009 02,.030,67021.894000,4616.800,138.51,4616.800
10/04/2009 23,10/05/2009 03,.000,62614.334000,4629.600,.00,4629.600
10/04/2009 24,10/05/2009 04,.000,58260.144000,4644.000,.00,4644.000
10/05/2009 01,10/05/2009 05,.000,54766.468000,5126.000,.00,5126.000
10/05/2009 02,10/05/2009 06,.000,52900.740000,5126.100,.00,5126.100
10/05/2009 03,10/05/2009 07,.000,51737.146000,5126.100,.00,5126.100
10/05/2009 04,10/05/2009 08,.000,51758.824000,5126.100,.00,5126.100
10/05/2009 05,10/05/2009 09,.000,52860.892000,5126.100,.00,5126.100
10/05/2009 06,10/05/2009 10,.000,57205.311000,5083.500,.00,5083.500
10/05/2009 07,10/05/2009 11,.000,64933.339000,5026.700,.00,5026.700
10/05/2009 08,10/05/2009 12,.040,70110.258000,5062.200,202.51,5062.200
10/05/2009 09,10/05/2009 13,.030,71631.427000,5078.000,152.36,5078.000
10/05/2009 10,10/05/2009 14,.040,72900.878000,5085.600,203.46,5085.600
10/05/2009 11,10/05/2009 15,.040,73994.881000,5085.500,203.46,5085.500
10/05/2009 12,10/05/2009 16,.040,74594.524000,5085.400,203.43,5085.400
10/05/2009 13,10/05/2009 17,.050,74725.971000,5085.800,254.32,5085.800
10/05/2009 14,10/05/2009 18,.040,74925.293000,5085.900,203.45,5085.900
10/05/2009 15,10/05/2009 19,.040,74764.139000,5085.700,203.44,5085.700
10/05/2009 16,10/05/2009 20,.040,74004.499000,5085.500,203.39,5085.500
10/05/2009 17,10/05/2009 21,.040,73754.674000,5083.800,203.33,5083.800
10/05/2009 18,10/05/2009 22,.050,73570.488000,5084.000,254.31,5084.000
10/05/2009 19,10/05/2009 23,.050,73776.206000,5085.800,254.42,5085.800
10/05/2009 20,10/06/2009 00,.050,76832.329000,5086.100,254.36,5086.100
10/05/2009 21,10/06/2009 01,.050,76586.242000,5085.700,254.39,5085.700
10/05/2009 22,10/06/2009 02,.040,72734.419000,4947.900,197.95,4947.900
10/05/2009 23,10/06/2009 03,.000,67241.121000,4937.100,.00,4937.100
10/05/2009 24,10/06/2009 04,.000,61490.960000,4973.600,.00,4973.600
10/06/2009 01,10/06/2009 05,.000,57210.363000,4767.000,.00,4767.000
10/06/2009 02,10/06/2009 06,.000,54841.356000,4963.900,.00,4963.900
10/06/2009 03,10/06/2009 07,.000,53572.610000,4978.400,.00,4978.400
10/06/2009 04,10/06/2009 08,.000,53241.729000,4929.400,.00,4929.400
10/06/2009 05,10/06/2009 09,.000,54208.655000,4976.400,.00,4976.400
10/06/2009 06,10/06/2009 10,.000,58263.879000,4818.800,.00,4818.800
10/06/2009 07,10/06/2009 11,.000,66326.412000,4631.302,.00,4631.302
10/06/2009 08,10/06/2009 12,.040,71332.089000,4883.500,195.37,4883.500
10/06/2009 09,10/06/2009 13,.040,72686.502000,4848.700,193.95,4848.700
10/06/2009 10,10/06/2009 14,.040,73583.333000,4938.600,197.51,4938.600
10/06/2009 11,10/06/2009 15,.040,74527.295000,4942.300,197.68,4942.300
10/06/2009 12,10/06/2009 16,.040,74841.212000,4942.200,197.67,4942.200
10/06/2009 13,10/06/2009 17,.040,74914.728000,4942.300,197.68,4942.300
10/06/2009 14,10/06/2009 18,.040,75297.356000,4938.600,197.57,4938.600
10/06/2009 15,10/06/2009 19,.040,74914.880000,4938.800,197.55,4938.800
10/06/2009 16,10/06/2009 20,.040,74447.304000,5069.000,202.72,5069.000
10/06/2009 17,10/06/2009 21,.040,74248.356000,4981.900,199.26,4981.900
10/06/2009 18,10/06/2009 22,.040,74222.744000,4961.500,198.48,4961.500
10/06/2009 19,10/06/2009 23,.050,75679.939000,4981.600,249.14,4981.600
10/06/2009 20,10/07/2009 00,.050,78155.335000,5071.500,253.62,5071.500
10/06/2009 21,10/07/2009 01,.050,77216.058000,5071.600,253.59,5071.600
10/06/2009 22,10/07/2009 02,.040,73455.443000,4913.200,196.53,4913.200
10/06/2009 23,10/07/2009 03,.000,67864.592000,4965.200,.00,4965.200
10/06/2009 24,10/07/2009 04,.000,62060.099000,4789.900,.00,4789.900
10/07/2009 01,10/07/2009 05,.000,57852.190000,5096.300,.00,5096.300
10/07/2009 02,10/07/2009 06,.000,55470.510000,5113.600,.00,5113.600
10/07/2009 03,10/07/2009 07,.000,54082.908000,5100.000,.00,5100.000
10/07/2009 04,10/07/2009 08,.000,53533.542000,5113.500,.00,5113.500
10/07/2009 05,10/07/2009 09,.000,54391.761000,5110.000,.00,5110.000
