Preliminary Day-ahead Scheduling Reserve Summary
Month:,"February, 2011" ,Report Creation Timestamp (EPT):, 11/03/2012 02:56:58 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
02/01/2011 01,02/01/2011 06,.000,79096.988000,6279.000,.00,6279.000
02/01/2011 02,02/01/2011 07,.000,77095.579000,6375.900,.00,6375.900
02/01/2011 03,02/01/2011 08,.000,76299.891000,6323.000,.00,6323.000
02/01/2011 04,02/01/2011 09,.000,76334.320000,6331.200,.00,6331.200
02/01/2011 05,02/01/2011 10,.000,78073.766000,6346.200,.00,6346.200
02/01/2011 06,02/01/2011 11,.000,82706.460000,6232.400,.00,6232.400
02/01/2011 07,02/01/2011 12,.010,89465.133000,6206.500,62.07,6206.500
02/01/2011 08,02/01/2011 13,.020,94352.223000,6264.200,125.29,6264.200
02/01/2011 09,02/01/2011 14,.040,95100.974000,6273.100,250.93,6273.100
02/01/2011 10,02/01/2011 15,.040,95297.908000,6180.900,247.21,6180.900
02/01/2011 11,02/01/2011 16,.040,94945.816000,6406.900,256.30,6406.900
02/01/2011 12,02/01/2011 17,.040,94228.290000,6469.000,258.75,6469.000
02/01/2011 13,02/01/2011 18,.020,92809.881000,6400.100,128.00,6400.100
02/01/2011 14,02/01/2011 19,.010,91615.958000,6399.000,64.02,6399.000
02/01/2011 15,02/01/2011 20,.010,90419.077000,6450.200,64.52,6450.200
02/01/2011 16,02/01/2011 21,.000,89785.691000,6466.900,.00,6466.900
02/01/2011 17,02/01/2011 22,.010,90837.934000,6453.000,64.51,6453.000
02/01/2011 18,02/01/2011 23,.040,95056.013000,5909.300,236.36,5909.300
02/01/2011 19,02/02/2011 00,.050,97471.479000,5832.100,291.73,5832.100
02/01/2011 20,02/02/2011 01,.040,96037.923000,5923.400,236.94,5923.400
02/01/2011 21,02/02/2011 02,.020,93403.745000,5936.600,118.75,5936.600
02/01/2011 22,02/02/2011 03,.000,89467.359000,5889.700,.00,5889.700
02/01/2011 23,02/02/2011 04,.000,83843.561000,5647.500,.00,5647.500
02/01/2011 24,02/02/2011 05,.000,78405.406000,5615.000,.00,5615.000
02/02/2011 01,02/02/2011 06,.000,74260.668000,5791.100,.00,5791.100
02/02/2011 02,02/02/2011 07,.000,71728.691000,5784.600,.00,5784.600
02/02/2011 03,02/02/2011 08,.000,70453.472000,5854.700,.00,5854.700
02/02/2011 04,02/02/2011 09,.000,70213.183000,5757.600,.00,5757.600
02/02/2011 05,02/02/2011 10,.000,71149.208000,5850.200,.00,5850.200
02/02/2011 06,02/02/2011 11,.000,74768.488000,5734.100,.00,5734.100
02/02/2011 07,02/02/2011 12,.000,80813.701000,6020.100,.00,6020.100
02/02/2011 08,02/02/2011 13,.020,84723.588000,6125.600,122.53,6125.600
02/02/2011 09,02/02/2011 14,.020,85035.863000,6125.700,122.52,6125.700
02/02/2011 10,02/02/2011 15,.020,85442.394000,5859.600,117.19,5859.600
02/02/2011 11,02/02/2011 16,.020,85543.097000,6263.700,125.29,6263.700
02/02/2011 12,02/02/2011 17,.020,85107.664000,6383.600,127.67,6383.600
02/02/2011 13,02/02/2011 18,.010,84260.816000,6385.600,63.92,6385.600
02/02/2011 14,02/02/2011 19,.010,83308.298000,6362.500,63.62,6362.500
02/02/2011 15,02/02/2011 20,.000,82303.609000,6366.800,.00,6366.800
02/02/2011 16,02/02/2011 21,.000,82075.196000,6368.300,.00,6368.300
02/02/2011 17,02/02/2011 22,.010,83717.595000,6356.100,63.57,6356.100
02/02/2011 18,02/02/2011 23,.020,88641.265000,5979.600,119.60,5979.600
02/02/2011 19,02/03/2011 00,.050,93413.915000,5796.800,289.94,5796.800
02/02/2011 20,02/03/2011 01,.020,93524.796000,5974.700,119.51,5974.700
02/02/2011 21,02/03/2011 02,.020,92380.797000,5871.600,117.44,5871.600
02/02/2011 22,02/03/2011 03,.020,89633.748000,5839.200,116.80,5839.200
02/02/2011 23,02/03/2011 04,.010,84798.491000,5744.800,57.49,5744.800
02/02/2011 24,02/03/2011 05,.000,80394.609000,5580.200,.00,5580.200
02/03/2011 01,02/03/2011 06,.000,77335.274000,6217.400,.00,6217.400
02/03/2011 02,02/03/2011 07,.000,76017.990000,6256.100,.00,6256.100
02/03/2011 03,02/03/2011 08,.000,75814.874000,6220.500,.00,6220.500
02/03/2011 04,02/03/2011 09,.000,76488.151000,6350.600,.00,6350.600
02/03/2011 05,02/03/2011 10,.000,78773.775000,6361.800,.00,6361.800
02/03/2011 06,02/03/2011 11,.010,84147.689000,6350.700,63.53,6350.700
02/03/2011 07,02/03/2011 12,.050,92665.552000,6164.900,308.39,6164.900
02/03/2011 08,02/03/2011 13,.050,97312.936000,6458.900,323.04,6458.900
02/03/2011 09,02/03/2011 14,.050,97174.074000,6346.000,317.41,6346.000
02/03/2011 10,02/03/2011 15,.020,95797.204000,6345.700,126.93,6345.700
02/03/2011 11,02/03/2011 16,.020,94236.991000,6508.500,130.20,6508.500
02/03/2011 12,02/03/2011 17,.020,92567.435000,6508.600,130.19,6508.600
02/03/2011 13,02/03/2011 18,.010,90711.068000,6134.700,61.38,6134.700
02/03/2011 14,02/03/2011 19,.000,89296.342000,6222.500,.00,6222.500
