Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:49:46 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/04/2008 05,11/04/2008 10,0,58966.245,4949.2,0,4949.2
11/04/2008 06,11/04/2008 11,0,63566.458,4937.6,0,4937.6
11/04/2008 07,11/04/2008 12,0.1,70559.046,4934.8,493.48,4934.8
11/04/2008 08,11/04/2008 13,0.1,74397.414,4902.6,490.26,4902.6
11/04/2008 09,11/04/2008 14,0.1,76239.428,4925.5,492.55,4925.5
11/04/2008 10,11/04/2008 15,0.1,76905.575,4915.8,491.58,4915.8
11/04/2008 11,11/04/2008 16,0.1,77437.969,4918,491.8,4918
11/04/2008 12,11/04/2008 17,0.1,77460.244,4921,492.1,4921
11/04/2008 13,11/04/2008 18,0.1,77325.392,4926.8,492.68,4926.8
11/04/2008 14,11/04/2008 19,0.1,77372.595,4933.6,493.36,4933.6
11/04/2008 15,11/04/2008 20,0.1,76690.738,4928.2,492.82,4928.2
11/04/2008 16,11/04/2008 21,0.09,76331.818,4950.8,445.59,4950.8
11/04/2008 17,11/04/2008 22,0.1,77476.852,4906.2,490.62,4906.2
11/04/2008 18,11/04/2008 23,0.1,81281.329,4810.8,481.08,4810.8
11/04/2008 19,11/05/2008 00,0.1,83231.243,4866.5,486.65,4866.5
11/04/2008 20,11/05/2008 01,0.1,81844.815,4824.7,482.47,4824.7
11/04/2008 21,11/05/2008 02,0.1,79373.233,4923.3,492.33,4923.3
11/04/2008 22,11/05/2008 03,0.1,75413.846,4885.3,488.53,4885.3
11/04/2008 23,11/05/2008 04,0.09,70090.023,4944.8,445.07,4944.8
11/04/2008 24,11/05/2008 05,0,64774.124,4951.6,0,4951.6
11/05/2008 01,11/05/2008 06,0,61203.205,4486.3,0,4486.3
11/05/2008 02,11/05/2008 07,0,58757.318,4485.8,0,4485.8
11/05/2008 03,11/05/2008 08,0,57491.802,4402.2,0,4402.2
