Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"April, 2009 ",Report Creation Timestamp (EPT):, 07/07/2010 01:50:56 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/15/2009 07,04/15/2009 11,0.04,71756.198,4807.6,192.29,4807.6
04/15/2009 08,04/15/2009 12,0.04,76654.775,4917.3,196.68,4917.3
04/15/2009 09,04/15/2009 13,0.04,78350.377,4917.8,196.71,4917.8
04/15/2009 10,04/15/2009 14,0.05,79107.023,4914.6,245.89,4914.6
04/15/2009 11,04/15/2009 15,0.05,79866.536,4897.4,244.97,4897.4
04/15/2009 12,04/15/2009 16,0.05,79831.039,4850.5,242.65,4850.5
04/15/2009 13,04/15/2009 17,0.05,79420.31,4830.6,241.69,4830.6
04/15/2009 14,04/15/2009 18,0.04,78941.172,4920.9,196.85,4920.9
04/15/2009 15,04/15/2009 19,0.04,78215.14,4920.4,196.84,4920.4
04/15/2009 16,04/15/2009 20,0.04,77589.261,4760.4,190.42,4760.4
04/15/2009 17,04/15/2009 21,0.01,77580.618,4716.8,47.19,4716.8
04/15/2009 18,04/15/2009 22,0.04,77837.057,4757.6,190.3,4757.6
04/15/2009 19,04/15/2009 23,0,77829.519,4761.2,0,4761.2
04/15/2009 20,04/16/2009 00,0.04,78721.541,4757.4,190.34,4757.4
04/15/2009 21,04/16/2009 01,0.05,80831.255,4787.1,239.44,4787.1
04/15/2009 22,04/16/2009 02,0.04,78818.099,4763.5,190.56,4763.5
04/15/2009 23,04/16/2009 03,0,73791.045,4763.9,0,4763.9
04/15/2009 24,04/16/2009 04,0,68166.427,4728.3,0,4728.3
04/16/2009 01,04/16/2009 05,0,64031.201,4656.6,0,4656.6
04/16/2009 02,04/16/2009 06,0,61885.297,4656.1,0,4656.1
04/16/2009 03,04/16/2009 07,0,61099.511,4656.4,0,4656.4
04/16/2009 04,04/16/2009 08,0,60925.358,4698.2,0,4698.2
04/16/2009 05,04/16/2009 09,0,62545.599,4693.1,0,4693.1
04/16/2009 06,04/16/2009 10,0,67328.621,4682,0,4682
04/16/2009 07,04/16/2009 11,0.04,74851.709,4676,187.07,4676
04/16/2009 08,04/16/2009 12,0.05,78445.851,4677.3,233.98,4677.3
04/16/2009 09,04/16/2009 13,0.05,78532.513,4603,230.27,4603
04/16/2009 10,04/16/2009 14,0.04,77713.974,4588.4,183.58,4588.4
04/16/2009 11,04/16/2009 15,0.04,76985.11,4583.7,183.35,4583.7
04/16/2009 12,04/16/2009 16,0.04,76023.884,4584.4,183.36,4584.4
04/16/2009 13,04/16/2009 17,0.04,74921.615,4657.6,186.33,4657.6
04/16/2009 14,04/16/2009 18,0.04,74079.519,4653.9,186.14,4653.9
04/16/2009 15,04/16/2009 19,0,73144.147,4635.2,0,4635.2
04/16/2009 16,04/16/2009 20,0,71815.649,4654.4,0,4654.4
04/16/2009 17,04/16/2009 21,0,70949.349,4585.3,0,4585.3
04/16/2009 18,04/16/2009 22,0,70355.285,4579.6,0,4579.6
04/16/2009 19,04/16/2009 23,0,69438.814,4580.5,0,4580.5
04/16/2009 20,04/17/2009 00,0,70293.757,4654.6,0,4654.6
04/16/2009 21,04/17/2009 01,0.04,74681.474,4654.4,186.2,4654.4
04/16/2009 22,04/17/2009 02,0.04,73874.831,4586.5,183.44,4586.5
04/16/2009 23,04/17/2009 03,0,69243.395,4635.4,0,4635.4
04/16/2009 24,04/17/2009 04,0,63816.118,4693.9,0,4693.9
04/17/2009 01,04/17/2009 05,0,59924.693,4615.9,0,4615.9
04/17/2009 02,04/17/2009 06,0,58044.744,4647.8,0,4647.8
04/17/2009 03,04/17/2009 07,0,57470.317,4648.1,0,4648.1
04/17/2009 04,04/17/2009 08,0,57555.275,4648.8,0,4648.8
04/17/2009 05,04/17/2009 09,0,59249.732,4646,0,4646
04/17/2009 06,04/17/2009 10,0,64171.656,4633.2,0,4633.2
04/17/2009 07,04/17/2009 11,0.04,71723.815,4616.9,184.72,4616.9
04/17/2009 08,04/17/2009 12,0.04,75691.235,4586.8,183.49,4586.8
04/17/2009 09,04/17/2009 13,0.04,75843.392,4611.6,184.47,4611.6
04/17/2009 10,04/17/2009 14,0.04,74973.072,4545.3,181.81,4545.3
04/17/2009 11,04/17/2009 15,0.04,74525.234,4543.6,181.74,4543.6
04/17/2009 12,04/17/2009 16,0.04,73847.513,4576.1,183.09,4576.1
04/17/2009 13,04/17/2009 17,0.04,73071.823,4554.5,182.2,4554.5
04/17/2009 14,04/17/2009 18,0.04,72294.031,4578.1,183.1,4578.1
04/17/2009 15,04/17/2009 19,0,71283.246,4586.9,0,4586.9
04/17/2009 16,04/17/2009 20,0,70236.367,4600.4,0,4600.4
04/17/2009 17,04/17/2009 21,0,69465.539,4552.6,0,4552.6
04/17/2009 18,04/17/2009 22,0,68628.888,4602.3,0,4602.3
04/17/2009 19,04/17/2009 23,0,67455.802,4589.4,0,4589.4
04/17/2009 20,04/18/2009 00,0,67174.167,4626.9,0,4626.9
04/17/2009 21,04/18/2009 01,0.04,70193.751,4616.8,184.71,4616.8
04/17/2009 22,04/18/2009 02,0,69497.473,4623.7,0,4623.7
04/17/2009 23,04/18/2009 03,0,65528.826,4643.4,0,4643.4
04/17/2009 24,04/18/2009 04,0,60510.699,4643.6,0,4643.6
04/18/2009 01,04/18/2009 05,0,56329.377,3869.3,0,3869.3
04/18/2009 02,04/18/2009 06,0,53755.818,3876.8,0,3876.8
04/18/2009 03,04/18/2009 07,0,52527.598,3878.9,0,3878.9
04/18/2009 04,04/18/2009 08,0,52165.644,3721.6,0,3721.6
04/18/2009 05,04/18/2009 09,0,52604.514,3965.1,0,3965.1
04/18/2009 06,04/18/2009 10,0,54216.051,3939,0,3939
04/18/2009 07,04/18/2009 11,0,56683.629,4126.1,0,4126.1
04/18/2009 08,04/18/2009 12,0,59282.169,4123.6,0,4123.6
04/18/2009 09,04/18/2009 13,0,62270.139,3970.6,0,3970.6
04/18/2009 10,04/18/2009 14,0.04,64030.628,4053.8,162.19,4053.8
04/18/2009 11,04/18/2009 15,0.04,64622.829,4095.9,163.85,4095.9
04/18/2009 12,04/18/2009 16,0.04,64590.27,4117.5,164.65,4117.5
04/18/2009 13,04/18/2009 17,0.04,64157.4,3996.5,159.82,3996.5
04/18/2009 14,04/18/2009 18,0.01,63325.346,3967.6,39.72,3967.6
04/18/2009 15,04/18/2009 19,0,62672.917,3961,0,3961
04/18/2009 16,04/18/2009 20,0,62340.844,3922.1,0,3922.1
04/18/2009 17,04/18/2009 21,0,62416.558,3922.7,0,3922.7
04/18/2009 18,04/18/2009 22,0,62696.403,3932.4,0,3932.4
04/18/2009 19,04/18/2009 23,0,62563.813,3941,0,3941
04/18/2009 20,04/19/2009 00,0,63171.42,3967,0,3967
04/18/2009 21,04/19/2009 01,0.04,66548.567,4124.3,164.99,4124.3
04/18/2009 22,04/19/2009 02,0.04,65724.988,3952.2,158.07,3952.2
04/18/2009 23,04/19/2009 03,0,62079.033,3898.6,0,3898.6
04/18/2009 24,04/19/2009 04,0,57636.411,3758.3,0,3758.3
04/19/2009 01,04/19/2009 05,0,53818.755,4006,0,4006
04/19/2009 02,04/19/2009 06,0,51362.693,3899.5,0,3899.5
04/19/2009 03,04/19/2009 07,0,49669.612,4066.3,0,4066.3
04/19/2009 04,04/19/2009 08,0,48919.328,4068.2,0,4068.2
04/19/2009 05,04/19/2009 09,0,48760.849,4037,0,4037
04/19/2009 06,04/19/2009 10,0,49478.377,4027.7,0,4027.7
04/19/2009 07,04/19/2009 11,0,50688.12,4067.3,0,4067.3
04/19/2009 08,04/19/2009 12,0,52804.347,4046.2,0,4046.2
04/19/2009 09,04/19/2009 13,0,56205.461,3861.9,0,3861.9
04/19/2009 10,04/19/2009 14,0,59191.444,3765.8,0,3765.8
04/19/2009 11,04/19/2009 15,0,60832.485,4012.5,0,4012.5
04/19/2009 12,04/19/2009 16,0,61678.52,4010,0,4010
04/19/2009 13,04/19/2009 17,0,62065.591,3949.5,0,3949.5
04/19/2009 14,04/19/2009 18,0,61924.423,4012.4,0,4012.4
04/19/2009 15,04/19/2009 19,0,61558.427,3959.9,0,3959.9
04/19/2009 16,04/19/2009 20,0,61328.886,4015.3,0,4015.3
04/19/2009 17,04/19/2009 21,0,61977.809,4008.1,0,4008.1
04/19/2009 18,04/19/2009 22,0,63160.149,4015,0,4015
04/19/2009 19,04/19/2009 23,0,64269.336,4015.9,0,4015.9
04/19/2009 20,04/20/2009 00,0.05,66340.754,4087.7,204.49,4087.7
04/19/2009 21,04/20/2009 01,0.05,69187.083,4212.8,210.73,4212.8
04/19/2009 22,04/20/2009 02,0.05,67184.789,4212.9,210.75,4212.9
04/19/2009 23,04/20/2009 03,0,63039.012,3969.1,0,3969.1
04/19/2009 24,04/20/2009 04,0,58471.062,3937,0,3937
04/20/2009 01,04/20/2009 05,0,54808.674,4392.9,0,4392.9
04/20/2009 02,04/20/2009 06,0,53112.097,4524.9,0,4524.9
04/20/2009 03,04/20/2009 07,0,52169.009,4480.9,0,4480.9
04/20/2009 04,04/20/2009 08,0,52077.133,4396.7,0,4396.7
04/20/2009 05,04/20/2009 09,0,53560.378,4393.9,0,4393.9
04/20/2009 06,04/20/2009 10,0,57929.449,4412.9,0,4412.9
04/20/2009 07,04/20/2009 11,0,66144.463,4374.7,0,4374.7
04/20/2009 08,04/20/2009 12,0,71884.445,4562.2,0,4562.2
04/20/2009 09,04/20/2009 13,0.04,74433.247,4546.5,181.86,4546.5
04/20/2009 10,04/20/2009 14,0.04,75765.489,4546.7,181.9,4546.7
04/20/2009 11,04/20/2009 15,0.04,76936.121,4396.6,175.84,4396.6
04/20/2009 12,04/20/2009 16,0.04,77229.526,4516.5,180.64,4516.5
04/20/2009 13,04/20/2009 17,0.04,77228.133,4566.3,182.67,4566.3
04/20/2009 14,04/20/2009 18,0.04,76795.029,4583.1,183.35,4583.1
04/20/2009 15,04/20/2009 19,0,76140.953,4522.8,0,4522.8
04/20/2009 16,04/20/2009 20,0,75665.328,4524.5,0,4524.5
04/20/2009 17,04/20/2009 21,0.04,75757.867,4594.9,183.8,4594.9
04/20/2009 18,04/20/2009 22,0.04,76263.645,4591.4,183.69,4591.4
04/20/2009 19,04/20/2009 23,0.04,76295.349,4583.2,183.31,4583.2
04/20/2009 20,04/21/2009 00,0.04,76755.22,4596.3,183.84,4596.3
04/20/2009 21,04/21/2009 01,0.04,77963.524,4596,183.83,4596
04/20/2009 22,04/21/2009 02,0,75493.193,4496,0,4496
04/20/2009 23,04/21/2009 03,0,69943.898,4459.5,0,4459.5
04/20/2009 24,04/21/2009 04,0,64199.053,4507.5,0,4507.5
04/21/2009 01,04/21/2009 05,0,59934.19,4286.2,0,4286.2
04/21/2009 02,04/21/2009 06,0,57660.877,4367.4,0,4367.4
04/21/2009 03,04/21/2009 07,0,56549.734,4353.3,0,4353.3
04/21/2009 04,04/21/2009 08,0,56242.482,4353.8,0,4353.8
04/21/2009 05,04/21/2009 09,0,57360.759,4320.3,0,4320.3
04/21/2009 06,04/21/2009 10,0,61611.763,4222.5,0,4222.5
04/21/2009 07,04/21/2009 11,0.04,69548.322,4144.8,165.79,4144.8
04/21/2009 08,04/21/2009 12,0.04,74113.434,4202.1,168.08,4202.1
04/21/2009 09,04/21/2009 13,0.04,75603.045,4152.3,166.1,4152.3
04/21/2009 10,04/21/2009 14,0.04,75693.176,4160.9,166.48,4160.9
04/21/2009 11,04/21/2009 15,0.05,76155.984,4165.201,208.41,4165.201
04/21/2009 12,04/21/2009 16,0.04,76091.293,4162.6,166.52,4162.6
04/21/2009 13,04/21/2009 17,0.04,75798.289,4164.3,166.6,4164.3
04/21/2009 14,04/21/2009 18,0.04,75315.398,4163.6,166.55,4163.6
04/21/2009 15,04/21/2009 19,0.04,74489.243,4230.8,169.23,4230.8
04/21/2009 16,04/21/2009 20,0.04,73718.602,4213.7,168.54,4213.7
04/21/2009 17,04/21/2009 21,0.04,73412.274,4201.2,168.05,4201.2
04/21/2009 18,04/21/2009 22,0.04,73505.282,4223.1,168.93,4223.1
04/21/2009 19,04/21/2009 23,0.01,73176.666,4156.4,41.59,4156.4
04/21/2009 20,04/22/2009 00,0.04,74282.66,4217,168.69,4217
04/21/2009 21,04/22/2009 01,0.05,76764.578,4238.4,212.08,4238.4
04/21/2009 22,04/22/2009 02,0.04,75093.101,4238.6,169.56,4238.6
04/21/2009 23,04/22/2009 03,0,69956.227,4261.5,0,4261.5
04/21/2009 24,04/22/2009 04,0,64158.804,4241.3,0,4241.3
04/22/2009 01,04/22/2009 05,0,59955.415,4604,0,4604
04/22/2009 02,04/22/2009 06,0,57900.78,4627.8,0,4627.8
04/22/2009 03,04/22/2009 07,0,56805.554,4628.3,0,4628.3
04/22/2009 04,04/22/2009 08,0,56647.481,4552.3,0,4552.3
04/22/2009 05,04/22/2009 09,0,57985.571,4628.6,0,4628.6
04/22/2009 06,04/22/2009 10,0,62380.533,4590.7,0,4590.7
04/22/2009 07,04/22/2009 11,0.04,70371.389,4627.5,185.09,4627.5
04/22/2009 08,04/22/2009 12,0.04,74989.303,4653.1,186.16,4653.1
04/22/2009 09,04/22/2009 13,0.04,76037.134,4672.3,186.91,4672.3
04/22/2009 10,04/22/2009 14,0.04,76156.627,4690.1,187.63,4690.1
04/22/2009 11,04/22/2009 15,0.04,76445.461,4678.6,187.14,4678.6
04/22/2009 12,04/22/2009 16,0.04,76112.967,4656.4,186.26,4656.4
04/22/2009 13,04/22/2009 17,0.04,75645.429,4661.2,186.39,4661.2
04/22/2009 14,04/22/2009 18,0.04,75034.428,4592.3,183.73,4592.3
04/22/2009 15,04/22/2009 19,0.04,74075.753,4547.4,181.87,4547.4
04/22/2009 16,04/22/2009 20,0.04,73139.881,4493.3,179.71,4493.3
04/22/2009 17,04/22/2009 21,0.04,72888.541,4552.9,182.05,4552.9
04/22/2009 18,04/22/2009 22,0.04,72797.781,4570,182.76,4570
04/22/2009 19,04/22/2009 23,0.04,72634.881,4559.3,182.34,4559.3
04/22/2009 20,04/23/2009 00,0.04,73322.469,4577.4,183.1,4577.4
04/22/2009 21,04/23/2009 01,0.04,76893.687,4701.8,188.07,4701.8
04/22/2009 22,04/23/2009 02,0.04,75717.924,4613.7,184.53,4613.7
04/22/2009 23,04/23/2009 03,0,70863.951,4605.5,0,4605.5
04/22/2009 24,04/23/2009 04,0,65220.579,4553.3,0,4553.3
04/23/2009 01,04/23/2009 05,0,61119.41,4793.7,0,4793.7
04/23/2009 02,04/23/2009 06,0,59037.217,4821.6,0,4821.6
04/23/2009 03,04/23/2009 07,0,58088.503,4813.9,0,4813.9
04/23/2009 04,04/23/2009 08,0,57802.641,4815.7,0,4815.7
04/23/2009 05,04/23/2009 09,0,59194.903,4814.5,0,4814.5
04/23/2009 06,04/23/2009 10,0,63965.587,4803.6,0,4803.6
04/23/2009 07,04/23/2009 11,0.04,71560.876,4804.7,192.14,4804.7
04/23/2009 08,04/23/2009 12,0.05,75382.138,4772.1,238.67,4772.1
04/23/2009 09,04/23/2009 13,0.04,75705.544,4737.6,189.49,4737.6
04/23/2009 10,04/23/2009 14,0.04,75546.206,4738,189.54,4738
04/23/2009 11,04/23/2009 15,0.04,75496.859,4739.8,189.59,4739.8
04/23/2009 12,04/23/2009 16,0.04,74951.178,4740.9,189.67,4740.9
04/23/2009 13,04/23/2009 17,0.04,74165.194,4732,189.24,4732
04/23/2009 14,04/23/2009 18,0.04,73590.44,4803.7,192.11,4803.7
04/23/2009 15,04/23/2009 19,0.04,72587.828,4786.3,191.49,4786.3
04/23/2009 16,04/23/2009 20,0,71718.333,4789.3,0,4789.3
04/23/2009 17,04/23/2009 21,0,71065.451,4769.7,0,4769.7
04/23/2009 18,04/23/2009 22,0,70454.665,4799.9,0,4799.9
04/23/2009 19,04/23/2009 23,0,69704.776,4800.9,0,4800.9
04/23/2009 20,04/24/2009 00,0,70175.473,4797.2,0,4797.2
04/23/2009 21,04/24/2009 01,0.04,74334.771,4809.7,192.38,4809.7
04/23/2009 22,04/24/2009 02,0.04,73561.363,4796.2,191.84,4796.2
04/23/2009 23,04/24/2009 03,0,68385.772,4745.4,0,4745.4
04/23/2009 24,04/24/2009 04,0,62621.234,4497.5,0,4497.5
04/24/2009 01,04/24/2009 05,0,58397.608,4280.2,0,4280.2
04/24/2009 02,04/24/2009 06,0,56377.936,4361.2,0,4361.2
04/24/2009 03,04/24/2009 07,0,55408.381,4382.9,0,4382.9
04/24/2009 04,04/24/2009 08,0,55157.391,4401.5,0,4401.5
04/24/2009 05,04/24/2009 09,0,56754.012,4351.5,0,4351.5
04/24/2009 06,04/24/2009 10,0,61143.639,4187.9,0,4187.9
04/24/2009 07,04/24/2009 11,0,68357.591,4214.6,0,4214.6
04/24/2009 08,04/24/2009 12,0.04,72069.409,4282.3,171.27,4282.3
04/24/2009 09,04/24/2009 13,0.04,72766.93,4270.6,170.85,4270.6
04/24/2009 10,04/24/2009 14,0.04,72815.587,4288.7,171.59,4288.7
04/24/2009 11,04/24/2009 15,0.04,73384.98,4279.9,171.18,4279.9
04/24/2009 12,04/24/2009 16,0.04,73496.424,4301.9,172.12,4301.9
04/24/2009 13,04/24/2009 17,0.05,73520.506,4346.8,217.48,4346.8
04/24/2009 14,04/24/2009 18,0.04,73682.377,4347.4,173.88,4347.4
04/24/2009 15,04/24/2009 19,0.04,73479.575,4330.3,173.21,4330.3
04/24/2009 16,04/24/2009 20,0.04,72905.038,4266,170.66,4266
04/24/2009 17,04/24/2009 21,0.04,72750.41,4260.6,170.38,4260.6
04/24/2009 18,04/24/2009 22,0,72044.098,4124.7,0,4124.7
04/24/2009 19,04/24/2009 23,0,70566.066,4267.4,0,4267.4
04/24/2009 20,04/25/2009 00,0,69740.283,4262.2,0,4262.2
04/24/2009 21,04/25/2009 01,0.04,72332.964,4191.7,167.66,4191.7
04/24/2009 22,04/25/2009 02,0,71540.735,4224.7,0,4224.7
04/24/2009 23,04/25/2009 03,0,67182.915,4359.3,0,4359.3
04/24/2009 24,04/25/2009 04,0,61703.663,4431.3,0,4431.3
04/25/2009 01,04/25/2009 05,0,56853.667,5016.3,0,5016.3
04/25/2009 02,04/25/2009 06,0,53906.929,5043.9,0,5043.9
04/25/2009 03,04/25/2009 07,0,52026.377,5042.3,0,5042.3
04/25/2009 04,04/25/2009 08,0,51096.36,5044.3,0,5044.3
04/25/2009 05,04/25/2009 09,0,50743.592,4949.3,0,4949.3
04/25/2009 06,04/25/2009 10,0,51822.383,5022.6,0,5022.6
04/25/2009 07,04/25/2009 11,0,53257.243,5070.5,0,5070.5
04/25/2009 08,04/25/2009 12,0,56005.755,5067.9,0,5067.9
04/25/2009 09,04/25/2009 13,0,60559.827,5065.3,0,5065.3
04/25/2009 10,04/25/2009 14,0,64078.841,5060.2,0,5060.2
04/25/2009 11,04/25/2009 15,0,66488.475,5026.1,0,5026.1
04/25/2009 12,04/25/2009 16,0.04,68211.71,4943,197.74,4943
04/25/2009 13,04/25/2009 17,0.04,69296.255,4997.9,199.93,4997.9
04/25/2009 14,04/25/2009 18,0.04,69910.839,4998.9,199.97,4998.9
04/25/2009 15,04/25/2009 19,0.04,70304.663,4998.4,199.93,4998.4
04/25/2009 16,04/25/2009 20,0.05,71222.037,5066.4,253.39,5066.4
04/25/2009 17,04/25/2009 21,0.05,72177.449,5067,253.4,5067
04/25/2009 18,04/25/2009 22,0.05,72618.536,5066.8,253.45,5066.8
04/25/2009 19,04/25/2009 23,0.05,72197.661,5067,253.42,5067
04/25/2009 20,04/26/2009 00,0.05,71740.507,5066.9,253.45,5066.9
04/25/2009 21,04/26/2009 01,0.05,73865.238,5066.9,253.4,5066.9
04/25/2009 22,04/26/2009 02,0.04,73042.012,5066.9,202.66,5066.9
04/25/2009 23,04/26/2009 03,0,68759.19,5022.3,0,5022.3
04/25/2009 24,04/26/2009 04,0,63614.261,5074.6,0,5074.6
04/26/2009 01,04/26/2009 05,0,58825.759,5247.9,0,5247.9
04/26/2009 02,04/26/2009 06,0,55443.252,5220.2,0,5220.2
04/26/2009 03,04/26/2009 07,0,53077.234,5258.1,0,5258.1
04/26/2009 04,04/26/2009 08,0,51590.713,5295.1,0,5295.1
04/26/2009 05,04/26/2009 09,0,50873.706,5301.8,0,5301.8
04/26/2009 06,04/26/2009 10,0,51120.106,5293.4,0,5293.4
04/26/2009 07,04/26/2009 11,0,51311.476,5290.3,0,5290.3
04/26/2009 08,04/26/2009 12,0,53861.388,5231.9,0,5231.9
04/26/2009 09,04/26/2009 13,0,58808.666,5230.5,0,5230.5
04/26/2009 10,04/26/2009 14,0,63628.008,5251,0,5251
04/26/2009 11,04/26/2009 15,0,67500.162,5232.9,0,5232.9
04/26/2009 12,04/26/2009 16,0.04,70694.861,5156.9,206.24,5156.9
04/26/2009 13,04/26/2009 17,0.05,73184.043,5292.3,264.7,5292.3
04/26/2009 14,04/26/2009 18,0.05,74693.55,5360.8,268.13,5360.8
04/26/2009 15,04/26/2009 19,0.05,76059.284,5360.6,268.11,5360.6
04/26/2009 16,04/26/2009 20,0.05,77491.327,5360.6,268.11,5360.6
04/26/2009 17,04/26/2009 21,0.08,78845.827,5364.4,429.2,5364.4
04/26/2009 18,04/26/2009 22,0.08,80013.956,5364.1,429.17,5364.1
04/26/2009 19,04/26/2009 23,0.07,79660.049,5364.3,375.52,5364.3
04/26/2009 20,04/27/2009 00,0.07,78938.722,5364.2,375.5,5364.2
04/26/2009 21,04/27/2009 01,0.5,81191.806,5389.4,2694.7,5389.4
04/26/2009 22,04/27/2009 02,0.05,80171.752,5389.5,269.58,5389.5
04/26/2009 23,04/27/2009 03,0.04,74060.66,5329.6,213.19,5329.6
04/26/2009 24,04/27/2009 04,0,67518.041,5160.1,0,5160.1
04/27/2009 01,04/27/2009 05,0,61952.591,5375.9,0,5375.9
04/27/2009 02,04/27/2009 06,0,58629.937,5519,0,5519
04/27/2009 03,04/27/2009 07,0,56542.216,5624.3,0,5624.3
04/27/2009 04,04/27/2009 08,0,55489.041,5472.4,0,5472.4
04/27/2009 05,04/27/2009 09,0,55808.266,5381.4,0,5381.4
04/27/2009 06,04/27/2009 10,0,59234.426,5406.2,0,5406.2
04/27/2009 07,04/27/2009 11,0.01,65511.265,5640,56.45,5640
04/27/2009 08,04/27/2009 12,0.04,71317.057,5344.4,213.76,5344.4
04/27/2009 09,04/27/2009 13,0.05,75828.115,5384.4,269.37,5384.4
04/27/2009 10,04/27/2009 14,0.05,79589.612,5391,269.73,5391
04/27/2009 11,04/27/2009 15,0.05,83308.316,5562.1,278.24,5562.1
04/27/2009 12,04/27/2009 16,0.05,86283.669,5537.3,277.01,5537.3
04/27/2009 13,04/27/2009 17,0.05,88635.855,5562.5,278.21,5562.5
04/27/2009 14,04/27/2009 18,0.5,90784.125,5579.6,2789.8,5579.6
04/27/2009 15,04/27/2009 19,0.5,92401.228,5577.3,2788.65,5577.3
04/27/2009 16,04/27/2009 20,0.5,93537.109,5570.3,2785.15,5570.3
04/27/2009 17,04/27/2009 21,0.5,94364.274,5565.8,2782.9,5565.8
04/27/2009 18,04/27/2009 22,0.5,94147.114,5552.5,2776.25,5552.5
04/27/2009 19,04/27/2009 23,0.08,92375.216,5554.4,444.35,5554.4
04/27/2009 20,04/28/2009 00,0.1,89956.68,5554.2,555.42,5554.2
04/27/2009 21,04/28/2009 01,0.5,91020.811,5532.2,2766.1,5532.2
04/27/2009 22,04/28/2009 02,0.08,87966.324,5515.5,441.28,5515.5
04/27/2009 23,04/28/2009 03,0.05,79904.979,5283,264.29,5283
04/27/2009 24,04/28/2009 04,0,71830.964,5491.2,0,5491.2
04/28/2009 01,04/28/2009 05,0,65291.405,5422.2,0,5422.2
04/28/2009 02,04/28/2009 06,0,61197.962,5590.5,0,5590.5
04/28/2009 03,04/28/2009 07,0,58807.184,5443,0,5443
04/28/2009 04,04/28/2009 08,0,57372.603,5446.5,0,5446.5
04/28/2009 05,04/28/2009 09,0,57523.999,5474.3,0,5474.3
04/28/2009 06,04/28/2009 10,0,60732.221,5462,0,5462
04/28/2009 07,04/28/2009 11,0,67351.215,5452.4,0,5452.4
04/28/2009 08,04/28/2009 12,0,73170.418,5159.2,0,5159.2
04/28/2009 09,04/28/2009 13,0,77016.571,5065,0,5065
04/28/2009 10,04/28/2009 14,0.04,80096.549,5300.2,212.04,5300.2
04/28/2009 11,04/28/2009 15,0.05,83058.079,5539.1,277.1,5539.1
04/28/2009 12,04/28/2009 16,0.05,85332.497,5554.6,277.88,5554.6
04/28/2009 13,04/28/2009 17,0.05,86959.424,5604.7,280.35,5604.7
04/28/2009 14,04/28/2009 18,0.07,88473.708,5599.8,391.99,5599.8
04/28/2009 15,04/28/2009 19,0.1,89530.639,5613,561.3,5613
04/28/2009 16,04/28/2009 20,0.5,90125.496,5609.9,2804.95,5609.9
04/28/2009 17,04/28/2009 21,0.25,90506.398,5613.1,1403.37,5613.1
04/28/2009 18,04/28/2009 22,0.25,89640.793,5601.3,1400.42,5601.3
04/28/2009 19,04/28/2009 23,0.05,87154.389,5569.5,278.56,5569.5
04/28/2009 20,04/29/2009 00,0.05,84931.695,5515.4,275.9,5515.4
04/28/2009 21,04/29/2009 01,0.05,86089.729,5560.6,278.19,5560.6
04/28/2009 22,04/29/2009 02,0.05,83046.066,5541.3,277.21,5541.3
04/28/2009 23,04/29/2009 03,0,75874.385,5272.9,0,5272.9
04/28/2009 24,04/29/2009 04,0,67915.607,5151.7,0,5151.7
04/29/2009 01,04/29/2009 05,0,62272.007,5036.8,0,5036.8
04/29/2009 02,04/29/2009 06,0,58714.969,5192,0,5192
04/29/2009 03,04/29/2009 07,0,56668.18,5160.9,0,5160.9
04/29/2009 04,04/29/2009 08,0,55547.977,5212.2,0,5212.2
04/29/2009 05,04/29/2009 09,0,55982.218,5204.5,0,5204.5
04/29/2009 06,04/29/2009 10,0,59178.81,5180.6,0,5180.6
04/29/2009 07,04/29/2009 11,0.04,65896.173,5092.2,203.68,5092.2
04/29/2009 08,04/29/2009 12,0.04,70554.558,5139.4,205.59,5139.4
04/29/2009 09,04/29/2009 13,0.04,72468.034,5193.1,207.74,5193.1
04/29/2009 10,04/29/2009 14,0.05,73725.916,5158.7,258.04,5158.7
04/29/2009 11,04/29/2009 15,0.05,74581.013,5221.4,261.16,5221.4
04/29/2009 12,04/29/2009 16,0.05,75120.918,5203.3,260.32,5203.3
04/29/2009 13,04/29/2009 17,0.05,75041.294,5279.8,264.09,5279.8
04/29/2009 14,04/29/2009 18,0.05,74990.161,5253.6,262.8,5253.6
04/29/2009 15,04/29/2009 19,0.05,74539.997,5230.3,261.62,5230.3
04/29/2009 16,04/29/2009 20,0.05,73836.537,5211.2,260.73,5211.2
04/29/2009 17,04/29/2009 21,0.05,73466.841,5230.8,261.68,5230.8
04/29/2009 18,04/29/2009 22,0.05,73114.267,5207.7,260.52,5207.7
04/29/2009 19,04/29/2009 23,0.05,72216.861,5180.7,259.19,5180.7
04/29/2009 20,04/30/2009 00,0.05,72189.172,5117.8,256.03,5117.8
04/29/2009 21,04/30/2009 01,0.05,74665.708,5268.1,263.49,5268.1
04/29/2009 22,04/30/2009 02,0.04,73116.169,5149.2,205.94,5149.2
04/29/2009 23,04/30/2009 03,0,67632.454,5140.8,0,5140.8
04/29/2009 24,04/30/2009 04,0,61486.515,5065.7,0,5065.7
04/30/2009 01,04/30/2009 05,0,56894.711,4969.6,0,4969.6
04/30/2009 02,04/30/2009 06,0,54210.448,5047.7,0,5047.7
04/30/2009 03,04/30/2009 07,0,52824.038,5003.5,0,5003.5
