Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"April, 2009 ",Report Creation Timestamp (EPT):, 07/07/2010 01:50:56 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/04/2009 08,04/04/2009 12,0,63497.855,4302.3,0,4302.3
04/04/2009 09,04/04/2009 13,0.05,66608.693,4248.7,212.62,4248.7
04/04/2009 10,04/04/2009 14,0.05,68572.036,4294.5,214.85,4294.5
04/04/2009 11,04/04/2009 15,0.05,69108.602,4321.3,216.18,4321.3
04/04/2009 12,04/04/2009 16,0.05,68452.021,4319.6,216.09,4319.6
04/04/2009 13,04/04/2009 17,0.04,67160.901,4331,173.23,4331
04/04/2009 14,04/04/2009 18,0,65580.257,4285,0,4285
04/04/2009 15,04/04/2009 19,0,64050.488,4307.3,0,4307.3
04/04/2009 16,04/04/2009 20,0,62998.547,4308,0,4308
04/04/2009 17,04/04/2009 21,0,62681.54,4306.7,0,4306.7
04/04/2009 18,04/04/2009 22,0,62686.768,4306.3,0,4306.3
04/04/2009 19,04/04/2009 23,0,62994.701,4306.4,0,4306.4
04/04/2009 20,04/05/2009 00,0.04,64965.871,4309.5,172.4,4309.5
04/04/2009 21,04/05/2009 01,0.05,68594.552,4287.8,214.56,4287.8
04/04/2009 22,04/05/2009 02,0.04,68141.116,4313.6,172.57,4313.6
04/04/2009 23,04/05/2009 03,0,65110.86,4315,0,4315
04/04/2009 24,04/05/2009 04,0,61448.476,4314,0,4314
04/05/2009 01,04/05/2009 05,0,57870.266,4272.6,0,4272.6
04/05/2009 02,04/05/2009 06,0,55765.238,4318.7,0,4318.7
04/05/2009 03,04/05/2009 07,0,54714.444,4318.1,0,4318.1
04/05/2009 04,04/05/2009 08,0,54378.117,4316.7,0,4316.7
04/05/2009 05,04/05/2009 09,0,54659.067,4367,0,4367
