Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2010 ",Report Creation Timestamp (EPT):, 10/27/2011 01:12:19 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/01/2010 01,11/01/2010 05,0,58401.065,5178.8,0,5178.8
11/01/2010 02,11/01/2010 06,0,57024.044,5199.7,0,5199.7
11/01/2010 03,11/01/2010 07,0,56506.639,5323.7,0,5323.7
11/01/2010 04,11/01/2010 08,0,56997.947,5045.1,0,5045.1
11/01/2010 05,11/01/2010 09,0,58523.186,5187.9,0,5187.9
11/01/2010 06,11/01/2010 10,0,63548.61,5170.3,0,5170.3
11/01/2010 07,11/01/2010 11,0.01,72132.199,5510.3,55.13,5510.3
11/01/2010 08,11/01/2010 12,0.02,78536.137,5457.7,109.17,5457.7
11/01/2010 09,11/01/2010 13,0.02,79426.443,5501,110.03,5501
11/01/2010 10,11/01/2010 14,0.02,78743.847,5480.1,109.61,5480.1
11/01/2010 11,11/01/2010 15,0.01,78166.538,5510,55.14,5510
11/01/2010 12,11/01/2010 16,0.01,77112.756,5373.5,53.75,5373.5
11/01/2010 13,11/01/2010 17,0.01,76002.964,5379.9,53.8,5379.9
11/01/2010 14,11/01/2010 18,0.01,75182.992,5420.7,54.25,5420.7
11/01/2010 15,11/01/2010 19,0.01,74074.503,5378.5,53.79,5378.5
11/01/2010 16,11/01/2010 20,0.01,73217.724,5386.1,53.87,5386.1
11/01/2010 17,11/01/2010 21,0.01,73086.88,4808.8,48.1,4808.8
11/01/2010 18,11/01/2010 22,0.01,74618.89,4893.5,48.93,4893.5
11/01/2010 19,11/01/2010 23,0.02,79177.441,4937.5,98.76,4937.5
11/01/2010 20,11/02/2010 00,0.04,81771.619,4877.7,195.12,4877.7
11/01/2010 21,11/02/2010 01,0.04,80845.411,4675.3,186.99,4675.3
11/01/2010 22,11/02/2010 02,0.01,78050.602,4635.7,46.36,4635.7
11/01/2010 23,11/02/2010 03,0.01,73514.412,4685.4,46.89,4685.4
11/01/2010 24,11/02/2010 04,0,68428.733,4565.1,0,4565.1
11/02/2010 01,11/02/2010 05,0,64675.606,5203,0,5203
11/02/2010 02,11/02/2010 06,0,62719.405,5327.8,0,5327.8
11/02/2010 03,11/02/2010 07,0,61978.923,5367.4,0,5367.4
11/02/2010 04,11/02/2010 08,0,62009.019,5365,0,5365
11/02/2010 05,11/02/2010 09,0,63605.716,5322.2,0,5322.2
11/02/2010 06,11/02/2010 10,0,68501.715,4983,0,4983
11/02/2010 07,11/02/2010 11,0.01,76315.449,5186.2,51.89,5186.2
11/02/2010 08,11/02/2010 12,0.02,81888.823,5230.1,104.6,5230.1
11/02/2010 09,11/02/2010 13,0.01,82621.821,5239.2,52.43,5239.2
11/02/2010 10,11/02/2010 14,0.01,81672.837,5244.2,52.44,5244.2
11/02/2010 11,11/02/2010 15,0.01,80383.032,5220.4,52.23,5220.4
11/02/2010 12,11/02/2010 16,0.01,78812.748,5212.6,52.17,5212.6
11/02/2010 13,11/02/2010 17,0,77223.761,5231,0,5231
11/02/2010 14,11/02/2010 18,0,76113.578,5247.6,0,5247.6
11/02/2010 15,11/02/2010 19,0,74893.963,5275.8,0,5275.8
11/02/2010 16,11/02/2010 20,0,73832.308,5533.9,0,5533.9
11/02/2010 17,11/02/2010 21,0,73807.255,5287,0,5287
11/02/2010 18,11/02/2010 22,0,75421.211,4664.9,0,4664.9
11/02/2010 19,11/02/2010 23,0.04,80051.295,4672.4,186.92,4672.4
11/02/2010 20,11/03/2010 00,0.04,82602.364,4679.5,187.2,4679.5
11/02/2010 21,11/03/2010 01,0.01,81576.46,4434.8,44.37,4434.8
11/02/2010 22,11/03/2010 02,0,78904.211,4719.3,0,4719.3
11/02/2010 23,11/03/2010 03,0,74003.323,4801.2,0,4801.2
11/02/2010 24,11/03/2010 04,0,68789.542,4736.9,0,4736.9
11/03/2010 01,11/03/2010 05,0,65066.466,5331.8,0,5331.8
11/03/2010 02,11/03/2010 06,0,63072.676,5336.8,0,5336.8
11/03/2010 03,11/03/2010 07,0,62169.343,5303.2,0,5303.2
11/03/2010 04,11/03/2010 08,0,62231.109,5241.6,0,5241.6
11/03/2010 05,11/03/2010 09,0,63561.427,5364.8,0,5364.8
11/03/2010 06,11/03/2010 10,0,68376.736,5299.9,0,5299.9
11/03/2010 07,11/03/2010 11,0.01,76895.298,5516.9,55.2,5516.9
11/03/2010 08,11/03/2010 12,0.02,82495.737,5556.4,111.11,5556.4
11/03/2010 09,11/03/2010 13,0.02,82483.853,5556.8,111.12,5556.8
11/03/2010 10,11/03/2010 14,0.01,81324.297,5556.7,55.58,5556.7
11/03/2010 11,11/03/2010 15,0.01,80136.829,5552,55.57,5552
11/03/2010 12,11/03/2010 16,0,78712.203,5510.9,0,5510.9
11/03/2010 13,11/03/2010 17,0,77281.989,5524,0,5524
11/03/2010 14,11/03/2010 18,0,76176.698,5521.6,0,5521.6
11/03/2010 15,11/03/2010 19,0,75050.065,5508.5,0,5508.5
11/03/2010 16,11/03/2010 20,0,74161.959,5479.2,0,5479.2
11/03/2010 17,11/03/2010 21,0,74515.673,5511.3,0,5511.3
11/03/2010 18,11/03/2010 22,0,76013.202,5483,0,5483
11/03/2010 19,11/03/2010 23,0.02,80141.261,4970.5,99.41,4970.5
11/03/2010 20,11/04/2010 00,0.02,81378.983,4983.9,99.69,4983.9
11/03/2010 21,11/04/2010 01,0.01,79992.506,4726.9,47.3,4726.9
11/03/2010 22,11/04/2010 02,0,76667.396,4742,0,4742
11/03/2010 23,11/04/2010 03,0,71557.975,4741,0,4741
11/03/2010 24,11/04/2010 04,0,66034.023,4699.7,0,4699.7
11/04/2010 01,11/04/2010 05,0,61949.562,5029.2,0,5029.2
11/04/2010 02,11/04/2010 06,0,59606.05,5068.2,0,5068.2
11/04/2010 03,11/04/2010 07,0,58416.493,5037.1,0,5037.1
11/04/2010 04,11/04/2010 08,0,57773.953,5068.1,0,5068.1
11/04/2010 05,11/04/2010 09,0,58884.601,5057,0,5057
11/04/2010 06,11/04/2010 10,0,63174.174,5051.5,0,5051.5
11/04/2010 07,11/04/2010 11,0.01,71064.222,5234.2,52.38,5234.2
11/04/2010 08,11/04/2010 12,0.01,76990.143,5217.8,52.21,5217.8
11/04/2010 09,11/04/2010 13,0.02,78104.823,5201.8,104.03,5201.8
11/04/2010 10,11/04/2010 14,0.01,78256.645,5241.7,52.42,5241.7
11/04/2010 11,11/04/2010 15,0.01,78785.573,5242.001,52.44,5242.001
11/04/2010 12,11/04/2010 16,0.01,78687.373,5238.6,52.42,5238.6
11/04/2010 13,11/04/2010 17,0.01,78472.687,5235.6,52.39,5235.6
11/04/2010 14,11/04/2010 18,0.01,77894.837,5220.5,52.2,5220.5
11/04/2010 15,11/04/2010 19,0.01,77376.064,5155.2,51.57,5155.2
11/04/2010 16,11/04/2010 20,0.01,76911.269,5110.4,51.16,5110.4
11/04/2010 17,11/04/2010 21,0.01,77464.363,5041.6,50.41,5041.6
11/04/2010 18,11/04/2010 22,0.01,79136.023,5185.8,51.89,5185.8
11/04/2010 19,11/04/2010 23,0.02,81906.34,4665.1,93.29,4665.1
11/04/2010 20,11/05/2010 00,0.02,82556.207,4641.4,92.82,4641.4
11/04/2010 21,11/05/2010 01,0.02,81017.028,4420,88.4,4420
11/04/2010 22,11/05/2010 02,0,77727.688,4428.3,0,4428.3
11/04/2010 23,11/05/2010 03,0,72578.383,4448.2,0,4448.2
11/04/2010 24,11/05/2010 04,0,67418.45,4438.8,0,4438.8
11/05/2010 01,11/05/2010 05,0,63378.357,4881.3,0,4881.3
11/05/2010 02,11/05/2010 06,0,60985.975,4740.1,0,4740.1
11/05/2010 03,11/05/2010 07,0,59630.858,4756,0,4756
11/05/2010 04,11/05/2010 08,0,59400.61,4749.3,0,4749.3
11/05/2010 05,11/05/2010 09,0,60643.358,4785.2,0,4785.2
11/05/2010 06,11/05/2010 10,0,64802.4,4772.5,0,4772.5
11/05/2010 07,11/05/2010 11,0,72537.469,4974.6,0,4974.6
11/05/2010 08,11/05/2010 12,0.01,78378.049,4967.4,49.67,4967.4
11/05/2010 09,11/05/2010 13,0,79418.122,4927.7,0,4927.7
11/05/2010 10,11/05/2010 14,0.01,79321.895,4922.7,49.24,4922.7
11/05/2010 11,11/05/2010 15,0.01,79056.787,4921.8,49.23,4921.8
11/05/2010 12,11/05/2010 16,0,78448.011,4965.6,0,4965.6
11/05/2010 13,11/05/2010 17,0,77700.652,4927.7,0,4927.7
11/05/2010 14,11/05/2010 18,0,76945.563,4994.1,0,4994.1
11/05/2010 15,11/05/2010 19,0,75758.196,4859.7,0,4859.7
11/05/2010 16,11/05/2010 20,0,74775.771,4927.7,0,4927.7
11/05/2010 17,11/05/2010 21,0,74584.735,4375.8,0,4375.8
11/05/2010 18,11/05/2010 22,0,75478.711,4411.1,0,4411.1
11/05/2010 19,11/05/2010 23,0.01,79055.641,4383.3,43.84,4383.3
11/05/2010 20,11/06/2010 00,0.01,79786.929,4371.7,43.73,4371.7
11/05/2010 21,11/06/2010 01,0,78901.62,4168.2,0,4168.2
11/05/2010 22,11/06/2010 02,0,76458.8,4226.9,0,4226.9
11/05/2010 23,11/06/2010 03,0,72911.093,4157.5,0,4157.5
11/05/2010 24,11/06/2010 04,0,68625.408,4159,0,4159
11/06/2010 01,11/06/2010 05,0.01,64567.565,4038.1,40.4,4038.1
