Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"December, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 03:51:48 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
12/14/2008 05,12/14/2008 10,0.08,71558.644,5120.1,409.61,5120.1
12/14/2008 06,12/14/2008 11,0.09,72550.144,5114.4,460.27,5114.4
12/14/2008 07,12/14/2008 12,0.1,74558.287,5116.5,511.65,5116.5
12/14/2008 08,12/14/2008 13,0.1,77137.876,5126.3,512.63,5126.3
12/14/2008 09,12/14/2008 14,0.1,79467.842,5173.1,517.31,5173.1
12/14/2008 10,12/14/2008 15,0.1,80006.099,5187,518.7,5187
12/14/2008 11,12/14/2008 16,0.1,79063.771,5186.2,518.62,5186.2
12/14/2008 12,12/14/2008 17,0.1,77821.22,5186.4,518.64,5186.4
12/14/2008 13,12/14/2008 18,0.09,76763.593,5124.5,461.26,5124.5
12/14/2008 14,12/14/2008 19,0.09,75516.323,5124.5,461.25,5124.5
12/14/2008 15,12/14/2008 20,0.05,74747.275,5114.9,255.82,5114.9
12/14/2008 16,12/14/2008 21,0.08,74953.732,5112,408.97,5112
12/14/2008 17,12/14/2008 22,0.1,78569.575,5122.9,512.29,5122.9
12/14/2008 18,12/14/2008 23,0.1,85789.851,5143.6,514.36,5143.6
12/14/2008 19,12/15/2008 00,0.1,87228.153,5194,519.4,5194
12/14/2008 20,12/15/2008 01,0.1,86953.382,5188.4,518.84,5188.4
12/14/2008 21,12/15/2008 02,0.1,85862.294,5184.4,518.44,5184.4
12/14/2008 22,12/15/2008 03,0.1,82650.438,5197.9,519.79,5197.9
12/14/2008 23,12/15/2008 04,0.1,77399.894,5185.1,518.51,5185.1
12/14/2008 24,12/15/2008 05,0,71822.275,5066,0,5066
12/15/2008 01,12/15/2008 06,0,67218.364,4199.8,0,4199.8
12/15/2008 02,12/15/2008 07,0,64698.684,4158.7,0,4158.7
12/15/2008 03,12/15/2008 08,0,63791.713,4248.5,0,4248.5
12/15/2008 04,12/15/2008 09,0,63781.694,4490,0,4490
12/15/2008 05,12/15/2008 10,0,65672.868,4478.7,0,4478.7
12/15/2008 06,12/15/2008 11,0,70182.368,4457,0,4457
12/15/2008 07,12/15/2008 12,0.1,78910.011,4268.6,426.86,4268.6
12/15/2008 08,12/15/2008 13,0.1,84346.496,4285.6,428.56,4285.6
12/15/2008 09,12/15/2008 14,0.1,84795.852,4327.6,432.76,4327.6
12/15/2008 10,12/15/2008 15,0.1,84520.326,4355.1,435.51,4355.1
12/15/2008 11,12/15/2008 16,0.1,84221.421,4430.8,443.08,4430.8
12/15/2008 12,12/15/2008 17,0.1,83711.819,4433,443.3,4433
12/15/2008 13,12/15/2008 18,0.09,83164.055,4439.9,399.64,4439.9
12/15/2008 14,12/15/2008 19,0.09,82704.677,4440.1,399.65,4440.1
12/15/2008 15,12/15/2008 20,0.09,82162.908,4430.3,398.75,4430.3
12/15/2008 16,12/15/2008 21,0.09,82184.474,4430.6,398.75,4430.6
12/15/2008 17,12/15/2008 22,0.1,85153.823,4433.2,443.32,4433.2
12/15/2008 18,12/15/2008 23,0.1,90692.284,4440.3,444.03,4440.3
12/15/2008 19,12/16/2008 00,0.1,93167.947,4404,440.4,4404
12/15/2008 20,12/16/2008 01,0.1,92387.536,4380.1,438.01,4380.1
12/15/2008 21,12/16/2008 02,0.1,90774.256,4356.2,435.62,4356.2
12/15/2008 22,12/16/2008 03,0.1,87551.254,4107.6,410.76,4107.6
12/15/2008 23,12/16/2008 04,0,81619.053,4110.5,0,4110.5
12/15/2008 24,12/16/2008 05,0,74928.91,3921.7,0,3921.7
12/16/2008 01,12/16/2008 06,0,69817.848,5462.3,0,5462.3
12/16/2008 02,12/16/2008 07,0,67339.395,5442.6,0,5442.6
12/16/2008 03,12/16/2008 08,0,66183.658,5640.8,0,5640.8
12/16/2008 04,12/16/2008 09,0,66300.675,5638.4,0,5638.4
12/16/2008 05,12/16/2008 10,0,67961.287,5683.5,0,5683.5
12/16/2008 06,12/16/2008 11,0,73113.59,5665.3,0,5665.3
12/16/2008 07,12/16/2008 12,0.1,81770.598,5647.9,564.79,5647.9
12/16/2008 08,12/16/2008 13,0.1,87917.806,5691.2,569.12,5691.2
12/16/2008 09,12/16/2008 14,0.1,89126.637,5726.8,572.68,5726.8
12/16/2008 10,12/16/2008 15,0.1,89591.177,5727.2,572.72,5727.2
12/16/2008 11,12/16/2008 16,0.1,90401.299,5727.4,572.74,5727.4
12/16/2008 12,12/16/2008 17,0.1,90489.811,5727,572.7,5727
12/16/2008 13,12/16/2008 18,0.1,90496.02,5653.2,565.32,5653.2
12/16/2008 14,12/16/2008 19,0.1,90846.08,5664.9,566.49,5664.9
12/16/2008 15,12/16/2008 20,0.1,90933.036,5773.9,577.39,5773.9
12/16/2008 16,12/16/2008 21,0.1,91748.548,5768.801,576.88,5768.801
12/16/2008 17,12/16/2008 22,0.1,95107.027,5740.1,574.01,5740.1
12/16/2008 18,12/16/2008 23,0.25,100846.999,5774.9,1443.84,5774.9
12/16/2008 19,12/17/2008 00,0.25,101646.041,5742.3,1435.66,5742.3
12/16/2008 20,12/17/2008 01,0.19,100709.969,5743.2,1091.21,5743.2
12/16/2008 21,12/17/2008 02,0.1,98725.567,5743.2,574.32,5743.2
12/16/2008 22,12/17/2008 03,0.1,95192.9,5734.4,573.44,5734.4
12/16/2008 23,12/17/2008 04,0.1,88741.65,5437,543.7,5437
12/16/2008 24,12/17/2008 05,0.08,81429.64,5462.4,436.99,5462.4
12/17/2008 01,12/17/2008 06,0,76166.761,4755.8,0,4755.8
12/17/2008 02,12/17/2008 07,0,73320.32,4867.2,0,4867.2
12/17/2008 03,12/17/2008 08,0,71883.389,4900.1,0,4900.1
12/17/2008 04,12/17/2008 09,0,71429.003,4962.1,0,4962.1
12/17/2008 05,12/17/2008 10,0,72890.508,4950.4,0,4950.4
12/17/2008 06,12/17/2008 11,0,77379.736,5462.2,0,5462.2
12/17/2008 07,12/17/2008 12,0.1,85126.568,5509.6,550.96,5509.6
12/17/2008 08,12/17/2008 13,0.1,90715.738,5496.7,549.67,5496.7
12/17/2008 09,12/17/2008 14,0.1,91477.809,5509.8,550.98,5509.8
12/17/2008 10,12/17/2008 15,0.1,91206.122,5549.9,554.99,5549.9
12/17/2008 11,12/17/2008 16,0.1,90863.924,5550.1,555.01,5550.1
12/17/2008 12,12/17/2008 17,0.1,90481.072,5521.8,552.18,5521.8
12/17/2008 13,12/17/2008 18,0.1,89436.634,5496.2,549.62,5496.2
12/17/2008 14,12/17/2008 19,0.1,88257.223,5503,550.3,5503
12/17/2008 15,12/17/2008 20,0.1,86928.546,5503.1,550.31,5503.1
12/17/2008 16,12/17/2008 21,0.1,86543.402,5502.8,550.28,5502.8
12/17/2008 17,12/17/2008 22,0.1,89688.652,5504.2,550.42,5504.2
12/17/2008 18,12/17/2008 23,0.22,96186.878,5524.5,1215.4,5524.5
12/17/2008 19,12/18/2008 00,0.22,97457.431,5524.6,1215.43,5524.6
12/17/2008 20,12/18/2008 01,0.19,96295.896,5524.2,1049.59,5524.2
12/17/2008 21,12/18/2008 02,0.1,94964.157,5525.1,552.51,5525.1
12/17/2008 22,12/18/2008 03,0.1,91705.455,5514.3,551.43,5514.3
12/17/2008 23,12/18/2008 04,0.1,85844.782,5449.4,544.94,5449.4
12/17/2008 24,12/18/2008 05,0,79089.286,4794.6,0,4794.6
12/18/2008 01,12/18/2008 06,0,73821.1,4730.5,0,4730.5
12/18/2008 02,12/18/2008 07,0,71200.084,4933.1,0,4933.1
12/18/2008 03,12/18/2008 08,0,70056.227,4947.8,0,4947.8
12/18/2008 04,12/18/2008 09,0,70073.998,4959.4,0,4959.4
12/18/2008 05,12/18/2008 10,0,71651.736,4939.5,0,4939.5
12/18/2008 06,12/18/2008 11,0,76640.876,5449.8,0,5449.8
12/18/2008 07,12/18/2008 12,0.1,85305.308,5412.4,541.24,5412.4
12/18/2008 08,12/18/2008 13,0.1,90816.992,5401,540.1,5401
12/18/2008 09,12/18/2008 14,0.1,91107.428,5409.7,540.97,5409.7
12/18/2008 10,12/18/2008 15,0.1,90572.005,5414.3,541.43,5414.3
12/18/2008 11,12/18/2008 16,0.1,90162.503,5414.4,541.44,5414.4
12/18/2008 12,12/18/2008 17,0.1,88845.574,5369.3,536.93,5369.3
12/18/2008 13,12/18/2008 18,0.1,87475.476,5341.2,534.12,5341.2
12/18/2008 14,12/18/2008 19,0.09,86641.096,5329.1,479.64,5329.1
12/18/2008 15,12/18/2008 20,0.09,86017.576,5323.9,479.17,5323.9
12/18/2008 16,12/18/2008 21,0.09,86039.589,5328.1,479.56,5328.1
12/18/2008 17,12/18/2008 22,0.1,89234.591,5320.5,532.05,5320.5
12/18/2008 18,12/18/2008 23,0.19,95443.904,5402.8,1026.53,5402.8
12/18/2008 19,12/19/2008 00,0.19,96671.352,5402.9,1026.55,5402.9
12/18/2008 20,12/19/2008 01,0.1,95652.374,5402.9,540.29,5402.9
12/18/2008 21,12/19/2008 02,0.1,94354.595,5402.8,540.28,5402.8
12/18/2008 22,12/19/2008 03,0.1,91219.464,5402.8,540.28,5402.8
12/18/2008 23,12/19/2008 04,0.09,85593.092,5299.7,476.98,5299.7
12/18/2008 24,12/19/2008 05,0,78734.48,4696.7,0,4696.7
12/19/2008 01,12/19/2008 06,0.09,73600.411,5460.4,491.44,5460.4
12/19/2008 02,12/19/2008 07,0.09,70716.582,5544.7,499.06,5544.7
12/19/2008 03,12/19/2008 08,0.08,69542.472,5540.2,443.2,5540.2
12/19/2008 04,12/19/2008 09,0.08,69399.114,5553.2,444.27,5553.2
12/19/2008 05,12/19/2008 10,0.09,70740.855,5560.4,500.44,5560.4
12/19/2008 06,12/19/2008 11,0.09,75140.231,5553.4,499.8,5553.4
12/19/2008 07,12/19/2008 12,0.1,82985.211,5513.5,551.35,5513.5
12/19/2008 08,12/19/2008 13,0.1,88080.853,5557.3,555.73,5557.3
12/19/2008 09,12/19/2008 14,0.1,89404.579,5569.1,556.91,5569.1
12/19/2008 10,12/19/2008 15,0.1,89911.725,5568.9,556.89,5568.9
12/19/2008 11,12/19/2008 16,0.1,90282.324,5572.7,557.27,5572.7
12/19/2008 12,12/19/2008 17,0.1,89703.428,5565.7,556.57,5565.7
12/19/2008 13,12/19/2008 18,0.1,88829.159,5565.7,556.57,5565.7
12/19/2008 14,12/19/2008 19,0.1,88058.72,5565.8,556.58,5565.8
12/19/2008 15,12/19/2008 20,0.1,87046.917,5551.1,555.11,5551.1
12/19/2008 16,12/19/2008 21,0.1,86537.606,5555.2,555.52,5555.2
12/19/2008 17,12/19/2008 22,0.1,88662.518,5572.4,557.24,5572.4
12/19/2008 18,12/19/2008 23,0.15,93310.884,5572.5,835.96,5572.5
12/19/2008 19,12/20/2008 00,0.15,93168.709,5572.9,836.03,5572.9
12/19/2008 20,12/20/2008 01,0.1,91476.071,5569.9,556.99,5569.9
12/19/2008 21,12/20/2008 02,0.1,89240.832,5567.2,556.72,5567.2
12/19/2008 22,12/20/2008 03,0.1,86502.434,5572.6,557.26,5572.6
12/19/2008 23,12/20/2008 04,0.1,81919.462,5531.3,553.13,5531.3
12/19/2008 24,12/20/2008 05,0.09,76170.805,5553,499.79,5553
12/20/2008 01,12/20/2008 06,0.09,70987.185,5341.8,480.78,5341.8
12/20/2008 02,12/20/2008 07,0.09,68061.843,5333.7,480.05,5333.7
12/20/2008 03,12/20/2008 08,0.09,66612.756,5354.6,481.92,5354.6
12/20/2008 04,12/20/2008 09,0.09,66111.003,5329.6,479.67,5329.6
12/20/2008 05,12/20/2008 10,0.09,66707.653,5251.2,472.62,5251.2
12/20/2008 06,12/20/2008 11,0.09,68543.816,5213.6,469.21,5213.6
12/20/2008 07,12/20/2008 12,0.1,72060.204,5341,534.1,5341
12/20/2008 08,12/20/2008 13,0.1,76196.705,5312.3,531.23,5312.3
12/20/2008 09,12/20/2008 14,0.1,80137.902,5310.7,531.07,5310.7
12/20/2008 10,12/20/2008 15,0.1,83213.752,5097.4,509.74,5097.4
12/20/2008 11,12/20/2008 16,0.1,84639.085,5091.6,509.16,5091.6
12/20/2008 12,12/20/2008 17,0.1,84532.556,5256.8,525.68,5256.8
12/20/2008 13,12/20/2008 18,0.1,83882.629,5263.1,526.31,5263.1
12/20/2008 14,12/20/2008 19,0.1,83160.545,5261.1,526.11,5261.1
12/20/2008 15,12/20/2008 20,0.1,82773.579,5355,535.5,5355
12/20/2008 16,12/20/2008 21,0.1,83093.366,5355,535.5,5355
12/20/2008 17,12/20/2008 22,0.1,86182.587,5443.8,544.38,5443.8
12/20/2008 18,12/20/2008 23,0.19,91753.436,5432,1032.1,5432
12/20/2008 19,12/21/2008 00,0.19,92533.095,5431.8,1032.07,5431.8
12/20/2008 20,12/21/2008 01,0.19,91659.052,5461.8,1037.75,5461.8
12/20/2008 21,12/21/2008 02,0.19,90581.449,5484,1041.98,5484
12/20/2008 22,12/21/2008 03,0.1,88489.366,5512.2,551.22,5512.2
12/20/2008 23,12/21/2008 04,0.1,84995.192,5375.8,537.58,5375.8
12/20/2008 24,12/21/2008 05,0.09,80165.013,5232.7,470.96,5232.7
12/21/2008 01,12/21/2008 06,0,75719.621,3283.2,0,3283.2
12/21/2008 02,12/21/2008 07,0,72946.432,3191.1,0,3191.1
12/21/2008 03,12/21/2008 08,0,71462.25,3258.1,0,3258.1
12/21/2008 04,12/21/2008 09,0,71058.046,3277.1,0,3277.1
12/21/2008 05,12/21/2008 10,0,71493.777,3304.2,0,3304.2
12/21/2008 06,12/21/2008 11,0,72789.693,3267.6,0,3267.6
12/21/2008 07,12/21/2008 12,0,75135.191,3274.4,0,3274.4
12/21/2008 08,12/21/2008 13,0,78786.336,3102.6,0,3102.6
12/21/2008 09,12/21/2008 14,0,81862.813,3105.3,0,3105.3
12/21/2008 10,12/21/2008 15,0,84358.624,3147.6,0,3147.6
12/21/2008 11,12/21/2008 16,0,84978.235,3198.9,0,3198.9
12/21/2008 12,12/21/2008 17,0,84800.931,3362.5,0,3362.5
12/21/2008 13,12/21/2008 18,0,84299.076,3505.3,0,3505.3
12/21/2008 14,12/21/2008 19,0,83112.647,4279.3,0,4279.3
12/21/2008 15,12/21/2008 20,0,82267.815,4797.7,0,4797.7
12/21/2008 16,12/21/2008 21,0,82743.18,4788.6,0,4788.6
12/21/2008 17,12/21/2008 22,0.09,86605.677,4711,424.02,4711
12/21/2008 18,12/21/2008 23,0.42,95253.787,4699.9,1973.97,4699.9
12/21/2008 19,12/22/2008 00,0.42,98782.188,4699.8,1973.93,4699.8
12/21/2008 20,12/22/2008 01,0.19,99410.878,4749.7,902.48,4749.7
12/21/2008 21,12/22/2008 02,0.19,99668.069,4778,907.87,4778
12/21/2008 22,12/22/2008 03,0.1,97883.422,4766.2,476.62,4766.2
12/21/2008 23,12/22/2008 04,0.09,94254.895,4753.9,427.86,4753.9
12/21/2008 24,12/22/2008 05,0,89630.741,4832.8,0,4832.8
12/22/2008 01,12/22/2008 06,0.08,86360.029,5567.6,445.4,5567.6
12/22/2008 02,12/22/2008 07,0.08,84954.941,5568.9,445.51,5568.9
12/22/2008 03,12/22/2008 08,0.08,84967.607,5642.9,451.43,5642.9
12/22/2008 04,12/22/2008 09,0.09,86008.672,5587.5,502.9,5587.5
12/22/2008 05,12/22/2008 10,0.09,88383.013,5623.3,506.12,5623.3
12/22/2008 06,12/22/2008 11,0.09,93314.488,5533.2,498.02,5533.2
12/22/2008 07,12/22/2008 12,0.1,100931.064,5445.4,544.54,5445.4
12/22/2008 08,12/22/2008 13,0.19,105890.613,5486,1042.36,5486
12/22/2008 09,12/22/2008 14,0.1,107013.387,5487,548.7,5487
12/22/2008 10,12/22/2008 15,0.1,106627.679,5491.9,549.19,5491.9
12/22/2008 11,12/22/2008 16,0.1,105569.626,5492.6,549.26,5492.6
12/22/2008 12,12/22/2008 17,0.1,103876.303,5485.2,548.52,5485.2
12/22/2008 13,12/22/2008 18,0.09,101643.304,5504.8,495.44,5504.8
12/22/2008 14,12/22/2008 19,0.09,99663.132,5549.5,499.47,5549.5
12/22/2008 15,12/22/2008 20,0.09,98212.121,5568.6,501.19,5568.6
12/22/2008 16,12/22/2008 21,0.09,97782.305,5573.6,501.63,5573.6
12/22/2008 17,12/22/2008 22,0.1,100876.718,5474.6,547.46,5474.6
12/22/2008 18,12/22/2008 23,0.5,108798.16,5484.7,2742.35,5484.7
12/22/2008 19,12/23/2008 00,0.75,111141.643,5637.5,4228.19,5637.5
12/22/2008 20,12/23/2008 01,0.5,110784.997,5643.8,2821.9,5643.8
12/22/2008 21,12/23/2008 02,0.25,109953.227,5543,1385.87,5543
12/22/2008 22,12/23/2008 03,0.1,107232.192,5474.1,547.41,5474.1
12/22/2008 23,12/23/2008 04,0.09,101965.15,5497.3,494.79,5497.3
12/22/2008 24,12/23/2008 05,0.09,95716.996,5585.2,502.67,5585.2
12/23/2008 01,12/23/2008 06,0.09,90781.007,5685.8,511.75,5685.8
12/23/2008 02,12/23/2008 07,0.09,87884.306,5963,536.73,5963
12/23/2008 03,12/23/2008 08,0.09,86740.701,5963.4,536.77,5963.4
12/23/2008 04,12/23/2008 09,0.09,86551.22,5733.2,516.03,5733.2
12/23/2008 05,12/23/2008 10,0.09,87681.093,5733.2,516.03,5733.2
12/23/2008 06,12/23/2008 11,0.1,91820.503,5742.2,574.22,5742.2
12/23/2008 07,12/23/2008 12,0.1,98619.337,5851.6,585.16,5851.6
12/23/2008 08,12/23/2008 13,0.1,103037.054,5952.5,595.25,5952.5
12/23/2008 09,12/23/2008 14,0.1,103248.141,5904,590.4,5904
12/23/2008 10,12/23/2008 15,0.1,101678.745,5839,583.9,5839
12/23/2008 11,12/23/2008 16,0.1,99834.092,5829.2,582.92,5829.2
12/23/2008 12,12/23/2008 17,0.09,97598.216,5399.9,486.02,5399.9
12/23/2008 13,12/23/2008 18,0.09,95326.298,5374.8,483.78,5374.8
12/23/2008 14,12/23/2008 19,0.08,94063.986,5330.7,426.44,5330.7
12/23/2008 15,12/23/2008 20,0.05,93208.99,5367.6,268.45,5367.6
12/23/2008 16,12/23/2008 21,0.05,93039.239,5392.7,269.71,5392.7
12/23/2008 17,12/23/2008 22,0.09,95609.257,5379.3,484.16,5379.3
12/23/2008 18,12/23/2008 23,0.1,101624.123,5604.3,560.43,5604.3
12/23/2008 19,12/24/2008 00,0.1,102375.727,5645.9,564.59,5645.9
12/23/2008 20,12/24/2008 01,0.1,100904.374,5558.2,555.82,5558.2
12/23/2008 21,12/24/2008 02,0.09,98953.257,5441.4,489.69,5441.4
12/23/2008 22,12/24/2008 03,0.09,95682.414,5417.9,487.65,5417.9
12/23/2008 23,12/24/2008 04,0.09,90191.718,5347.2,481.27,5347.2
12/23/2008 24,12/24/2008 05,0.09,83531.378,5301.8,477.16,5301.8
12/24/2008 01,12/24/2008 06,0.09,77733.858,5341.2,480.77,5341.2
12/24/2008 02,12/24/2008 07,0.09,74043.363,5458,491.27,5458
12/24/2008 03,12/24/2008 08,0.05,71962.145,5457.8,272.97,5457.8
12/24/2008 04,12/24/2008 09,0,70952.954,5457.8,0,5457.8
12/24/2008 05,12/24/2008 10,0,71221.576,5369.6,0,5369.6
12/24/2008 06,12/24/2008 11,0,73570.209,5374.1,0,5374.1
12/24/2008 07,12/24/2008 12,0.09,77696.781,5315.6,478.43,5315.6
12/24/2008 08,12/24/2008 13,0.1,81513.698,5428.3,542.83,5428.3
12/24/2008 09,12/24/2008 14,0.1,84048,5321.4,532.14,5321.4
12/24/2008 10,12/24/2008 15,0.1,85933.879,5402.7,540.27,5402.7
12/24/2008 11,12/24/2008 16,0.1,86473.051,5402.6,540.26,5402.6
12/24/2008 12,12/24/2008 17,0.1,85500.904,5301.2,530.12,5301.2
12/24/2008 13,12/24/2008 18,0.1,83278.281,5239.7,523.97,5239.7
12/24/2008 14,12/24/2008 19,0.09,81317.884,5160.4,464.45,5160.4
12/24/2008 15,12/24/2008 20,0.05,79970.11,5145.6,257.34,5145.6
12/24/2008 16,12/24/2008 21,0,79058.514,5145.4,0,5145.4
12/24/2008 17,12/24/2008 22,0.1,80552.131,5269.1,526.91,5269.1
12/24/2008 18,12/24/2008 23,0.1,84263.343,5333.6,533.36,5333.6
12/24/2008 19,12/25/2008 00,0.1,83175.473,5341.7,534.17,5341.7
12/24/2008 20,12/25/2008 01,0.1,80393.041,5341,534.1,5341
12/24/2008 21,12/25/2008 02,0.1,78612.663,5328.9,532.89,5328.9
12/24/2008 22,12/25/2008 03,0.1,77027.951,5307.1,530.71,5307.1
12/24/2008 23,12/25/2008 04,0.09,74522.976,5013.2,451.19,5013.2
12/24/2008 24,12/25/2008 05,0,70810.339,4851.1,0,4851.1
12/25/2008 01,12/25/2008 06,0,66669.951,4446.6,0,4446.6
12/25/2008 02,12/25/2008 07,0,63695.681,4467.5,0,4467.5
12/25/2008 03,12/25/2008 08,0,62044.029,4492.3,0,4492.3
12/25/2008 04,12/25/2008 09,0,61542.879,4506.9,0,4506.9
12/25/2008 05,12/25/2008 10,0,61964.371,4503.8,0,4503.8
12/25/2008 06,12/25/2008 11,0,63660.969,4458.4,0,4458.4
12/25/2008 07,12/25/2008 12,0,66437.933,4502.9,0,4502.9
12/25/2008 08,12/25/2008 13,0,69499.271,4595.9,0,4595.9
12/25/2008 09,12/25/2008 14,0.05,71991.403,4695.2,234.83,4695.2
12/25/2008 10,12/25/2008 15,0.09,73438.145,4641.2,417.71,4641.2
12/25/2008 11,12/25/2008 16,0.09,73567.393,4649.1,418.44,4649.1
12/25/2008 12,12/25/2008 17,0.09,72931.86,4661.1,419.55,4661.1
12/25/2008 13,12/25/2008 18,0.05,71463.097,4669,233.52,4669
12/25/2008 14,12/25/2008 19,0,69766.167,4578.1,0,4578.1
12/25/2008 15,12/25/2008 20,0,68026.411,4652.6,0,4652.6
12/25/2008 16,12/25/2008 21,0,67582.948,4645.9,0,4645.9
12/25/2008 17,12/25/2008 22,0.09,69390.226,4701,423.13,4701
12/25/2008 18,12/25/2008 23,0.1,75584.716,4943.3,494.33,4943.3
12/25/2008 19,12/26/2008 00,0.1,77858.527,4943,494.3,4943
12/25/2008 20,12/26/2008 01,0.1,78473.249,4942.8,494.28,4942.8
12/25/2008 21,12/26/2008 02,0.1,79048.181,4953.4,495.34,4953.4
12/25/2008 22,12/26/2008 03,0.1,78741.332,4950.8,495.08,4950.8
12/25/2008 23,12/26/2008 04,0.09,76993.206,4946.1,445.19,4946.1
12/25/2008 24,12/26/2008 05,0,73564.02,4946.6,0,4946.6
12/26/2008 01,12/26/2008 06,0,70539.167,4763.2,0,4763.2
12/26/2008 02,12/26/2008 07,0,68702.492,4846.6,0,4846.6
12/26/2008 03,12/26/2008 08,0,67996.058,5165.7,0,5165.7
12/26/2008 04,12/26/2008 09,0,68127.933,5164.9,0,5164.9
12/26/2008 05,12/26/2008 10,0,69389.714,5164.6,0,5164.6
12/26/2008 06,12/26/2008 11,0,72262.214,5163.2,0,5163.2
12/26/2008 07,12/26/2008 12,0.09,76035.629,5157.2,464.19,5157.2
12/26/2008 08,12/26/2008 13,0.09,79122.565,5160.3,464.48,5160.3
12/26/2008 09,12/26/2008 14,0.09,81276.962,5165.5,464.96,5165.5
12/26/2008 10,12/26/2008 15,0.09,82917.972,5164,464.8,5164
12/26/2008 11,12/26/2008 16,0.1,83241.435,5162.9,516.29,5162.9
12/26/2008 12,12/26/2008 17,0.09,82586.303,5154.4,463.94,5154.4
12/26/2008 13,12/26/2008 18,0.09,81076.515,5154.1,463.92,5154.1
12/26/2008 14,12/26/2008 19,0.09,79591.684,5153.8,463.85,5153.8
12/26/2008 15,12/26/2008 20,0.09,78880.377,5153.9,463.9,5153.9
12/26/2008 16,12/26/2008 21,0.09,78906.424,5146.6,463.25,5146.6
12/26/2008 17,12/26/2008 22,0.1,81240.821,5155.5,515.55,5155.5
12/26/2008 18,12/26/2008 23,0.15,86989.724,5155.8,773.41,5155.8
12/26/2008 19,12/27/2008 00,0.15,87329.631,5154.1,773.2,5154.1
12/26/2008 20,12/27/2008 01,0.1,85739.548,5140.5,514.05,5140.5
12/26/2008 21,12/27/2008 02,0.09,83873.997,5164.1,464.75,5164.1
12/26/2008 22,12/27/2008 03,0.09,81182.751,5164.1,464.74,5164.1
12/26/2008 23,12/27/2008 04,0,77046.064,5161.6,0,5161.6
12/26/2008 24,12/27/2008 05,0,71855.792,4935.4,0,4935.4
12/27/2008 01,12/27/2008 06,0,67190.557,4749.4,0,4749.4
12/27/2008 02,12/27/2008 07,0,64160.512,4798.5,0,4798.5
12/27/2008 03,12/27/2008 08,0,62360.48,4755.1,0,4755.1
12/27/2008 04,12/27/2008 09,0,61482.921,4757.5,0,4757.5
12/27/2008 05,12/27/2008 10,0,61489.677,4759,0,4759
12/27/2008 06,12/27/2008 11,0,62614.575,4770.3,0,4770.3
12/27/2008 07,12/27/2008 12,0,64744.207,4718.6,0,4718.6
12/27/2008 08,12/27/2008 13,0,67227.704,4712.3,0,4712.3
12/27/2008 09,12/27/2008 14,0.09,70032.035,4689.6,422.09,4689.6
12/27/2008 10,12/27/2008 15,0.1,72698.491,4723.1,472.31,4723.1
12/27/2008 11,12/27/2008 16,0.09,73901.861,4725.6,425.3,4725.6
12/27/2008 12,12/27/2008 17,0.1,73591.727,4726.1,472.61,4726.1
12/27/2008 13,12/27/2008 18,0.09,72289.911,4724.1,425.2,4724.1
12/27/2008 14,12/27/2008 19,0.09,70433.909,4683.8,421.54,4683.8
12/27/2008 15,12/27/2008 20,0.09,69148.39,4699.5,422.94,4699.5
12/27/2008 16,12/27/2008 21,0.09,68722.044,4696.3,422.72,4696.3
12/27/2008 17,12/27/2008 22,0.1,70502.968,4707.4,470.75,4707.4
12/27/2008 18,12/27/2008 23,0.1,76462.223,4637.2,463.72,4637.2
12/27/2008 19,12/28/2008 00,0.1,77775.306,4714.9,471.49,4714.9
12/27/2008 20,12/28/2008 01,0.1,76882.052,4754.2,475.42,4754.2
12/27/2008 21,12/28/2008 02,0.09,75601.409,4797.1,431.76,4797.1
12/27/2008 22,12/28/2008 03,0.09,73424.972,4753.6,427.85,4753.6
12/27/2008 23,12/28/2008 04,0.05,69898.098,4734.1,236.76,4734.1
12/27/2008 24,12/28/2008 05,0,65301.074,4751.7,0,4751.7
12/28/2008 01,12/28/2008 06,0,61168.395,4787.5,0,4787.5
12/28/2008 02,12/28/2008 07,0,58333.186,4839.4,0,4839.4
12/28/2008 03,12/28/2008 08,0,56740.315,4837.4,0,4837.4
12/28/2008 04,12/28/2008 09,0,55905.393,4828.5,0,4828.5
12/28/2008 05,12/28/2008 10,0,55757.182,4827.9,0,4827.9
12/28/2008 06,12/28/2008 11,0,56623.965,4831.8,0,4831.8
12/28/2008 07,12/28/2008 12,0,58422.021,4830.8,0,4830.8
12/28/2008 08,12/28/2008 13,0,60558.282,4830.5,0,4830.5
12/28/2008 09,12/28/2008 14,0,62963.71,4825.6,0,4825.6
12/28/2008 10,12/28/2008 15,0.05,65627.051,4776.4,238.88,4776.4
12/28/2008 11,12/28/2008 16,0.05,67432.164,4783.3,239.22,4783.3
12/28/2008 12,12/28/2008 17,0.09,68291.963,4797.5,431.77,4797.5
12/28/2008 13,12/28/2008 18,0.05,68600.589,4769.3,238.51,4769.3
12/28/2008 14,12/28/2008 19,0.05,68180.069,4762.8,238.19,4762.8
12/28/2008 15,12/28/2008 20,0,67518.49,4753.2,0,4753.2
12/28/2008 16,12/28/2008 21,0.05,67562.148,4762.1,238.16,4762.1
