Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"December, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 03:51:48 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
12/03/2008 21,12/04/2008 02,0.1,93468.5,5309,530.9,5309
12/03/2008 22,12/04/2008 03,0.1,90451.721,5309.3,530.93,5309.3
12/03/2008 23,12/04/2008 04,0.1,84645.647,5296.7,529.67,5296.7
12/03/2008 24,12/04/2008 05,0.1,78126.78,5281.1,528.11,5281.1
12/04/2008 01,12/04/2008 06,0.09,73570.544,5348.7,481.38,5348.7
12/04/2008 02,12/04/2008 07,0.09,71230.095,5348.4,481.38,5348.4
12/04/2008 03,12/04/2008 08,0.09,69905.034,5378.2,484.06,5378.2
12/04/2008 04,12/04/2008 09,0.09,69773.156,5488.4,493.96,5488.4
12/04/2008 05,12/04/2008 10,0.09,71315.022,5488.5,493.97,5488.5
12/04/2008 06,12/04/2008 11,0.1,76083.618,5586.6,558.66,5586.6
12/04/2008 07,12/04/2008 12,0.1,84671.485,5622.8,562.28,5622.8
12/04/2008 08,12/04/2008 13,0.1,89546.426,5622.7,562.27,5622.7
12/04/2008 09,12/04/2008 14,0.1,89256.028,5595.9,559.59,5595.9
12/04/2008 10,12/04/2008 15,0.1,88411.54,5601.6,560.16,5601.6
12/04/2008 11,12/04/2008 16,0.1,87456.223,5602.1,560.21,5602.1
12/04/2008 12,12/04/2008 17,0.09,86377.135,5602.1,504.19,5602.1
12/04/2008 13,12/04/2008 18,0.09,85240.666,5602,504.21,5602
12/04/2008 14,12/04/2008 19,0.09,84685.187,5601.9,504.21,5601.9
12/04/2008 15,12/04/2008 20,0.09,84253.262,5600.9,504.11,5600.9
12/04/2008 16,12/04/2008 21,0.09,84440.919,5602.1,504.24,5602.1
12/04/2008 17,12/04/2008 22,0.09,87614.052,5601.8,504.2,5601.8
12/04/2008 18,12/04/2008 23,0.15,93452.833,5635.7,845.44,5635.7
12/04/2008 19,12/05/2008 00,0.15,94801.016,5635.5,845.42,5635.5
12/04/2008 20,12/05/2008 01,0.1,94029.565,5636.1,563.61,5636.1
12/04/2008 21,12/05/2008 02,0.1,92648.263,5635.7,563.57,5635.7
12/04/2008 22,12/05/2008 03,0.1,89456.166,5636.1,563.61,5636.1
12/04/2008 23,12/05/2008 04,0.1,83941.007,5488.7,548.87,5488.7
12/04/2008 24,12/05/2008 05,0,77926.384,5490.5,0,5490.5
12/05/2008 01,12/05/2008 06,0.1,73757.594,5757.5,575.75,5757.5
12/05/2008 02,12/05/2008 07,0.1,71831.236,5756.5,575.65,5756.5
12/05/2008 03,12/05/2008 08,0.1,71038.901,5756.1,575.61,5756.1
12/05/2008 04,12/05/2008 09,0.1,71272.752,5753.3,575.33,5753.3
12/05/2008 05,12/05/2008 10,0.1,73169.41,5754,575.4,5754
12/05/2008 06,12/05/2008 11,0.1,78527.41,5719.8,571.98,5719.8
12/05/2008 07,12/05/2008 12,0.1,87397.525,5622.8,562.28,5622.8
12/05/2008 08,12/05/2008 13,0.1,92526.137,5751.2,575.12,5751.2
12/05/2008 09,12/05/2008 14,0.1,92619.107,5764.3,576.43,5764.3
12/05/2008 10,12/05/2008 15,0.1,91900.934,5764.5,576.45,5764.5
12/05/2008 11,12/05/2008 16,0.1,91273.017,5725,572.5,5725
12/05/2008 12,12/05/2008 17,0.1,89992.646,5697.7,569.77,5697.7
12/05/2008 13,12/05/2008 18,0.1,88875.905,5730.4,573.04,5730.4
12/05/2008 14,12/05/2008 19,0.1,88015.361,5730.5,573.05,5730.5
12/05/2008 15,12/05/2008 20,0.09,87232.393,5710.6,513.95,5710.6
12/05/2008 16,12/05/2008 21,0.09,87246.771,5704.5,513.44,5704.5
12/05/2008 17,12/05/2008 22,0.1,90646.684,5763,576.3,5763
12/05/2008 18,12/05/2008 23,0.19,97408.182,5764.5,1095.26,5764.5
12/05/2008 19,12/06/2008 00,0.1,98624.634,5764.2,576.42,5764.2
12/05/2008 20,12/06/2008 01,0.1,97683.906,5764.9,576.49,5764.9
12/05/2008 21,12/06/2008 02,0.1,96538.503,5764.3,576.43,5764.3
12/05/2008 22,12/06/2008 03,0.1,94365.643,5765,576.5,5765
12/05/2008 23,12/06/2008 04,0,90300.948,5216.5,0,5216.5
12/05/2008 24,12/06/2008 05,0,85188.557,5236.8,0,5236.8
12/06/2008 01,12/06/2008 06,0.1,80976.334,5058.5,505.85,5058.5
12/06/2008 02,12/06/2008 07,0.1,78663.445,5143.8,514.38,5143.8
12/06/2008 03,12/06/2008 08,0.1,77838.798,5150.2,515.02,5150.2
12/06/2008 04,12/06/2008 09,0.1,77669.731,5150,515,5150
12/06/2008 05,12/06/2008 10,0.1,78397.529,5153.6,515.36,5153.6
12/06/2008 06,12/06/2008 11,0.1,80617.78,5331.2,533.12,5331.2
12/06/2008 07,12/06/2008 12,0.1,83887.329,5328.9,532.89,5328.9
12/06/2008 08,12/06/2008 13,0.1,87334.745,5334.1,533.41,5334.1
12/06/2008 09,12/06/2008 14,0.1,89415.897,5306.6,530.66,5306.6
12/06/2008 10,12/06/2008 15,0.1,90213.511,5329.8,532.98,5329.8
12/06/2008 11,12/06/2008 16,0.1,89885.325,5369.3,536.93,5369.3
12/06/2008 12,12/06/2008 17,0.1,88719.431,5220.2,522.02,5220.2
12/06/2008 13,12/06/2008 18,0.1,87160.565,5145.7,514.57,5145.7
12/06/2008 14,12/06/2008 19,0.09,86037.297,5146,463.19,5146
12/06/2008 15,12/06/2008 20,0.09,85123.346,5101.9,459.22,5101.9
12/06/2008 16,12/06/2008 21,0.09,85250.607,5138.1,462.47,5138.1
12/06/2008 17,12/06/2008 22,0.1,88216.858,5177.2,517.72,5177.2
12/06/2008 18,12/06/2008 23,0.1,93653.891,5324.8,532.48,5324.8
12/06/2008 19,12/07/2008 00,0.1,94501.045,5332.1,533.21,5332.1
12/06/2008 20,12/07/2008 01,0.1,93391.28,5282.1,528.21,5282.1
12/06/2008 21,12/07/2008 02,0.1,91838.475,5296.5,529.65,5296.5
12/06/2008 22,12/07/2008 03,0.1,89314.658,5180.1,518.01,5180.1
12/06/2008 23,12/07/2008 04,0.1,85205.827,5084.5,508.45,5084.5
12/06/2008 24,12/07/2008 05,0.09,80430.53,5076.7,456.91,5076.7
12/07/2008 01,12/07/2008 06,0.1,76187.395,4919.9,491.99,4919.9
12/07/2008 02,12/07/2008 07,0.1,73685.103,4922.6,492.26,4922.6
12/07/2008 03,12/07/2008 08,0.1,72470.618,4920.5,492.05,4920.5
12/07/2008 04,12/07/2008 09,0.1,72137.845,4921.4,492.14,4921.4
12/07/2008 05,12/07/2008 10,0.1,72627.819,4927.901,492.79,4927.901
12/07/2008 06,12/07/2008 11,0.1,74210.406,4938.1,493.81,4938.1
12/07/2008 07,12/07/2008 12,0.1,77053.262,4904,490.4,4904
12/07/2008 08,12/07/2008 13,0.1,79795.038,4928.1,492.81,4928.1
12/07/2008 09,12/07/2008 14,0.1,82436.572,4936.8,493.68,4936.8
12/07/2008 10,12/07/2008 15,0.1,84276.843,4954.8,495.48,4954.8
12/07/2008 11,12/07/2008 16,0.1,84749.609,4962.1,496.21,4962.1
12/07/2008 12,12/07/2008 17,0.1,84467.969,4946.9,494.69,4946.9
12/07/2008 13,12/07/2008 18,0.1,83985.403,4981.9,498.19,4981.9
12/07/2008 14,12/07/2008 19,0.1,83499.266,4949.9,494.99,4949.9
12/07/2008 15,12/07/2008 20,0.1,83092.165,4956.5,495.65,4956.5
12/07/2008 16,12/07/2008 21,0.1,83999.613,4952.4,495.24,4952.4
12/07/2008 17,12/07/2008 22,0.1,88395.96,4976.4,497.64,4976.4
12/07/2008 18,12/07/2008 23,0.1,96932.508,4984.3,498.43,4984.3
12/07/2008 19,12/08/2008 00,0.1,99493.726,4984.3,498.43,4984.3
12/07/2008 20,12/08/2008 01,0.1,99809.708,4984.7,498.47,4984.7
12/07/2008 21,12/08/2008 02,0.1,99041.479,4966.5,496.65,4966.5
12/07/2008 22,12/08/2008 03,0.1,96131.685,4948.6,494.86,4948.6
12/07/2008 23,12/08/2008 04,0.1,91324.189,4939,493.9,4939
12/07/2008 24,12/08/2008 05,0.1,86416.434,4947,494.7,4947
12/08/2008 01,12/08/2008 06,0.1,82385.038,6073.9,607.39,6073.9
12/08/2008 02,12/08/2008 07,0.1,80655.334,6097.6,609.76,6097.6
12/08/2008 03,12/08/2008 08,0.1,80463.256,6102,610.2,6102
12/08/2008 04,12/08/2008 09,0.1,80833.765,6101.3,610.13,6101.3
12/08/2008 05,12/08/2008 10,0.1,82580.005,6112.2,611.22,6112.2
12/08/2008 06,12/08/2008 11,0.1,87544.107,6024,602.4,6024
12/08/2008 07,12/08/2008 12,0.1,95723.608,6108.6,610.86,6108.6
12/08/2008 08,12/08/2008 13,0.1,100254.993,6012.1,601.21,6012.1
12/08/2008 09,12/08/2008 14,0.1,100351.851,6023.2,602.32,6023.2
12/08/2008 10,12/08/2008 15,0.1,99988.259,6023,602.3,6023
12/08/2008 11,12/08/2008 16,0.1,98593.571,6092.9,609.29,6092.9
12/08/2008 12,12/08/2008 17,0.1,96977.23,6098.7,609.87,6098.7
12/08/2008 13,12/08/2008 18,0.1,95288.635,6103.3,610.33,6103.3
12/08/2008 14,12/08/2008 19,0.09,93931.657,6111,550.04,6111
12/08/2008 15,12/08/2008 20,0.09,92886.172,6122.8,551.11,6122.8
12/08/2008 16,12/08/2008 21,0.09,93025.018,6122.8,551.08,6122.8
12/08/2008 17,12/08/2008 22,0.1,96259.31,6119.3,611.93,6119.3
12/08/2008 18,12/08/2008 23,0.1,102786.492,6123,612.3,6123
12/08/2008 19,12/09/2008 00,0.1,103737.639,6123,612.3,6123
12/08/2008 20,12/09/2008 01,0.1,102650.674,6123.3,612.33,6123.3
12/08/2008 21,12/09/2008 02,0.1,100793.598,6122.8,612.28,6122.8
12/08/2008 22,12/09/2008 03,0.1,96688.149,6108.9,610.89,6108.9
12/08/2008 23,12/09/2008 04,0.1,90465.633,6091.3,609.13,6091.3
12/08/2008 24,12/09/2008 05,0.1,83387.729,6082.1,608.21,6082.1
12/09/2008 01,12/09/2008 06,0.09,78650.375,5140.8,462.72,5140.8
12/09/2008 02,12/09/2008 07,0.09,75907.273,5312.5,478.17,5312.5
12/09/2008 03,12/09/2008 08,0.09,74663.525,5314.2,478.29,5314.2
12/09/2008 04,12/09/2008 09,0.09,74283.066,5313.1,478.22,5313.1
12/09/2008 05,12/09/2008 10,0.09,75381.415,5312.2,478.14,5312.2
12/09/2008 06,12/09/2008 11,0.09,80234.407,5321.3,478.94,5321.3
12/09/2008 07,12/09/2008 12,0.1,87987.315,5275.5,527.55,5275.5
12/09/2008 08,12/09/2008 13,0.1,93189.348,5316,531.6,5316
12/09/2008 09,12/09/2008 14,0.1,92884.54,5361.1,536.11,5361.1
12/09/2008 10,12/09/2008 15,0.1,92023.574,5383.4,538.34,5383.4
12/09/2008 11,12/09/2008 16,0.1,90933.87,5390.1,539.01,5390.1
12/09/2008 12,12/09/2008 17,0.1,89500.917,5360.7,536.07,5360.7
12/09/2008 13,12/09/2008 18,0.1,87800.758,5362.5,536.25,5362.5
12/09/2008 14,12/09/2008 19,0.1,86904.622,5362,536.2,5362
12/09/2008 15,12/09/2008 20,0.09,85726.739,5364.1,482.82,5364.1
12/09/2008 16,12/09/2008 21,0.09,85299.345,5356.5,482.14,5356.5
12/09/2008 17,12/09/2008 22,0.1,88210.837,5355.5,535.55,5355.5
12/09/2008 18,12/09/2008 23,0.1,93788.827,5391.4,539.14,5391.4
12/09/2008 19,12/10/2008 00,0.1,94074.321,5391.5,539.15,5391.5
12/09/2008 20,12/10/2008 01,0.1,92822.659,5390.5,539.05,5390.5
12/09/2008 21,12/10/2008 02,0.1,90895.395,5386,538.6,5386
12/09/2008 22,12/10/2008 03,0.1,87372.575,5383.8,538.38,5383.8
12/09/2008 23,12/10/2008 04,0.09,80926.6,5293.6,476.44,5293.6
12/09/2008 24,12/10/2008 05,0,73607.279,5244.4,0,5244.4
12/10/2008 01,12/10/2008 06,0,68137.244,5077.5,0,5077.5
12/10/2008 02,12/10/2008 07,0,65317.957,5135.7,0,5135.7
12/10/2008 03,12/10/2008 08,0,63876.871,5189.7,0,5189.7
12/10/2008 04,12/10/2008 09,0,63437.444,5197.7,0,5197.7
12/10/2008 05,12/10/2008 10,0,64546.901,5197.1,0,5197.1
12/10/2008 06,12/10/2008 11,0,68861.923,5169.5,0,5169.5
12/10/2008 07,12/10/2008 12,0.09,77047.819,5189.2,467.05,5189.2
12/10/2008 08,12/10/2008 13,0.1,82672.37,5167.9,516.79,5167.9
12/10/2008 09,12/10/2008 14,0.1,83246.576,5166.5,516.65,5166.5
