Preliminary Day-ahead Scheduling Reserve Summary
Month:,"January, 2011" ,Report Creation Timestamp (EPT):, 03/05/2013 10:56:59 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/04/2011 02,01/04/2011 07,.000,77278.015000,6192.100,.00,6192.100
01/04/2011 03,01/04/2011 08,.000,76700.525000,6188.500,.00,6188.500
01/04/2011 04,01/04/2011 09,.000,76872.081000,6235.600,.00,6235.600
01/04/2011 05,01/04/2011 10,.000,78856.038000,6208.900,.00,6208.900
01/04/2011 06,01/04/2011 11,.000,83674.197000,6119.300,.00,6119.300
01/04/2011 07,01/04/2011 12,.010,91563.239000,5950.100,59.52,5950.100
01/04/2011 08,01/04/2011 13,.030,96211.680000,6078.100,182.36,6078.100
01/04/2011 09,01/04/2011 14,.010,95439.021000,6110.800,61.14,6110.800
01/04/2011 10,01/04/2011 15,.010,93857.498000,5972.600,59.76,5972.600
01/04/2011 11,01/04/2011 16,.000,92563.635000,6096.100,.00,6096.100
01/04/2011 12,01/04/2011 17,.000,90681.581000,5851.600,.00,5851.600
01/04/2011 13,01/04/2011 18,.000,88266.425000,6095.700,.00,6095.700
01/04/2011 14,01/04/2011 19,.000,86409.288000,5849.000,.00,5849.000
01/04/2011 15,01/04/2011 20,.000,84978.970000,6292.900,.00,6292.900
01/04/2011 16,01/04/2011 21,.000,84609.387000,6033.200,.00,6033.200
01/04/2011 17,01/04/2011 22,.000,86817.271000,6230.400,.00,6230.400
01/04/2011 18,01/04/2011 23,.020,93740.039000,6152.700,123.06,6152.700
01/04/2011 19,01/05/2011 00,.030,96629.201000,5678.700,170.38,5678.700
01/04/2011 20,01/05/2011 01,.020,96417.977000,5350.600,107.02,5350.600
01/04/2011 21,01/05/2011 02,.020,95084.415000,5244.500,104.89,5244.500
01/04/2011 22,01/05/2011 03,.000,91961.445000,5289.800,.00,5289.800
01/04/2011 23,01/05/2011 04,.000,86801.490000,5288.200,.00,5288.200
01/04/2011 24,01/05/2011 05,.000,81301.271000,4979.700,.00,4979.700
01/05/2011 01,01/05/2011 06,.000,77536.213000,6218.200,.00,6218.200
