Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2011 ",Report Creation Timestamp (EPT):, 11/03/2012 05:34:19 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/01/2011 01,11/01/2011 05,0,70416.734,4946,0,4946
11/01/2011 02,11/01/2011 06,0,68340.927,4945.7,0,4945.7
11/01/2011 03,11/01/2011 07,0,67289.297,5031.4,0,5031.4
11/01/2011 04,11/01/2011 08,0,67301.667,5109.5,0,5109.5
11/01/2011 05,11/01/2011 09,0,68946.254,5170.7,0,5170.7
11/01/2011 06,11/01/2011 10,0,73840.5,5038,0,5038
11/01/2011 07,11/01/2011 11,0,82841.452,6016.8,0,6016.8
11/01/2011 08,11/01/2011 12,0.01,89076.813,5867.9,58.63,5867.9
11/01/2011 09,11/01/2011 13,0.01,89050.313,5867.5,58.7,5867.5
11/01/2011 10,11/01/2011 14,0.01,87745.697,5868.2,58.67,5868.2
11/01/2011 11,11/01/2011 15,0,86447.251,5883.4,0,5883.4
11/01/2011 12,11/01/2011 16,0,84861.653,6017.8,0,6017.8
11/01/2011 13,11/01/2011 17,0,83460.839,5891.4,0,5891.4
11/01/2011 14,11/01/2011 18,0,82434.542,6031.5,0,6031.5
11/01/2011 15,11/01/2011 19,0,81296.555,6001.9,0,6001.9
11/01/2011 16,11/01/2011 20,0,80508.6,5885.8,0,5885.8
11/01/2011 17,11/01/2011 21,0,80485.212,5545.8,0,5545.8
11/01/2011 18,11/01/2011 22,0,81509.482,5401.4,0,5401.4
11/01/2011 19,11/01/2011 23,0.01,85762.461,4496.3,44.95,4496.3
11/01/2011 20,11/02/2011 00,0.02,88836.796,4496.3,89.91,4496.3
11/01/2011 21,11/02/2011 01,0.01,87580.938,4496.8,44.99,4496.8
11/01/2011 22,11/02/2011 02,0,84565.276,4487,0,4487
11/01/2011 23,11/02/2011 03,0,79223.849,4702.8,0,4702.8
11/01/2011 24,11/02/2011 04,0,73740.078,4679,0,4679
11/02/2011 01,11/02/2011 05,0,69723.648,4597.7,0,4597.7
11/02/2011 02,11/02/2011 06,0,67834.376,4805.8,0,4805.8
11/02/2011 03,11/02/2011 07,0,67093.401,4711.6,0,4711.6
11/02/2011 04,11/02/2011 08,0,67192.434,4660.1,0,4660.1
11/02/2011 05,11/02/2011 09,0,69116.651,4675.4,0,4675.4
11/02/2011 06,11/02/2011 10,0,74437.529,4673.7,0,4673.7
11/02/2011 07,11/02/2011 11,0.01,83814.646,5505.1,55.1,5505.1
11/02/2011 08,11/02/2011 12,0.04,90162.9,5616.4,224.68,5616.4
11/02/2011 09,11/02/2011 13,0.04,89855.285,5660.5,226.39,5660.5
11/02/2011 10,11/02/2011 14,0.01,88033.194,5744.1,57.48,5744.1
11/02/2011 11,11/02/2011 15,0.02,85907.776,5763.7,115.3,5763.7
11/02/2011 12,11/02/2011 16,0.01,84530.617,5690,56.95,5690
11/02/2011 13,11/02/2011 17,0,83300.601,5759.4,0,5759.4
11/02/2011 14,11/02/2011 18,0,82264.3,5766.7,0,5766.7
11/02/2011 15,11/02/2011 19,0,81243.699,5749.9,0,5749.9
11/02/2011 16,11/02/2011 20,0,80393.973,5761,0,5761
11/02/2011 17,11/02/2011 21,0,80300.184,5184.4,0,5184.4
11/02/2011 18,11/02/2011 22,0,81207.447,5188.5,0,5188.5
11/02/2011 19,11/02/2011 23,0.02,85621.466,4344.5,86.94,4344.5
11/02/2011 20,11/03/2011 00,0.02,87779.692,4150.5,83.03,4150.5
11/02/2011 21,11/03/2011 01,0,86519.782,4148.5,0,4148.5
11/02/2011 22,11/03/2011 02,0,83274.638,4191.7,0,4191.7
11/02/2011 23,11/03/2011 03,0,77925.351,4220,0,4220
11/02/2011 24,11/03/2011 04,0,72431.809,4265.6,0,4265.6
11/03/2011 01,11/03/2011 05,0,68403.978,5144.4,0,5144.4
11/03/2011 02,11/03/2011 06,0,66256.212,5079.2,0,5079.2
11/03/2011 03,11/03/2011 07,0,65330.388,5196,0,5196
11/03/2011 04,11/03/2011 08,0,65375.233,5144.4,0,5144.4
11/03/2011 05,11/03/2011 09,0,67052.013,5144.5,0,5144.5
11/03/2011 06,11/03/2011 10,0,72076.086,4893.5,0,4893.5
11/03/2011 07,11/03/2011 11,0,81461.424,5914,0,5914
11/03/2011 08,11/03/2011 12,0.01,87671.005,5807.1,58.09,5807.1
11/03/2011 09,11/03/2011 13,0.01,88007.725,5833.3,58.31,5833.3
11/03/2011 10,11/03/2011 14,0.01,86724.592,5837.8,58.4,5837.8
11/03/2011 11,11/03/2011 15,0,85594.929,5841.6,0,5841.6
11/03/2011 12,11/03/2011 16,0,84333.17,5967.1,0,5967.1
11/03/2011 13,11/03/2011 17,0,83432.134,5850.1,0,5850.1
11/03/2011 14,11/03/2011 18,0,82640.093,6019.4,0,6019.4
11/03/2011 15,11/03/2011 19,0,81683.398,5913.4,0,5913.4
11/03/2011 16,11/03/2011 20,0,80974.614,5973.2,0,5973.2
11/03/2011 17,11/03/2011 21,0,81051.01,5511.9,0,5511.9
11/03/2011 18,11/03/2011 22,0,82097.832,5418.5,0,5418.5
11/03/2011 19,11/03/2011 23,0.01,86427.976,4548,45.51,4548
11/03/2011 20,11/04/2011 00,0,87837.443,4557.9,0,4557.9
11/03/2011 21,11/04/2011 01,0,86291.715,4584.1,0,4584.1
11/03/2011 22,11/04/2011 02,0,82975.63,4607.8,0,4607.8
11/03/2011 23,11/04/2011 03,0,77507.348,4753.3,0,4753.3
11/03/2011 24,11/04/2011 04,0,71864.442,4669.4,0,4669.4
11/04/2011 01,11/04/2011 05,0,67738.684,4866.6,0,4866.6
11/04/2011 02,11/04/2011 06,0,65303.914,4880.6,0,4880.6
11/04/2011 03,11/04/2011 07,0,63951.49,4880.6,0,4880.6
11/04/2011 04,11/04/2011 08,0,63538.344,4935.2,0,4935.2
11/04/2011 05,11/04/2011 09,0,64860.054,4870.6,0,4870.6
11/04/2011 06,11/04/2011 10,0,69359.563,4870.6,0,4870.6
